Airman Kenny Rivera Rojas represents the best of Arkansas by selflessly serving those affected by Hurricane Maria.https://www.defense.gov/News/Article/Article/1336707/little-rock-airman-supports-family-in-puerto-rico/source/GovDelivery/ …	
ICYMI – I joined @newsradio1029 yesterday to discuss immigration. LISTEN:pic.twitter.com/anYA4NEVzF	
We owe it to our troops to get them the support they need. My statement on Senate passage of the NDAA: https://www.cotton.senate.gov/?p=press_release&id=788 …pic.twitter.com/rmlDYEljEY	
For 70 years, the men and women of the CIA have put themselves in harm's way to protect our country: https://www.cotton.senate.gov/?p=press_release&id=792 …	
WATCH my Q&A at the @SASCmajority hearing on recent US Navy incidents at sea:pic.twitter.com/jw1QIne8L8	
WATCH my remarks live at the @Hillsdale College Constitution Day Celebration:http://ow.ly/ejI130ffpMg 	
Senate Dems had a chance to support our troops and repeal sequester. Instead they hid. WATCH:http://ow.ly/1LUk30ffE5j 	
I joined @chucktodd on @MeetThePress this morning to discuss DACA. WATCH:pic.twitter.com/a2oK3yWv4D	
I joined @marcorubio in urging the State Department to maintain additional security-assistance funding for Israel: http://ow.ly/bpnY30f6LtD 	
Congratulations to Overton Brooks VA Medical Center on a successful ribbon cutting for your new parking garage to help our veterans.pic.twitter.com/2ON8Fa1YqV	
Secretary Tillerson should expel Cubans in the US and close our embassy in Cuba over attacks on our diplomats: http://ow.ly/el1030fbD7D 	
Great news for Arkansas!https://twitter.com/arkansasonline/status/908714979481800709 …	
Thanks to Arkansas members of the Susan G. Komen Foundation and American Heart Association for stopping by to share about their work today.pic.twitter.com/0IgfWvX43I	
Thanks to Jax for traveling all the way from Arkansas to see me today.pic.twitter.com/0HghBe2FFl	
READ: 'Abolish the Sequester' via @weeklystandardhttp://ow.ly/v28v30f9EIG 	
I joined @newsradio1029 yesterday to discuss relief funding, the National Defense Authorization Act, and more. LISTEN:pic.twitter.com/LaXuBmlE5D	
I joined @marcorubio in urging the State Department to maintain additional security-assistance funding for Israel: http://ow.ly/bpnY30f6LtD 	
Thanks to Arkansans with the American Cancer Society for talking with me about cancer research today.pic.twitter.com/kyh1669evg	
My statement on the Trump administration’s support for reauthorization of FISA Section 702: http://ow.ly/o8vB30f5acs pic.twitter.com/ppBgvBtOR2	
September 11 is the day we’ll never forget. http://ow.ly/HEDR30f48MU pic.twitter.com/3halCMBfu9	
Any legislation to codify DACA must be paired with reform of the green-card system that protects American workers. http://ow.ly/UOQG30eXLEe 	
It’s almost game time! Cheering on the @ArkRazorbacks this afternoon. #BeatTCU #WPS	#BeatTCU #WPS
I joined @Morning_Joe on Wednesday to discuss DACA and the RAISE Act. WATCH:pic.twitter.com/tahNp5t2HB	
I honored Hurricane Harvey heroes on the Senate floor this week. WATCH:pic.twitter.com/eU5NxhCEHE	
It’s good to see Arkansas veteran and Pearl Harbor hero Joe George receive the recognition he deserves: http://ow.ly/vlcZ30f102k pic.twitter.com/K0O1z2AYRh	
I joined @BretBaier on @SpecialReport earlier this week to discuss DACA. WATCH:pic.twitter.com/qBLHRvgj0Y	
My statement on Senate passage of Hurricane Harvey relief funding: http://ow.ly/PxbX30eZEcW pic.twitter.com/0Z40UFlIb0	
I joined @Morning_Joe yesterday to discuss DACA and the RAISE Act. WATCH:pic.twitter.com/uTOpnfxTsy	
Any legislation to codify DACA must be paired with reform of the green-card system that protects American workers. http://ow.ly/UOQG30eXLEe pic.twitter.com/671uLTVyBj	
Ambassador Haley is right to warn that simply holding Iran to the nuclear deal is not enough. http://ow.ly/zMrv30eVOcF 	
I joined @CBSThisMorning to discuss DACA. WATCH:pic.twitter.com/lCJJQtWhCL	
Joining @Morning_Joe shortly. Tune in!	
I joined @BretBaier on @SpecialReport tonight. WATCH:pic.twitter.com/8DvgG0DrYw	
I honored Hurricane Harvey heroes on the Senate floor this afternoon. WATCH:pic.twitter.com/SiRCKrHZC6	
My statement on the rescission of DACA: http://ow.ly/zZgr30eVG9h pic.twitter.com/pSydF8w4gB	
Listen to my interview on @newsradio1029 this morning about DACA:pic.twitter.com/CsQNOlTov9	
ICYMI – I joined @HughHewitt this morning to discuss DACA. LISTEN:pic.twitter.com/WA563he4DW	
Today, we celebrate the American worker, the engine of the American economy. My statement on Labor Day: http://ow.ly/XNAQ30eUh2L pic.twitter.com/G2wMzEds2a	
My statement on the closure of three Russian diplomatic facilities in the U.S. http://ow.ly/SIhE30eP40x pic.twitter.com/3SrEtaDSa9	
I appreciate the service of the @arkansasguard. Arkansans support our neighbors in TX and LA, and all those affected remain in our prayers.https://twitter.com/asahutchinson/status/901892238271283201 …	
Great to be with the AIPAC Christian-Jewish Leadership Caucus in Conway today. Thanks for your time.pic.twitter.com/sJ9vJh0yEd	
It was an honor to present military medals to the family of WWII veteran George Anderson. WATCH via @KARK4Newspic.twitter.com/jnrSedDJDY	
READ: ‘Daughters finally get dad's WWII service medals’ via @ArkansasOnlinehttp://ow.ly/IO2130eEpmH 	
I am grateful for the service of WWII veteran George Anderson and pleased my office was able to recover his medals. WATCH via @THV11pic.twitter.com/prUKKSeoXh	
It was an honor to present recovered medals to the family of WWII veteran George Anderson today. We are grateful for his service.pic.twitter.com/kuVH3XzASZ	
Great to meet with officers from @HotSpringsPD today. Thanks for your work to keep the community safe.pic.twitter.com/F1ZRWHfXaf	
The president gave a strong speech tonight, and I support his decision on Afghanistan. http://ow.ly/TRLv30ezYqK pic.twitter.com/x3uSVMh6xu	
Our men and women in uniform face danger every day, even in peacetime. Thinking and praying for our missing sailors.http://www.foxnews.com/world/2017/08/21/search-underway-for-10-sailors-after-uss-john-s-mccain-collision-near-singapore-ship-has-significant-damage.html …	
My statement on the jailing of pro-democracy protestors in Hong Kong: http://ow.ly/bb9e30ew9lr pic.twitter.com/ILvHihL7dH	
Russian treaty violations need to have consequences.http://ow.ly/zzKt30eplBs 	
Today, college football lost one of the greats. My statement on the passing of Frank Broyles: http://ow.ly/OXTD30epgU6 pic.twitter.com/ESfr49dONx	
READ my letter to the editor in the @WSJ ‘RAISE Act Will Rationalize Legal Immigration’http://ow.ly/1pRL30enhc9 	
My statement on the violence in Charlottesville: http://ow.ly/tpJM30en3LS pic.twitter.com/50mptAz2Pv	
READ my op-ed in @USATODAY with @sendavidperdue: 'Our immigration plan is pro-worker and pro-growth’http://ow.ly/1Fd830eglwv 	
Immigration Anxieties, Then and Now. Good take on the RAISE act and immigration by @wrmead.https://www.wsj.com/articles/immigration-anxieties-then-and-now-1502144233 …	
The RAISE Act focuses on the needs of working families in reforming our immigration system.pic.twitter.com/FWHlPrrXDw	
WATCH the press conference outside the @WhiteHouse on the RAISE Act:pic.twitter.com/juHozClYVb	
The RAISE Act would raise working Americans’ wages by giving priority to the best-skilled immigrants.pic.twitter.com/fgSq6tAy65	
WATCH my remarks at the @WhiteHouse on the RAISE Act:pic.twitter.com/5abQyZNsn9	
Joining @jdickerson on @FaceTheNation shortly to discuss the RAISE Act. Tune in!	
America Deserves a RAISE. More on the RAISE Act: http://ow.ly/VZir30earTq pic.twitter.com/xMAELZpkWX	
ICYMI - I joined @sendavidperdue and @TuckerCarlson to discuss the RAISE Act earlier this week. WATCH:pic.twitter.com/RuNk1oACUs	
LISTEN to my interview with @hughhewitt from yesterday on the RAISE Act:http://ow.ly/7ene30e8OYV 	
I joined @TheLeadCNN this afternoon to discuss reforming our immigration system to focus on raising wages for American workers. WATCH:pic.twitter.com/t0E5TBhMFD	
I talked with @ShannonBream on @AmericaNewsroom about my legislation to raise wages for American workers. WATCH:pic.twitter.com/SBUQvLt0wY	
One more supporter for the RAISE Act!pic.twitter.com/7FzHrFx3y0	
I talked with @newsradio1029 this morning about immigration and healthcare. LISTEN:pic.twitter.com/sZcKjWNqD4	
ICYMI - I joined @sendavidperdue and @TuckerCarlson to discuss the RAISE Act tonight. WATCH:pic.twitter.com/7WNXdFgSLN	
Joining @TuckerCarlson shortly to discuss the RAISE Act. Tune in!	
America Deserves a RAISE. More on the RAISE Act: http://ow.ly/owXE30e7cZz pic.twitter.com/TMVLzlGIBh	
The RAISE Act focuses on the needs of working families in reforming our immigration system.pic.twitter.com/KvNRYV4fXr	
WATCH the press conference outside the @WhiteHouse earlier on the RAISE Act:pic.twitter.com/NFXq3Giw6Z	
The RAISE Act would raise working Americans’ wages by giving priority to the best-skilled immigrants. http://ow.ly/owXE30e7cZz 	
WATCH my remarks at the @WhiteHouse on the RAISE Act:pic.twitter.com/HqLCDsMbTa	
I joined @sendavidperdue today in introducing the Reforming American Immigration for a Strong Economy Act. MORE: http://ow.ly/LOnV30e718I 	
My Washington, D.C. office is now seeking fall interns. More info: http://ow.ly/fDke30e3ouB 	
Thanks to Reince Priebus for his service to our country. (2/2)	
John Kelly is a great American. Anna and I are proud to call him and his wife, Karen, friends. He's an outstanding choice. (1/2)	
Congratulations to the new Garland County Sherriff’s Deputies. Thanks for your work to keep the county safe.pic.twitter.com/jNahbW7q7R	
Thanks to all who came out for the ribbon cutting of the new Highway 25 bypass in Conway this week.pic.twitter.com/osQJUNbm6l	
Thanks to Garner and Kathlyn for discussing juvenile diabetes research with me yesterday.pic.twitter.com/xfxNkC67YM	
Thanks to Arkansans with RESULTS for sharing with me about their work to end poverty.pic.twitter.com/0cPatxHyVh	
Congratulations to Staff Sgt. Tasheenia L. Wallace on making history & being the first woman to complete the @arkansasguard infantry course.https://twitter.com/KARK4News/status/890322871242768384 …	
READ my op-ed in the @WSJ - 'Repeal the Budget Control Act’http://ow.ly/ybTv30dVUFz 	
Glad to meet with members of ACCSES this morning and discuss ways to help those with disabilities. Thanks for your time.pic.twitter.com/JPLfBeAbt9	
Great turnout for the Linebacker II Memorial Rededication event at Eaker Air Force Base in Blytheville.pic.twitter.com/DwvN8ecPYP	
READ: “Repeal the CFPB's Anti-Consumer Ban on Mandatory Arbitration Clauses” via @Forbeshttp://ow.ly/6OSu30dUgdu 	
Jeff Sessions is a good man and a fine Attorney General. Statement: http://ow.ly/5Je830dUzKD 	
This vote is the first step toward solving the problems created by Obamacare. Statement: http://ow.ly/7pFE30dUAxH pic.twitter.com/i426fTRPWA	
I joined @newsradio1029 this morning to discuss healthcare and the Taiwan Security Act. LISTEN:pic.twitter.com/jE9UFgKevM	
I joined @SenCoryGardner in introducing legislation today to enhance the U.S.-Taiwan relationship. MORE: http://ow.ly/q34t30dSa7r 	
I joined @RobyBrock on @TBArkansas to discuss healthcare. WATCH:pic.twitter.com/xxoFg1gi8u	
I had the honor of visiting with USS Arizona survivors yesterday in D.C. WATCH the story via @KARK4News:pic.twitter.com/uVq6MqkLIf	
My statement on the Iran Deal recertification: http://ow.ly/3mbD30dIWo0 	
My statement on @USDA agreement allowing rice exports to China: http://ow.ly/XZ3h30dNac3 pic.twitter.com/dZy9UzDK7t	
It was an honor to meet with USS Arizona survivors today and show these American heroes around the WWII Memorial.pic.twitter.com/KvIiKxn4YA	
Today my colleagues and I filed a resolution disapproving of the CFPB Arbitration Rule:http://ow.ly/5pY530dMRKa 	
I fully support Mark Esper’s nomination as Army Secretary. Statement: http://ow.ly/Pbpv30dLHVs pic.twitter.com/7u2Txqhroq	
Thanks to the @USChamber for hosting me for a discussion on the CFPB’s arbitration rule this morning.pic.twitter.com/PQbjVCFnk4	
Great to visit with representatives from the Arkansas Hospice and Palliative Care Association about quality care today.pic.twitter.com/ZncQvl2suT	
WATCH my Q&A with General Paul Selva on the INF Treaty from today’s @SASCmajority hearing:pic.twitter.com/R9uoT4xSpq	
I joined the @IngrahamAngle show today to discuss healthcare, tax reform, and confirmations. LISTEN:http://ow.ly/wJ0n30dJ79D 	
I joined @hughhewitt this morning to discuss healthcare. LISTEN:pic.twitter.com/nbLutdFU8T	
Thanks to Brig. Gen. Keith Klemmer for serving the @arkansasguard honorably, and congratulations on retirement.pic.twitter.com/FbChOAJ9O4	
Great to have @FarmBureau members from across the country in Rogers this week for the National Commodity Conference.pic.twitter.com/oTxweqMO2Z	
Congratulations to Brig. Gen. John Payne with the @arkansasguard on a successful promotion ceremony. Thanks for your service.pic.twitter.com/4b6auNK8cf	
My statement on the two-year anniversary of Iran Deal: http://ow.ly/2j0t30dDVyl 	
The Iran deal was a foolish mistake from the very start, and it certainly hasn’t improved with age. Statement: http://ow.ly/qFwC30dDv7M pic.twitter.com/LkNZu0V53n	
I questioned Secretary of the Navy Nominee Richard Spencer about restoring the secretariat’s credibility among U.S. sailors. WATCH:pic.twitter.com/J83tkXcO4e	
The CFPB has gone rogue again, abusing its power in a particularly harmful way. My statement: http://ow.ly/YdX330dzxVE 	
ICYMI – I questioned Federal Reserve Chair Janet Yellen on rural banks at today’s @BankingGOP hearing. LISTEN:pic.twitter.com/lDJsm2Rcts	
During yesterday’s @SASCMajority hearing I questioned defense nominees on Boeing sales to Iran and the Budget Control Act. WATCH:pic.twitter.com/TmWlVVvJ4k	
My statement on the death of Liu Xiaobo: http://ow.ly/BtQI30dBE89 pic.twitter.com/LdXCLMASme	
Great to have so many Arkansas students in town for the 4-H Citizenship Washington Focus this week!pic.twitter.com/cl1WjCN9Qa	
During today’s @SASCmajority hearing I questioned defense nominees on Boeing sales to Iran and the Budget Control Act. WATCH:pic.twitter.com/0meb8SMPCN	
I’m grateful my colleagues on the Foreign Relations Committee took the time to learn more about the Taylor Force Act http://ow.ly/fUgC30dA6QT 	
Glad we're no longer turning a blind eye to Kaspersky. ICYMI: I raised this during SSCI open hearing last month https://www.youtube.com/watch?v=rub5FepaTR8&feature=youtu.be …https://twitter.com/ABC/status/884759365051404288 …	
I joined @foxandfriends to discuss why Secretary Tillerson shouldn’t certify Iran’s compliance with the nuclear deal. WATCH:pic.twitter.com/2gTCFQAuim	
"Republicans in Congress are pressing Secretary of State Rex Tillerson to change his tune on the Iran deal."http://ow.ly/Jajm30dygEW 	
I joined my colleagues in urging Secretary Tillerson not to certify Iran compliance with the JCPOA. MORE: http://ow.ly/GMiA30dxYsW 	
I questioned Secretary of the Navy Nominee Richard Spencer about restoring the secretariat’s credibility among U.S. sailors. WATCH:pic.twitter.com/tfcrWCB8iY	
The CFPB has gone rogue again, abusing its power in a particularly harmful way. My statement: http://ow.ly/zVnA30dxE9N pic.twitter.com/mq0utGqJJE	
My statement on the loss of 16 service members who died in the KC-130 crash in Mississippi: http://ow.ly/D52j30dxwdy 	
My statement on the murder of New York City Police Officer Miosotis Familia: http://ow.ly/8jBe30dmdPK 	
Happy Independence Day! I hope you enjoy time with friends and family today, & remember all who have served to ensure our nation's freedom.pic.twitter.com/MtqF86UqA2	
I appreciate the quick action of @LRpolice in response to last night's shooting. My prayers are with all involved.	
Yesterday I spoke on the Senate floor in honor of Medal of Honor recipient Arthur J. Jackson. WATCH:pic.twitter.com/UYsue9nFDV	
I remembered Joe Dale Burgess on the Senate floor, an Arkansas veteran who recently died of cancer. WATCH:pic.twitter.com/uKggXu4QJo	
I applaud the FDA's decision to expedite the review of generic drug applications. http://ow.ly/vXIW30d4M6z 	
The EPA’s proposed rescission of the “Waters of the U.S.” rule from 2015 is a wise move, and much overdue. http://ow.ly/JNiD30d22cS 	
My statement on House passage of Kate’s Law and anti-Sanctuary City legislation: http://ow.ly/1g2w30da5xE 	
J. Cody Hiland is the absolute best choice for U.S. Attorney for the Eastern District of Arkansas: http://ow.ly/sPUP30da4o6 	
introduced legislation that would give military families with children better support and more flexibility. More: http://ow.ly/H7eF30cUpYt 	
I introduced legislation to allow World War II and Korean War veterans to register firearms acquired overseas. More: http://ow.ly/zmtw30cVPFu 	
Earlier today I spoke on the Senate floor in honor of Medal of Honor recipient Arthur J. Jackson. WATCH:pic.twitter.com/BfDkOPJ6TT	
Today I commemorated Joe Dale Burgess on the Senate floor, an Arkansas veteran who recently died of cancer. WATCH:pic.twitter.com/1gMApsji10	
I applaud the FDA's announcement that it will expedite the review of generic drug applications. http://ow.ly/vXIW30d4M6z 	
WATCH my Q&A from today’s Intel committee hearing on NATO Article 5 and Germany’s defense budget:pic.twitter.com/oEcJEAuuDX	
Enjoyed presenting @SecretarySonny a thank-you note from @Tusk_UA on behalf of AR farmers for his visit to flood damaged areas of our state.pic.twitter.com/4L4CVHB2W3	
WATCH the Senate Intelligence Committee Hearing on Russian Intervention in European Elections live: http://ow.ly/5qqU30d1ylf 	
The EPA’s proposed rescission of the “Waters of the U.S.” rule from 2015 is a wise move, and much overdue. https://www.cotton.senate.gov/?p=press_release&id=729 …	
I introduced legislation that would give military families with children better support and more flexibility. More: http://ow.ly/H7eF30cUpYt 	
I joined my colleagues in introducing the Veterans Heritage Firearms Act. More: http://ow.ly/zMtZ30cUpRT 	
I joined the Center for the National Interest for a discussion about America’s missile defense today. WATCH:http://ow.ly/6pSX30cUi3X 	
I joined my colleagues in introducing the STRONGER Patents Act to protect and support inventors and innovators. http://ow.ly/QU0330cMKW9 	
Thanks to members of the Arkansas Optometric Association for stopping by to discuss healthcare with me today.pic.twitter.com/LC4Bc9UlVQ	
Yesterday I questioned Navy officials about the cost of shipbuilding and readiness of submarines. WATCH:pic.twitter.com/RHIF4SZdzQ	
I spoke on the Senate floor this week about criminal justice policies. WATCH:pic.twitter.com/rd0bExdJsu	
MUST READ: “Meet the Young Man Who Makes Flags for America’s Fallen Soldiers” via @NBCNewshttp://ow.ly/xvp030cOF2C 	
Thanks to Ryan, Keith, and Bucky with the Mortgage Bankers Association for talking with me about regulatory relief today.pic.twitter.com/cZpae58xQG	
The STRONGER Act will ensure intellectual-property rights are treated with the same respect as all our other rights. http://ow.ly/88m730cML2o 	
Yesterday, I questioned the Deputy Defense Secretary nominee. WATCH:pic.twitter.com/M5CfNjPGZK	
I joined my colleagues in introducing the STRONGER Patents Act to protect and support inventors and innovators. http://ow.ly/QU0330cMKW9 	
I spoke on the Senate floor yesterday about criminal justice policies. WATCH:pic.twitter.com/OtbDTUF63Z	
WATCH my Q&A from the Senate Intelligence Committee hearing on Russian interference in the 2016 elections:pic.twitter.com/a31pOqsI4n	
Earlier today I questioned Navy officials about the cost of shipbuilding and readiness of submarines. WATCH:pic.twitter.com/wKC3U8VFxv	
Besides @AllMattNYT & @adamgoldmanNYT need time to explain to FBI investigators their revealing of highly classified info. 10/10	
@nytimes should spend more time on accurate, logical reporting than just regurgitating @RonWyden talking points. 9/?	
And, by the way, if Democrat Yates so worried about Flynn, did she ever try to rescind his security clearance? Did John Brennan? 8/?	
Which probably were already undermined anyway by this @IgnatiusPost from Jan. 12:https://www.washingtonpost.com/opinions/why-did-obama-dawdle-on-russias-hacking/2017/01/12/75f878a0-d90c-11e6-9a36-1d296534b31e_story.html?utm_term=.94930bcbca6f …	
Putting aside Democrat Yates's breathless, overwrought theories of potential "compromise." 6/?	
Plus, Pompeo confirmed by Senate late on Jan. 23, so on own terms this @nytimes story talking AT MOST about two days! 5/?	
But this @nytimes story refutes itself, saying Yates told WH of misstatement on Jan. 26, thus eliminating risk of "compromise"! 4/?	
Democratic partisan Sally Yates claimed Flynn was "compromised" because he misstated to VP the nature of talks with Russian ambassador. 3/?	
Implication is D/CIA Pompeo should've excluded Flynn from PDB because Flynn was "compromised." Let's consider that. 2/?	
Yet another @nytimes story that is "almost entirely wrong," to quote the former FBI Director about their past reporting... 1/?https://twitter.com/nytimes/status/877489037254295552 …	
Thanks to Greg, Chris, Ron, and Bo with the Arkansas Hospital Association for stopping by today.pic.twitter.com/CEyOW3v6zR	
This morning, I questioned the Deputy Defense Secretary nominee. WATCH:pic.twitter.com/L3m9Lzhgrn	
Like all Arkansans, I extend my deepest condolences to the Warmbier family. Statement: http://ow.ly/kctD30cJ2dv 	
Thanks to Arkansas representatives from the Home Builders Association for stopping by my office this week.pic.twitter.com/j8DCVVk9Ru	
I enjoyed hearing about National History Day projects from Butterfield Middle School students in Van Buren.pic.twitter.com/ewZySV6iG7	
Great to visit with representatives from the Arkansas brick industry about regulation affecting their businesses.pic.twitter.com/IPv1J2sSVJ	
Great to meet with Ty from Mt. Pleasant with the American Quarter Horse Association last week. Thanks for coming by!pic.twitter.com/ENHbXPPrE3	
Thanks to Arkansas representatives from the American Forest & Paper Association for discussing tax policy with me last week.pic.twitter.com/beO9so5RQZ	
I want to offer my condolences to the family and friends of the seven sailors we lost on the U.S.S. Fitzgerald. http://ow.ly/K0vD30cGBnb 	
Happy Father’s Day! I’m grateful for my father, Len, and all the important lessons he taught me about hard work, service, and family.pic.twitter.com/CVPeN7A6lD	
My statement on the rescission of DAPA: http://ow.ly/wjYe30cEtLq 	
I called for repeal of the Budget Control Act during a @SASCMajority hearing this week. WATCH:pic.twitter.com/MXvE9qvd7K	
My statement on the new Afghanistan strategy: http://ow.ly/KOXO30cEtQC 	
I questioned Attorney General Sessions about Russia and the leaks of sensitive information. WATCH:pic.twitter.com/68S4UermGQ	
I was honored to be at Arlington National Cemetery yesterday for the funeral of PFC Larry Roberts, a Marine who was killed during WWII.pic.twitter.com/ZHqf6jQl80	
I spoke on the Senate floor earlier this week in favor of the Iran Sanctions Bill. WATCH:pic.twitter.com/IZBzhe6VJt	
WATCH my interview from @Morning_Joe yesterday:pic.twitter.com/q2M54b93ZM	
I spoke on the Senate floor today about the Alexandria shooting and PFC Larry Roberts, the WWII Marine from Arkansas. WATCH:pic.twitter.com/V5qrUxwsef	
On #FlagDay we pause to remember why we proudly fly our nation’s colors: to signify freedom, liberty, and justice for all.	#FlagDay
Happy 242nd Birthday to the @USArmy! I am grateful for all soldiers past and present who serve for our freedom and safety. #ArmyStrongpic.twitter.com/3IwgqjdZcB	#ArmyStrongpic
My thoughts and prayers are with Rep. Scalise, staffers, Capitol police officers, and all who were impacted by this morning's shootings.	
Joining @Morning_Joe shortly. Tune in!	
Great to meet with Arkansas high school students in DC for the National Student Leadership Conference today.pic.twitter.com/sxlKwpQzxo	
It was an honor to meet with Jeff Russell and Brandon Herron today, recipients of the American Ambulance Association Stars of Life award.pic.twitter.com/UJHjFEqzWM	
I spoke on the Senate floor earlier today in favor of the Iran Sanctions Bill. WATCH:pic.twitter.com/FwZc0IKExC	
I questioned Attorney General Sessions about Russia and the leaks of sensitive information. WATCH:pic.twitter.com/UnPCOT6EWT	
I called for repeal of the Budget Control Act during today’s @SASCmajority hearing. WATCH:pic.twitter.com/gtT5S8V6nZ	
My statement on Panama switching diplomatic recognition from Taipei to Beijing: http://ow.ly/XD9X30cyI6P 	
Today we mourn the death of Lt. Patrick Weatherford, a distinguished member of the AR law-enforcement community. http://ow.ly/4CCe30cyBfj 	
Congratulations to David Dunning on being named the new director of the Memphis VA. Thanks for serving our veterans.	
President Trump is right to support the Arab-led effort to change Qatar's behavior once and for all. Statement: http://ow.ly/o9bX30ctm3O 	
WATCH my remarks on the Senate floor about the importance of Section 702 of FISA:pic.twitter.com/J6Istjhh7Y	
My statement on President Trump's support of NATO's Article 5: http://ow.ly/1Heg30ctnBV 	
Great to see students from Russellville High School today. Enjoy your time in DC!pic.twitter.com/Gn0HWqaPEg	
WATCH my Q&A from today's Senate Intelligence Committee hearing with James Comey:pic.twitter.com/dvg7zgKl88	
WATCH the Senate Intelligence Committee hearing with former FBI Director James Comey live: http://ow.ly/GT0H30cqIxU 	
My statement on Department of Justice payout policy change: http://ow.ly/cxl930cpu8A 	
WATCH my Q&A from yesterday with Air Force Chief of Staff Goldfein about pilot retention in the Air Force:pic.twitter.com/pEHmodk17M	
Yesterday I introduced a bill that would extend key intelligence programs. MORE: http://ow.ly/h0iY30cn8lc 	
I spoke on the Senate floor yesterday in support of Courtney Elwood to be general counsel for the CIA. WATCH:pic.twitter.com/G8sSdCEloA	
WATCH my remarks on the Senate floor about the importance of Section 702 of FISA:pic.twitter.com/ZtIPx8DDJ6	
My statement on the dispute between Qatar and other Middle Eastern countries: http://ow.ly/u6eR30cnisq 	
“Congress Must Reauthorize Foreign Surveillance” via @nytopinionhttp://ow.ly/nEEV30coIN4 	
Thanks to James, Brian, Derrick, and Tracye with the Enlisted Association of the AR National Guard for your time today.pic.twitter.com/6LyR8JlP2B	
Thanks to Children's Advocacy Center representatives for discussing their work to help child abuse victims in Arkansas today.pic.twitter.com/zur3uS74Oi	
I urge the Qataris to take tangible, positive steps toward a sustainable resolution. http://ow.ly/u6eR30cnisq 	
I appreciate members of the Arkansas Health Care Association for meeting with me today.pic.twitter.com/y832tivHYu	
Today I introduced a bill that would extend key intelligence programs. MORE: http://ow.ly/h0iY30cn8lc 	
LISTEN to my interview with @HughHewitt from this morning:pic.twitter.com/RWjm6JLW6K	
On this day 73 years ago, the Allied forces stormed the beaches of Normandy and took back a continent in the name of freedom #DDay	#DDay
On this 75th Anniversary of the Battle of #Midway we remember all those brave sailors who turned the tide in the Pacific during WWII	#Midway
Congratulations to CMSgt Eddie McElyea on a successful change of authority and CMSgt Asa Carter on his retirement. Thanks for your service.pic.twitter.com/W5BCRvyIjM	
LISTEN to my interview with @newsradio1029 about Arlington National Cemetery and Little Rock Central High Historic Site:pic.twitter.com/WUkq2ZETZb	
