Looking forward to joining @smerconish on @CNN - tune in!	
Bipartisan health care hearings are an important step towards stabilizing premiums, expanding coverage, & lowering costs to help patients	
DE is home to 1,444 #DREAMers, without whom the US would lose an est. $88,119,069 in GDP every single year. #DefendDACA	#DREAMers #DefendDACA
. @POTUS has gone back on promise to 'treat #DACA with heart’ & again has showed us that he does not understand the true character of America	#DACA
In fact, 72% of the top 25 Fortune 500 companies—including Walmart, Apple, GM & Amazon—employ #DACA recipients:https://www.businessleadersdacaletter.com/ 	#DACA
Ending #DACA will damage our economy - #DACA beneficiaries are expected to contribute $460.3 billion to US GDP over the next decade	#DACA #DACA
Ending #DACA will hurt the thousands of immigrant families whose loved ones will be forced to leave the US. #DefendDACA	#DACA #DefendDACA
RT if you support DACA & DREAMers. #DefendDACA	#DefendDACA
#DACA has helped over 750,000 #DREAMers contribute to society free of the fear of being forced to leave the only home they have ever known	#DACA #DREAMers
Those who come to our country as kids, w/o authorization but thru no fault of their own, deserve to live their lives out of the shadows	
I am deeply disappointed by the President’s decision to end the #DACA programhttps://twitter.com/nytpolitics/status/905084316211961857 …	#DACA
I want every #DREAMer to know that I stand with them.	#DREAMer
Great to be with Councilman Tim Sheldon and all the hard working members of Delaware's AFL-CIO for this morning's Labor Day parade. #NetDEpic.twitter.com/4B7xGmsQ86	#NetDEpic
Our thoughts and prayers are with the family of Dover PD Cpl. Thomas Hannon who passed away early Friday morning.http://www.delawareonline.com/story/news/2017/09/01/dover-police-corporal-dies-result-line-of-duty-injury/625635001/ …	
We must make every effort at diplomacy while also preparing for the strong possibility of escalating confrontation.	
It is urgent that we speed up deployment and development of systems that can defend our homeland and our vital allies South Korea and Japan.	
...to increase pressure on North Korea through tougher sanctions, while also strengthening our defensive anti-missile capabilities.	
N Korea's dangerous regime has once again defied the UN, its closest ally China & the world in testing another, even larger nuclear device	
#DREAMers are our neighbors and our friends. They go to school and work and church with us. We should support them, not turn them awayhttps://twitter.com/foxnews/status/903317500254924805 …	#DREAMers
Plain and simple: this is the Trump Administration working to ensure that *fewer* people get health insurance.https://twitter.com/ap_politics/status/903357699211096065 …	
Honored to spend this week in West Africa w/ Senate & House colleagues. I'll be sharing photos throughout the week.	
Another reminder that the men and women of the @USCG are American heroeshttps://twitter.com/usatoday/status/902157043292831744 …	
Continuing to pray for everyone impacted by Hurricane Harvey, and incredibly inspired by first responders & everyday citizens saving lives	
Well said, @SenJohnMcCain. This pardon defies the interests of justice and the rule of law.https://twitter.com/senjohnmccain/status/901276851561222144 …	
My statement regarding the racist graffiti found in Wilmington and on Castle Hills playground equipment. #NetDEpic.twitter.com/YKnZEc5oD7	#NetDEpic
Great to speak w DE Hispanic small business owners in Wilmington today & hear about what we can do to support their work.pic.twitter.com/Q2XTJ5GbF4	
Taking a look at #SolarEclispe2017 through the Unitron 60mm under the watchful eye of Dr. Judi Provençal at the Mt. Cuba Observatory. #netDEpic.twitter.com/SnABvW7f0b	#SolarEclispe2017 #netDEpic
Our first stop on the #SolarEclipse17 tour - @delmnh with my daughter Maggie. More than 1k here to see the astronomical anomaly. #netDEpic.twitter.com/TQEzpDIKiu	#SolarEclipse17 #netDEpic
In June I visited w the brave sailors of USS John S McCain. Today my prayers are with the crew and the 10 missing sailors.pic.twitter.com/L4pYciSxlI	
I agree with these bipartisan experts. I oppose any potential merger of @StateDept & @USAID.http://wapo.st/2wY7JnW 	
Praying for the victims in Barcelona & their families after this cowardly attack - we stand w our ally Spain & all those fighting terrorism.	
We need to see white supremacy for what it is - an evil ideology that denies the truth that all of us are created equal.	
There are no 'fine people' anywhere carrying swastikas and wearing Klansman robes.https://twitter.com/abcpolitics/status/897556101293420544 …	
Dreamers are American in every way except immigration status. That shouldn't stop them from living the American Dream. #DefendDACA	#DefendDACA
On the 5th anniversary of DACA’s implementation, we recommit to #DefendDACA and pass the #DreamAct & comprehensive immigration reform.	#DefendDACA #DreamAct
Happy 70 years, India! Today I join Indians around the world to celebrate the Indian Dream of freedom, tolerance & prosperity #IndiaAt70	#IndiaAt70
Progressive values aren't just secular values. Read my op-ed in @TheAtlantic:https://www.theatlantic.com/politics/archive/2017/08/progressive-secular-religious/536559/ …	
Looking forward to speaking with @hughhewitt tomorrow AM at 7:05 about my piece in @TheAtlantic & much more https://www.theatlantic.com/politics/archive/2017/08/progressive-secular-religious/536559/ …	
To Dr. Sarma, Chitra Damaraju and all the folks who make the India Day Parade in Hockessin a great Delaware tradition - have a great event!	
I'm also praying that hate and bigotry will give way to tolerance and patience	
Free speech is one of our most basic values & while we respect that right, the hate that fuels racism must be called out and challenged, too	
Today's rally in #Charlottesville was a disturbing display by white supremacists and KKK members seeking to stoke division in our country	#Charlottesville
. @SenatorCarper is right: the stage has been set for better, more affordable health care coverage. Let's work together & do it right.	
Great read about my friend @SenatorCarper & his determination to do the right thing on health care:https://www.usatoday.com/story/news/politics/2017/08/08/sen-tom-carper-cast-governors-lobbyist-health-care-debate/549064001/ …	
Science and scientists play a critical role in our policymaking – Science should not be silenced.http://science.sciencemag.org/content/357/6350/431.full?utm_source=sciencemagazine&utm_medium=twitter&utm_campaign=6350issue-14502 …	
"Human activities, especially from the emissions of GHGs, are primarily responsible for recent observed climate change."https://twitter.com/nytimes/status/894780744874180608 …	
The evidence couldn't be more clear - a sweeping new federal study has reaffirmed that Americans are experiencing impacts of climate change.	
. @SenThomTillis & I are sending a strong, bipartisan signal that there will be real pushback if Mueller is fired:https://www.youtube.com/watch?v=lwyWWJMKQdw …	
Calling on all scientists: don't just publish your research – publicize it. We can't be silent, or else science will truly be silenced.	
I hope everyone is enjoying Chris Coons bobblehead night at the @WilmBlueRocks game tonight. I know I am! #netDEpic.twitter.com/suzPUzTLqe	#netDEpic
Risk of woman dying in childbirth is 47x higher in Africa than US - this bill will provide $$ for better care & resources #SaveMomsAndKids	#SaveMomsAndKids
. @SenatorCollins & I introduced the Reach Act to help end preventable maternal, newborn, & child deaths by 2030: http://bit.ly/2uou4sp 	
We need to remember that our constitutional order & the success of our democracy depends on checks & balances.	
If the special counsel is fired w/o cause, this bill ensures there will be consequences. A court, not the president, will have the final say	
We can't have the president firing special counsels for no reason. No one, not even our president, is above the law.	
It will allow judicial review if @POTUS fires the special counsel, & reinstate the special counsel if Court finds he was fired unlawfully.	
Today, GOP @SenThomTillis & I introduced a bipartisan bill that will protect the integrity of the Special Counsel investigationhttps://twitter.com/AP_Politics/status/893019196887642113 …	
. @SenatorCarper & I agree - we need to stabilize the insurance markets & work across the aisle to fix the ACA	
Proud to join @SenatorCarper @RepBRochester @JohnCarneyDE in demanding that the ACA be fixed in bipartisan manner:http://delawarestatenews.net/news/carper-coons-demand-bipartisan-effort-health-care-fix/ …	
. @SenatorCarper & I believe that we must work together now to fix the Affordable Care Act:http://ux.delawareonline.com/story/news/2017/07/28/delawares-senators-failed-repeal-effort-bullet-dodged/519282001/ …	
It's time that we work together & improve the ACA. Here are some of my ideas about where to start:http://www.delawareonline.com/story/opinion/contributors/2017/07/30/bipartisan-prescription-fixing-affordable-care-act-sen-chris-coons/521754001/?from=global&sessionKey=&autologin= …	
No, Mr. President. And let me remind you that 60+ Senators *from both parties* disagree. http://www.politico.com/story/2017/04/senators-urge-save-filibuster-237014 …https://twitter.com/realdonaldtrump/status/891263843908947969 …	
I'm committed to working w/ @lisamurkowski & all of my colleagues-Rs & Ds-to improve our health care system. That's what Americans deservehttps://twitter.com/lisamurkowski/status/891015068854386688 …	
No, Mr. President. The lesson of last night is that Republicans & Democrats need to work *together* to get things done.https://twitter.com/realdonaldtrump/status/890935044474380288 …	
To the tens of thousands of Delawareans and God knows how many more Americans who spoke out to protect health care: Thank you.	
That. Offer. Stands. Let's work *together*	
Over the last several months, I’ve said time & again that I'm willing to work with Republicans to improve & fix the Affordable Care Act	
. @SenJohnMcCain, as he has done many times before, put politics aside to do what he believed was right	
Tonight's vote is a big deal, and it would not have been possible without the bravery of my friend @SenJohnMcCain	
And guess what? We're still not done fighting to ensure every American gets the care they deserve.	
We got this information 20 minutes ago. Senate Republicans are forcing a vote tonight.https://twitter.com/ap/status/890771751113830401 …	
Republicans are about to vote for their health care bill. Among those who know it's bad: doctors, nurses, hospitals, the public, Republicans	
My R colleagues just released their bill to redo America's h/care system. At 9:53 at night. And they want to vote on it in a couple hours.	
Let's be honest. This disastrous, fraudulent (their words) GOP health care bill isn't going to get better in a conference w the House.	
Let's work together. Let's hold hearings. Let's hear from doctors, nurses, patients. Let's try. Let's do the right thing.	
All we know right now is that every single GOP proposal that’s been brought forward has two features: reduced coverage and higher costs.	
Here's the latest from a busy, important night in the Senatepic.twitter.com/yqQnoDGPeA	
Study shows 40,000+ Delawareans would lose coverage under the GOP's 'skinny' bill & premiums would increase by more than $1,000 annuallypic.twitter.com/bA9MuEe55S	
Today could be the most important yet in protecting our healthcare - don’t stop calling, don’t stop fighting!	
RT if you’re not done fighting for our right to health care - this is a battle we can still win	
The idea that President Trump will negotiate tougher sanctions isn't credible.https://twitter.com/cnn/status/890535269069344768 …	
POTUS would be making a grave mistake if he vetoes sanctions on Russia that have passed Congress with an overwhelming, vet-proof majorityhttps://twitter.com/johnjharwood/status/890541111864852480 …	
Just joined @PPFA to speak about health care. We have another day to make our voices heard!pic.twitter.com/EnwOfCyo8j	
We rejected another disastrous GOP bill today, but this is far from over. Keep working, keep fighting, and keep contacting your Senators!https://twitter.com/nytimes/status/890301300864364546 …	
2. It would possibly also eliminate the employer mandate & some of the #ACA's taxes on the health care industry	#ACA
1. Eliminate #ACA's individual mandate – sending our insurance markets into chaos & increasing premiums for those who need coverage the most	#ACA
This would be an #ACA repeal bill that eliminates only some of its measures. It would be a disaster. This bill would:	#ACA
There is also discussion that Senate Republicans may move to what's being called a "skinny repeal bill"https://www.vox.com/policy-and-politics/2017/7/25/16025332/senate-health-care-bill-individual-mandate-hail-mary …	
We should be protecting coverage for vulnerable populations, not stripping it away!	
We’re also going to be voting on Democratic amendments that would protect Medicaid & people with disabilities	
Here's what the Senate is doing today – first, we're likely to vote on another repeal bill – more info herehttps://www.vox.com/2017/7/19/16000840/senate-obamacare-cbo-score …	
The health care fight in the Senate is not over, and today is another critical day.	
Exactly right.https://twitter.com/JoeBiden/status/890218086909063169 …	
RT if you're not done fighting to protect health care for millions of Americans	
The only debate that will happen in the Senate over the coming days is to decide whether 20M or 30M Americans will be thrown off their h/c	
But, we do know this - millions of Americans have made their voices heard, saying: don't cut #Medicaid & don't throw me off my health care.	#Medicaid
This was not a good day in the Senate, but our fight to protect Americans’ health care is not over by a long shot.pic.twitter.com/pdeOBSpGDm	
The Republican bills to repeal the Affordable Care Act - all of them - would be disastrous. I'm voting NO.	
There is a disturbing trend across the Trump Administration of nominating people whose main qualification is loyalty, with ties to Russia.	
Every single version of these bills makes deep cuts to Medicaid & leaves over 20 mil people uninsured. Every. Single. Version.	
Sixth time is not the charm. These GOP bills would take away health care from millions & increase out-of-pocket costshttps://twitter.com/NYTHealth/status/889607151899078658 …	
Russia must pay a price for its interference in our 2016 election & that starts by enacting sanctions.	
Senate Republicans must abandon their plan to repeal the #ACA & work w/ us to bring more affordable, more accessible, higher-quality care.	#ACA
I am deeply disappointed in this legislative process – we should know exactly what is in the bill & debate it properly.	
No public hearings, no final version, no consultations with health care experts. This is not how we improve our health care system.	
Today, we are voting on a motion to proceed even though we have no idea what version of the health care bill we will be voting on.	
Nearly 6 months have passed since AG Sessions was confirmed & he has not appeared before our committee for an oversight hearing.	
I echo your request, @SenFeinstein, that Sen. Grassley invite AG Sessions to appear in front of the Judiciary Cmte for an oversight hearing.https://twitter.com/NBCPolitics/status/889557254638374914 …	
The economy should work for you. The government should work for you. Democrats will work for you. That’s #ABetterDeal	#ABetterDeal
Let's keep fighting for public hearings & debates with health care experts, ins companies, patients, etc.	
RT if you agree: Republicans should drop their repeal plan & work together w/ Democrats to protect health care.	
TOGETHER, we can fix the problems of the #ACA & improve it so that it works for every American. Let's do this the right way.	#ACA
Senate Rs still trying to jam thru a h/c bill this week. We don't fully know what's in this version, but we know all versions are a disaster	
Ending funding for the Teen Pregnancy Prevention Program is short-sighted & will only make it harder to prevent unintended pregnancies	
The Udall amendment to ban horse slaughter just passed the Appropriations Cmte by voice vote! Thanks to all the Delawareans who contacted mepic.twitter.com/K3z10oUp2P	
My message to the Senate GOP: we can do better. Let's fix our health care system TOGETHER in a bipartisan manner & do it right.	
I am praying for his full recovery and for the return of his forceful voice to the Senate.	
Senator John McCain is a fighter, and I am hopeful he will once again beat the odds.	
That’s 32 million of your neighbors, your family members, and your friends. Real people.	
It’s no surprise that repealing the #ACA without a replacement would be a disaster, but this non-partisan CBO analysis is still stunninghttps://twitter.com/ap/status/887786428855353345 …	#ACA
Disenfranchisement is a threat to democracy. Russian interference is a threat to our democracy. Dead people are not.	
Mr. President, it’s true that our democracy is under attack, but not from exaggerated & fabricated accounts of ‘voter fraud’https://twitter.com/politico/status/887709891116154880 …	
For the President to simply throw his hands up & say: we'll simply let the insurance markets fail is just callous.https://www.youtube.com/watch?v=KHGEtlFCB2U&feature=youtu.be …	
This is just heartless. Mr. President, we're talking about real people here, literally tens of millions of people.https://twitter.com/realDonaldTrump/status/887280380423938048 …	
Arbitrarily preventing grandparents & refugees from entering our country is cruel & contrary to the Supreme Court's order on the #travelban	#travelban
RT if you agree: Democrats & Republicans should work TOGETHER to fix problems and improve the #ACA.	#ACA
My hand is up, I'm ready to work across the aisle & get this done.	
We should debate our ideas, hold public hearings, hear from the experts. But most of all: we should work together to get this right.	
Let's work together to fix the problems with the #ACA & improve it for every American.pic.twitter.com/ZGnaCDKWzD	#ACA
Whether it's health care, taxes, or any other issue, the answer isn't to break the rules. The answer is to work together.	
We should respect the rights of minority parties & their right to participate in the legislative process	
Mr. President, 8 Dems do not control the Senate. The American people do.https://twitter.com/realDonaldTrump/status/887302632687251456 …	
Well, no, but Dems WILL work with Republicans to improve Obamacare.https://twitter.com/realdonaldtrump/status/887134287350439936 …	
RT if you agree: If Senate GOP has more time to debate health care, Americans deserve hearings and testimony from h/c experts	
If we really want to support & grow American mfg we need more than theme weeks & slogans; we need ideas, policies, & leadership from the WHhttps://twitter.com/CNNPolitics/status/887039616662065152 …	
We need a full report from @USCBO on what impact the #healthcare bill will have. Let's use this extra time for more public debate	#healthcare
Before we vote on #Trumpcare, Americans deserve to hear from medical experts, patient groups, insurance companies, etc	#Trumpcare
#Healthcare vote delayed at least one week – let’s use that time to hold hearings and discuss the real impacts of this bill!https://twitter.com/washingtonpost/status/886418587296174080 …	#Healthcare
I agree with @JoeBiden. Republicans and Democrats should work TOGETHER to *improve* the ACA, not tear it downhttps://www.washingtonpost.com/news/posteverything/wp/2017/07/17/joe-biden-as-a-nation-we-decided-that-health-care-is-for-all-republicans-want-to-roll-that-back/?utm_term=.4c4a19ed03fb …	
. @JoeBiden is spot on: "A health care system built around emergency room visits isn't a health care system at all." https://www.washingtonpost.com/news/posteverything/wp/2017/07/17/joe-biden-as-a-nation-we-decided-that-health-care-is-for-all-republicans-want-to-roll-that-back/?utm_term=.4c4a19ed03fb …	
It might make the cars cheaper, but the cars are too dangerous to drive.	
The new GOP bill w/ the Cruz amendment is like allowing car companies to sell cars without airbags, bumpers, or emergency brakes.	
Today, I voiced my concerns about John Bush & Damien Schiff, two of the nominees the Judiciary Cmte just voted out:https://www.youtube.com/watch?v=oXHdfPEHLsQ …	
Very glad the Judiciary Cmte and the American people will hear testimony *under oath* from Donald Trump Jr.https://twitter.com/axios/status/885534973188612096 …	
We should not be repealing the Affordable Care Act, we should be working across the aisle to fix it and improve it.	
This revised version of the Senate #Trumpcare Bill is not a sufficient solution. I will continue the fight against it.	#Trumpcare
#trumpcarewill unfairly penalize the 16,714 older Delawareans who buy individual market coverage, increasing premiums & out-of-pocket costs.	#trumpcarewill
#TrumpcareWill also negatively impact the 196,320 Delawareans between 50 and 64 transitioning into Medicare over the next 15 years. #NetDE	#TrumpcareWill #NetDE
W/ reveal of new #Trumpcare bill impending, wanted to pass along facts from friends @AARP Full Delaware sheet here http://bit.ly/2ucR9lL 	#Trumpcare
Great to speak w/ 2016 Truman Scholars about importance of the Truman Scholarship Foundation & how it prepares young public service leaderspic.twitter.com/HkLlxkWe51	
Free speech demands a free and open internet. Stop the roll-back of #NetNeutrality.	#NetNeutrality
Support free speech. Support innovation. Support job growth. Support #NetNeutrality.	#NetNeutrality
Protecting free speech means protecting #NetNeutrality. RT if you support a free & open internet	#NetNeutrality
Christopher Wray, if confirmed, must report any interference with the investigation to Congress.	
I'm concerned that Attorney General Sessions hasn't complied with the scope of his recusal.	
. @POTUS said when he fired Comey that he was thinking about the FBI's investigation of Russian interference.	
I questioned FBI Director nominee Christopher Wray in the Senate Judiciary Cmte. Here are some things we talked abthttps://www.youtube.com/watch?v=EndUMFmhiqs&t=2s …	
It is the fundamental responsibility of the commander-in-chief to devise, explain, & defend U.S. military engagement. @POTUS' most impt job.	
It's an incredibly ill-advised time for deep cuts to State Dept. US diplomacy will be key in post-ISIS Mosul opposing Iranian influence	
