Hope I’m not too late, @TommyMcFly. Go @Nationals! #OnePursuitpic.twitter.com/0KhVIBxNRt	#OnePursuitpic
To the white nationalists descending on Charlottesville: go back to where you came from. Hate has no place in Va.https://www.washingtonpost.com/local/charlottesville-readies-for-a-white-nationalist-rally-on-saturday/2017/08/10/cff4786e-7c49-11e7-83c7-5bd5460f0d7e_story.html …	
President Trump has been playing politics with health care for months & now Virginians are paying the price.https://www.warner.senate.gov/public/index.cfm?p=PressReleases&id=1B25EB30-4055-4425-BC4C-145DD71ACF34 …	
This is politics at its worst.https://twitter.com/AP_Politics/status/895626121970155520 …	
We need fewer fiery words and bombastic tweets, more focus on addressing the North Korean threat:https://www.warner.senate.gov/public/index.cfm?p=PressReleases&id=AED1DFAD-2FD4-42F1-B554-2E83D89E8EDE …	
The fact that deliberate sabotage of the insurance market is even on the table for the White House should be disturbing to all Americans.	
Encouraged to see GOP colleagues putting people before politics. ACA needs fixes, but undermining it to score political points is just wronghttps://twitter.com/tpm/status/892392141917388801 …	
Incredibly proud of Cadet Simone Askew from Fairfax. Congratulations! https://www.stripes.com/news/army/west-point-cadet-from-virginia-breaks-ground-as-1st-captain-1.481371 …	
Or you could thank Russian dictator Putin, who hacked US election, undermines Western alliances, invaded Ukraine & annexed Crimea.https://twitter.com/realDonaldTrump/status/893083735633129472 …	
It now appears the President actually drafted his son's Trump Tower mtg statement in a way that intentionally deceived the American people.pic.twitter.com/a6SuNmxcAx	
Introduced a bill today creating #Cybersecurity standards for federal #IoT purchases. It's time to raise the bar for federal #IoTSecuritypic.twitter.com/GpgRm5OHQC	#Cybersecurity #IoT #IoTSecuritypic
Time to drop this partisan repeal process for good and work together on ways to improve health care for all Americans.	
Thank you to all Americans who made their voices heard. You did this.	
Long night. Now the real work begins.pic.twitter.com/S8bgSLDJl9	
For those who care about this legislation impacting 1/6 of our economy: 16 million will lose insurance, premiums will increase 20% #VoteNo	#VoteNo
We *just now* got the CBO score and final text of the GOP healthcare repeal bill. We're supposed to vote on it in a few minutes.	
This partisan process & the bill it produced are fatally flawed. The Senate is failing the American people tonight. #VoteNo	#VoteNo
Worse than the process, this bill will mean higher premiums w/ millions losing insurance. It was a bad bill yesterday. It's a worse bill now	
Heard lots of GOP complaints about lack of hearings & debate. But here we are voting in the middle of the night on a bill written hours ago.	
President Trump should sign this bill as soon as it hits his desk. Otherwise, he risks encouraging Russia’s interference in future electionshttps://twitter.com/AP/status/890701886822772736 …	
Make no mistake: #SkinnyRepeal is Beltway-speak for 16 million Americans losing their health insurance & a 20% premium hike. #VoteNo	#SkinnyRepeal #VoteNo
After 7 years of “Repeal Obamacare” campaign rhetoric, the Senate just rejected a bill to repeal the ACA & kick 32m off their insurance.	
I'm lucky I can provide for my daughters' medical needs, but the people Senators represent have the same right to healthcare as our own kidspic.twitter.com/tJKMzdWQl8	
I'm ready, but GOP has to meet us half way. We’ve had a secret process with 0 hearings. Only @SenateMajLdr even knows what we're voting on.https://twitter.com/BillyYank2/status/890220683430682624 …	
Headed to the Senate floor to speak out against the partisan healthcare repeal bills. This is no way to conduct the people’s business.	
On the steps of the Capitol w/my colleagues & Americans from across the US who are united in the fight to save healthcare. This is not over.pic.twitter.com/MWSbkrZre0	
Every senator has a choice today: throw your constituents under the bus for a political “win” or do the right thing & #VoteNo.	#VoteNo
I’m going to #VoteNo for the Virginia seniors who will see higher costs or even lose their nursing home care because of #Trumpcare.https://twitter.com/AARPadvocates/status/889859013306986501 …	#VoteNo #Trumpcare
If you have a bill that kicks millions off insurance & hurts your most vulnerable constituents, your job as a Senator is to #VoteNo	#VoteNo
Forget partisan politics for a second. Forget the campaign rhetoric. Whatever your thoughts on the ACA, the fact is #Trumpcare is a bad bill	#Trumpcare
Doctor’s orders: Vote NO on #Trumpcare. @AmerMedicalAssn says Senate bill violates the principle of "do no harm."https://twitter.com/envirohealthdoc/status/889581576375414784 …	#Trumpcare
Statement on reports that President Trump may be considering pardons to individuals involved in the Russia probe:pic.twitter.com/xmArpPesIx	
This is incredibly frustrating. How can state election officials prepare for 2018 if they're kept in the dark?https://morningconsult.com/2017/07/18/state-officials-criticize-dhs-response-election-hacking-attempts/ …	
Praying for @SenJohnMcCain's speedy recovery tonight. A grateful nation stands with you, John.	
This is what "repealing Obamacare" actually looks like. Time to give up on partisan repeal & cut a real, bipartisan healthcare deal.https://twitter.com/USATODAY/status/887790760321404929 …	
We saw democracy work today with #Trumpcare's failure. It's time to abandon the partisan repeal effort & fix healthcare in a bipartisan way.pic.twitter.com/XRLDpZNZGQ	#Trumpcare
Celebrating the centennial of Virginia's @NASA_Langley. Here’s to 100 more years of scientific leadership and discovery. #NASALangley100pic.twitter.com/W85Le7xh6p	#NASALangley100pic
This is why the Senate Intel Committee must continue its work. Russia will be back.https://twitter.com/meetthepress/status/886576015757242368 …	
Three timeshttps://twitter.com/facethenation/status/886580230110007296 …	
(And would have said no to the meeting in the first place)https://twitter.com/facethenation/status/886597150930501632 …	
The numbers *still* do not add up.https://twitter.com/AP_Politics/status/885516235819163651 …	
Thank you to the @LittleLobbyists & parents for visiting and showing the Senate who #Trumpcare's #Medicaid cuts would hit hardest.pic.twitter.com/iwPtBoXBDM	#Trumpcare #Medicaid
This investigation will move forward in a bipartisan way. We need to follow the facts wherever they lead.	
For all the denials we’ve heard from the administration, for anyone who’s said there’s smoke but no fire, I’m curious what they’ll say now.	
There are no excuses for what we’ve seen in the last 24 hours. Lying is not a rookie mistake.	
We now know the denials of contacts with Russians that we've heard during the campaign, transition & administration are all patently false.	
This is black and white: Trump officials at the highest levels knew Russia was working to aid Donald Trump & welcomed Russia's interference.	
That’s why we have to continue this investigation. There’s a lot more work to do.	
Trump officials keep conveniently forgetting about mtgs with Russians, only to recant after being confronted with evidence to the contrary.	
More importantly, this follows a constant and troubling pattern from the Trump campaign and administration.	
I've been a candidate and a campaign manager. I can't imagine taking a meeting with a foreign lawyer claiming to have dirt on an opponent.https://twitter.com/nytimes/status/884148457547739137 …	
On President Trump’s meeting with President Putin:pic.twitter.com/lzl2C7HY1v	
The U.S. is behind the curve when it comes to providing benefits for a changing workforce. Here's my idea for turning things around:https://twitter.com/FastCompany/status/882633937696280576 …	
A <140-character lesson in how to disagree with someone respectfully, with dignity.https://twitter.com/bensasse/status/880429821775552514 …	
My message to @maddow last night: the Russians will be back in 2018.pic.twitter.com/ud8cixZOV8	
As a former Governor, I can promise you #Trumpcare would be a complete disaster for our state.http://www.richmond.com/news/virginia/government-politics/general-assembly/virginia-medicaid-program-estimates-billion-hit-from-senate-health-care/article_a6c02cd9-90b8-5963-a0db-66f0f2fdd94e.html …	#Trumpcare
Headed to the Senate Floor to speak out on behalf of Virginia families who will be devastated by #Trumpcare	#Trumpcare
This would be the time to scrap #Trumpcare, get everyone in a room, and fix our healthcare system in a bipartisan way.https://twitter.com/AP/status/879758301734604800 …	#Trumpcare
Last week alone, my office received 1800+ calls & 4200+ letters opposing #Trumpcare. As #AmericaSpeaksOut, I hope my GOP colleagues listen.	#Trumpcare #AmericaSpeaksOut
#Trumpcare violates the standard of "first, do no harm…on many levels.” - @AmerMedicalAssn #ProtectOurCarepic.twitter.com/Rvoti8Hg3F	#Trumpcare #ProtectOurCarepic
#Trumpcare is a massive tax cut for the wealthiest Americans, and it cuts taxes on the backs of our most vulnerable. That's downright cruel.	#Trumpcare
#Trumpcare is not a healthcare bill for the elderly, the disabled, or 1/3 of Virginia's kids who get their coverage through Medicaid.	#Trumpcare
Don't call this a healthcare bill.https://twitter.com/ap_politics/status/877901425451319296 …	
Russia targeted 21 state election systems, but the Administration refuses to tell the public which ones were targeted. That's unacceptable.pic.twitter.com/XgjKfV51c3	
WARNING: This is SATIRE. Everyone knows the GOP's Trumpcare meetings are held behind closed doors, not in forests. #ShowUsTheBillhttps://twitter.com/TheOnion/status/877600798154293248 …	#ShowUsTheBillhttps
President Trump is right. Kicking millions off their insurance and gutting protections for people with pre-existing conditions is just mean.pic.twitter.com/zhylHXpRVF	
We need to be ready for Russian interference in future US elections. The more we know, the more we can be on guard to protect our democracy.	
Today I called on the Homeland Security Dept. to publicly disclose the extent of hacking attempts on state & local election systems in 2016.pic.twitter.com/IJrYxwBfYw	
I'd much rather hold hearings, markups & debate on #Trumpcare like we do with every other bill, but Republicans won’t even #ShowUsTheBillhttps://twitter.com/politico/status/876866954602188801 …	#Trumpcare #ShowUsTheBillhttps
I can’t imagine what Fred and Cindy Warmbier are going through right now. My prayers are with them and everyone who loved their son.https://twitter.com/BretBaier/status/876903893346770944 …	
Rushing #Trumpcare to a vote with 0 hearings, 0 markups, and 0 amendments is not how the Senate is supposed to work. #ShowUsTheBillhttps://twitter.com/axios/status/876585317318311936 …	#Trumpcare #ShowUsTheBillhttps
Heartbreaking. Nabra's murder is a tragic, senseless act of violence. Our hearts are with the Hassanen family & ADAMS Center community.https://twitter.com/imammagid/status/876747954664636416 …	
Kicking kids off their insurance? We can’t let that happen.https://twitter.com/leebeers/status/875332844112969728 …	
The Trump Administration's decision to reverse progress in US-Cuba relations sends the wrong message to the world about American leadership.pic.twitter.com/vcBIiGCwUw	
#Trumpcare hearings: 0 Backroom deals: 5 (so far) This is not how our government is supposed to work. #ShowUsTheBillhttps://twitter.com/USATODAY/status/875369830370742272 …	#Trumpcare #ShowUsTheBillhttps
Just in time for the #CongressionalBaseballGamehttps://twitter.com/Evanne8News/status/875469027669364739 …	#CongressionalBaseballGamehttps
Couldn’t agree more #ShowUsTheBillhttps://twitter.com/MissBoogiesTale/status/875379653107752960 …	#ShowUsTheBillhttps
Prayers for Steve Scalise & others injured. Grateful this and every day for our brave police & first responders.	
We need the bright light of media scrutiny now more than ever. I stand with reporters and the First Amendment.https://twitter.com/kasie/status/874650189885263872 …	
I'm still a "hell no" on #Trumpcarehttps://twitter.com/runkefer/status/874359125756563456 …	#Trumpcarehttps
This is not a witch hunt. It is not fake news. It is an effort to protect our country from a new threat that will not go away any time soon.pic.twitter.com/ktS6TFzNc3	
This speaks volumes.pic.twitter.com/LSE2Fns0UV	
The #ComeyHearing is about one thing: the truth. We know Russia attacked our democracy. Now we need the full story. We need the truth.	#ComeyHearing
After today's hearing, we’re left with more questions than answers about POTUS' conduct. The President is not above the law. None of us are.pic.twitter.com/NeiI7xEmws	
That tells me we have more investigating to do. The American people deserve to know whether these allegations against the President are true	
Our intelligence leaders could have laid allegations against POTUS to rest. They chose not to and didn't explain why they wouldn't answer.	
Today we gave our intel community leaders an opportunity to clear up reports that POTUS attempted to interfere with the Russia investigation	
Proud of @GovernorVA this #WorldEnvironmentDay. The U.S. should lead on #ClimateChange. Until then, Virginia will.https://twitter.com/GovernorVA/status/871781682176774144 …	#WorldEnvironmentDay #ClimateChange
The American people deserve to hear former FBI Director Comey's side of the story.pic.twitter.com/PYhmpXUPBl	
And the idea that the President could even claim Executive Privilege in Comey's case rests on shaky legal grounds, to say the least.https://twitter.com/FaceTheNation/status/871378140257542145 …	
A historic mistake. The United States should take the lead and #ActOnClimate not retreat from the #ParisAgreement.pic.twitter.com/BrsjNVKcFc	#ActOnClimate #ParisAgreement
Joint statement with @SenatorBurr: Former FBI Director Comey to Testify at Senate Intel Committee Next Weekpic.twitter.com/DsEoVYdlNZ	
SecDef Mattis affirmed this during his confirmation process. Retreating from the #ParisAgreement would undermine our national security.https://twitter.com/sahilkapur/status/869929497784725504 …	#ParisAgreement
This isn’t about religious freedom or any other kind of freedom. It’s about @POTUS putting government in the way of women’s healthcarehttps://twitter.com/sarahkliff/status/869900541068967936 …	
This line from the Chief Judge of the 4th Circuit in Richmond is just scathingpic.twitter.com/uWkULHrDxw	
It was unconstitutional the first time & it's unconstitutional now. I applaud the 4th Circuit's ruling against President Trump's #MuslimBan.https://twitter.com/AriMelber/status/867801345998307328 …	#MuslimBan
And it kicks millions with pre-existing medical conditions off their insurance. Throw it in the trash, start over.https://twitter.com/thehill/status/867484133488041985 …	
The #TrumpBudget cuts public education & financial aid by billions. Which students are you investing in? #Questions4Betsyhttps://twitter.com/BetsyDeVosED/status/867117446968332288 …	#TrumpBudget #Questions4Betsyhttps
I will strongly oppose the #TrumpBudget. We need a comprehensive, long-range plan to responsibly fix our nation’s balance sheet.	#TrumpBudget
The #TrumpBudget would dramatically cut the safety net for working people, even as many families continue to struggle.	#TrumpBudget
Another delay = more uncertainty for the insurance market. @POTUS is sowing chaos & real people will get hurt.http://www.cnbc.com/2017/05/22/white-house-to-pay-insurers-while-obamacare-case-kept-on-ice-sources.html …	
. @timkaine & I have contacted ICE & will continue to push to #FreeLiliana. The U.S. shouldn't be in the business of tearing apart families.https://twitter.com/rodefshalom/status/865245552560287744 …	#FreeLiliana
Nobody is above the rule of lawhttps://twitter.com/ABCPolitics/status/864890758867943424 …	
Joint statement with @SenatorBurr on the appointment of Special Counsel Robert Mueller:pic.twitter.com/OwpFoCNaZj	
Joint statement with @SenatorBurr: the Senate Intelligence Committee has invited James Comey to testify in open & closed session.pic.twitter.com/lRk0gq9iSV	
Just in case anyone thinks Putin is done trying to undermine our democracy...https://twitter.com/cnn/status/864809163699798016 …	
Day 2 and we are still left with more questions than answers. Conflicting tweets and statements from the administration aren't helping.https://twitter.com/washingtonpost/status/864500460283203584 …	
If true, this is a slap in the face to the intel community. Risking sources & methods is inexcusable, particularly with the Russians.https://twitter.com/washingtonpost/status/864224477693005826 …	
Back on with the @crookedmedia guys for @PodSaveAmerica. @TVietor08, when can people download? #friendofthepodpic.twitter.com/lAx8jltZfr	#friendofthepodpic
For the record: Russia is not our friend, and hate has no place in Virginia.http://www.dailyprogress.com/news/local/torch-wielding-protesters-gather-at-lee-park/article_201dc390-384d-11e7-bf16-fb43de0f5d38.html …	
If there are "tapes," the White House should preserve them and the appropriate committee should take a look at them.https://twitter.com/realdonaldtrump/status/863007411132649473 …	
Mr. President, that’s not how the directors of the FBI, CIA, NSA, DIA, NGA, and the ODNI see it.pic.twitter.com/DuaP6sjAvT	
Watch live - Senate Intelligence Committee open hearing: https://www.facebook.com/MarkRWarner/videos/10155364573937853/ …	
Starting at 10:00am: Senate Intelligence Committee open hearing on worldwide threats. Watch on Facebook Live: https://www.facebook.com/MarkRWarner 	
Joint statement w/ @SenatorBurr: Senate Intel Committee Subpoenas Former National Security Advisor Flynn for Documents Regarding Russia Probepic.twitter.com/i1x7FJk2nt	
If there's ever a time for an issue to be nonpartisan, it's right now.http://www.politico.com/story/2017/05/10/democrats-react-james-comey-fired-238214 …	
. @POTUS firing #FBIDirector Comey in the middle of his investigation into the Trump campaign demands the appointment of a Special Counsel.	#FBIDirector
I share the Chairman's concern.https://twitter.com/SenatorBurr/status/862091699534921729 …	
My statement on the firing of FBI Director James Comey:pic.twitter.com/pztxO8mtWd	
No way I’m voting for a partisan #Trumpcare bill that cuts tax credits for veterans, esp in rural communities. That's no way to #CareForVets	#Trumpcare #CareForVets
My statement with Chairman @SenatorBurr on Carter Page's cooperation with the SSCI investigationpic.twitter.com/PNNaIfRgec	
This #SpaceDay I want to honor Dr. Katherine Johnson, the pride of Va's @NASA_Langley, subject of @HiddenFigures & a great Virginian.pic.twitter.com/sJKEToqEWF	#SpaceDay
I will fight tooth and nail to keep #TrumpCare from passing the Senate. #VoteNoAHCA	#TrumpCare #VoteNoAHCA
This was a bad bill a month ago, and it’s a bad bill now. #VoteNoAHCA	#VoteNoAHCA
A bill finalized overnight with no CBO Score, no amendments allowed & limited debate? This is not how our laws should be made. #VoteNoAHCA	#VoteNoAHCA
House Republicans are about to hang 3.4 million Virginians with preexisting conditions out to dry. #VoteNoAHCA	#VoteNoAHCA
. @realDonaldTrump: You did this by playing politics with healthcarehttps://twitter.com/realDonaldTrump/status/860108914624532480 …	
I want to thank @LoriHaasVA, & Andy & Barbara Parker for their courage & leadership in the fight to #EndGunViolence & create a #SaferFuture.pic.twitter.com/ZCuveKWYYm	#EndGunViolence #SaferFuture
I've listened to Virginians whose families have been torn apart by gun violence. Enough is enough. This tragic violence has to end.pic.twitter.com/yDkRbkNYZt	
Knowing what I know today, I simply cannot support S.446, which would override states’ concealed carry gun permitting laws.	
What I said was no one’s been more of a pain in the neck and other parts of the body on behalf our miners than @Sen_JoeManchin.https://twitter.com/tatecurtis/status/859835000967110666 …	
Hosted @BPC_Bipartisan Appalachia Task Force meeting, checked politics at the door & worked on ways to drive economic growth in the region.pic.twitter.com/dAsJD2oIF1	
The bipartisan budget deal fully funds Chesapeake Bay cleanup at $73m → https://www.warner.senate.gov/public/index.cfm/pressreleases?ContentRecord_id=52B96B87-FB84-4837-BBFA-DBF780C3B754 …https://twitter.com/HokieHoos/status/859406633968992256 …	
Passing the #EqualityAct will bring us closer to full equality for the #LGBT community. Proud to cosponsor this historic bill today.pic.twitter.com/mHOQoJCUzs	#EqualityAct #LGBT
From one businessman to another: this is no way to run a business or a country.https://twitter.com/realDonaldTrump/status/859393829505552385 …	
Big win for Southwest Virginia’s @MineWorkers. Last night’s budget deal permanently guarantees their hard-earned healthcare benefits.pic.twitter.com/Mm8DmXL1Vu	
We must take action to combat global #ClimateChange. Our children, our economy, and our planet are counting on us. #ClimateMarchpic.twitter.com/aym9XyfVKq	#ClimateChange #ClimateMarchpic
I’m fighting alongside SW Va's @MineWorkers to protect their healthcare. It’s time to set aside politics & #KeepThePromise made in 1946.pic.twitter.com/NYFmME9mER	#KeepThePromise
Why make this partisan? Don’t tweet. Lead. #KeepThePromisehttps://twitter.com/realDonaldTrump/status/857604537003200512 …	#KeepThePromisehttps
And it is fantasy that tax cuts pay for themselves.https://twitter.com/JohnJHarwood/status/857301555183308803 …	
I’m fighting to make sure VA’s retired @MineWorkers don't lose their healthcare. Congress must #KeepThePromise & resolve this for good.https://twitter.com/MarkWarner/status/857008020198436868 …	#KeepThePromise
. @POTUS & the congressional majority owe it to taxpayers to prevent a shutdown. This is no way to govern.http://www.nbc29.com/story/35244486/sen-mark-warner-budget-standoffs-destructive-for-taxpayers …	
Facts & science matter and must be respected. #ScienceMarch #MarchForScience #EarthDay	#ScienceMarch #MarchForScience #EarthDay
