Great news! Glad to see you home, @SenatorDole.https://twitter.com/dolefoundation/status/916056137887305728 …	
New businesses create ~3 mil new jobs each year & are a major key to economic growth. Be an #entrepreneur & take the first step Nov. 11-13.https://twitter.com/FortHaysState/status/791668281379811328 …	#entrepreneur
. @SecDef suspending collection of CA #nationalguard bonuses welcome news. I'll keep pushing @DeptofDefense to find a permanent fix.	#nationalguard
Welcome to Kansas, @AmericanRoyal! Here’s to a bright future as part of our state's tradition of agriculture.http://bit.ly/2eBXSht 	
When a federal agency is at fault, its wrongdoing should not put the burden on soldiers.http://lat.ms/2dQKvse 	
Hey, @RachelsPinkHous—sorry I missed you yesterday. I heard from Robba & am glad the @NDSS event went well. Look forward to seeing you soon!pic.twitter.com/sE7D1s2PPe	
Atchison-area residents: please heed the instructions of emergency response personnel & shelter in place or evacuate if possible.https://twitter.com/AtchisonCoEM/status/789468150093840384 …	
Enjoyed my visit to @Meridian_Way_WF this week. Good conversation with dedicated employees & view from top of turbine not too bad either.pic.twitter.com/jvkl8i2G84	
Joined @FortHaysState today to dedicate the College of Business and Entrepreneurship in the name of W.R. & Yvonne Robbins.pic.twitter.com/9GupZS4ecJ	
. @repcostuco Thanks for showing me around! A lot to be proud of in Republic County. #GoBuffs	#GoBuffs
The spirit of Kansans helping their neighbors lives on through inspirational young people like Brooklyn.https://twitter.com/kansasdotcom/status/788506091323662336 …	
Always an honor to be with the @FortRiley community – today to celebrate MG Joseph Martin’s assumption of command of the @FightingFirst.pic.twitter.com/Dkc1LbkVgD	
Honored to speak this morning at the #Eisenhower Pilgrimage held every October at the @IkeLibrary in Abilene to honor our 34th president.pic.twitter.com/OIdSbiOLtL	#Eisenhower
Interested in a spring ’17 internship in DC, Manhattan or Olathe? Deadline is Oct. 28. http://www.moran.senate.gov/public/index.cfm/internships …https://www.youtube.com/watch?v=5yN3unPTjFA …	
Shocked to learn of terrorism plot in #GardenCity. My gratitude to our law enforcement officials who prevented the loss of innocent life.	#GardenCity
Proud to see this Hutch native and fellow KU alum working to combat the #Zika virus.http://bit.ly/2eeuoCe 	#Zika
Thankful @GENMarkMilley & @USArmy staff could come to aid of bus crash victims in DC last night. Heroes. #ArmyStronghttp://bit.ly/2eg7Mm1 	#ArmyStronghttp
Great to see Kelly Lenz inducted into @ksbroadcasters Hall of Fame — well-deserved after decades as the voice of Kansas ag.pic.twitter.com/mheipAeARj	
Disgusting, discouraging and damaging. Everyone is worthy of being treated with dignity and respect.	
