Sen. Rand Paul: Cut Taxes For All!http://www.breitbart.com/big-government/2017/10/04/exclusive-sen-rand-paul-cut-taxes-for-all/ …	
The Senate attempted to shorten debate & move forward without consideration & debate on my amendment to end our AUMF in Afghanistan and Iraq	
Where is the anti-war left demanding the wars end? Where is the constitional conservative right demanding Congress reclaim its war powers?	
I sit nearly alone, but that's fine. I'll fight by myself if need be. This is too importantpic.twitter.com/PRymNnafi8	
Hypocrites, they pretend concern over our constitutional duty to declare war and then block any vote on ending any of our 7 current wars	
I will continue this protest and these objections for as long as needed to ensure Congress do its duty, and vote on ending these wars.	
We have been there for 16 years. It is time for them to end. It is time for Congress to vote on whether or not they should end.	
Tonight I sit silently to protest the thousands of American soldiers who have died over the past decade in these wars.	
Tonight, the Senate is attempting to move forward with the Defense Bill. I am seeking an amendment to end the AUMF in Afghanistan and Iraq.	
Why we must repeal the 16-year-old Authorization for the Use of Military Forcehttp://bit.ly/2wUCWsr 	
Let’s #neverforget those lost on #September11 and honor those who fight to defend us. I pray we work together for peace.	#neverforget #September11
money stolen from civil asset forfeiture being used for catering. Asset forfeiture needs to end and I'll continue to fight for reform.https://twitter.com/bradheath/status/905813640217063428 …	
Thanks to my colleagues who voted for my Amendment & for fiscal responsibility. Disappointed in those who chose to further burden us w/ debtpic.twitter.com/vDf1r1ATQJ	
I am headed to the Senate floor now to discuss my American First amendment to pay for Hurricane spending with cuts to spending overseas.	
President Obama's executive order was illegal. However, this is a real problem we should solve in a bipartisan fashion. #DACA	#DACA
Human life is not expendable. This is why I continually oppose US-Saudi arms deals.http://nyti.ms/2vUx3ts 	
America should reject the false appeal of socialismhttp://bit.ly/2xx13gJ 	
No, the feds shouldn’t give war machines to the police | New York Posthttp://nypost.com/2017/08/28/no-the-feds-shouldnt-give-war-machines-to-the-police/ …	
Americans must never sacrifice their liberty for an illusive and dangerous, or false, security. I disagree with AG Jeff Sessions on 1033...	
Rand Paul: Don’t raise the debt ceiling without reformhttp://bit.ly/2g8d9IV 	
Let’s shock the establishmenthttps://www.google.com/amp/amp.dailycaller.com/2017/08/21/its-time-to-audit-the-fed/ …	
OPINION | Sen. Rand Paul: 16 years on, it's past time to bring our troops home from Afghanistan | TheHillhttp://thehill.com/blogs/congress-blog/foreign-policy/347393-16-years-on-its-past-time-to-bring-our-troops-home-from …	
Nation building should not be our job & it has consistently been a fool’s errand for us particularly in this region.http://thehill.com/blogs/congress-blog/foreign-policy/347393-16-years-on-its-past-time-to-bring-our-troops-home-from …	
The mission in Afghanistan has lost its purpose...Read my full statement here: https://www.paul.senate.gov/news/press/dr-rand-paul-releases-statement-opposing-proposed-troop-increases-in-afghanistan …	
It’s Time To Audit The Fedhttp://bit.ly/2xkRWPr 	
Let us take our case for a Balanced Budget Amendment to the American people and finally get it done.http://bit.ly/2w5oFew 	
In Owenton I heard from several physicians who provide through direct primary care & are able to offer much cheaper, accessible healthcare.pic.twitter.com/g1O4S8zYDZ	
In Marion, many people are concerned about overregulation of their small businesses- we need to get govt out of the way so they can succeed!pic.twitter.com/gNjJu0m0fe	
Thanks to Joe Kelly for showing me his organic industrial hemp crop this morning in Murray, KY!pic.twitter.com/T0J55sYRpz	
Today's least shocking news...This isn't the kind of bipartisanship we need.http://rare.us/rare-politics/hawkish-clinton-democrats-are-teaming-up-with-bush-era-neocons-which-should-surprise-no-one/ …	
Rand Paul: 'We Can't Live In Fear Of Our Own Intelligence Community'https://www.technocracy.news/index.php/2017/08/03/cant-live-fear-intelligence-community/ …	
I, Pencil is perfect for #WednesdayWisdom and brilliantly explains how markets function w/out gov intervention https://fee.org/media/14940/read-i-pencil.pdf …	#WednesdayWisdom
Rand Paul blasts Senate colleagues over healthcare: 'They are just afraid'http://washex.am/2wirOV0 	
Rand Paul Wants Government’s Hands Off Your Emailshttp://bit.ly/2vYh7HG 	
The Senate fell one vote short tonight, which is disappointing. I intend to keep fighting for repeal.	
This week, I voted multiple times to repeal Obamacare, including offering my own clean repeal bill.	
5. Expand HSA (larger maximum contributions) 6. Push and fund expansion of 1332 waivers for states to opt out of many regulations	
3. Repeal 3 years of medical device tax 4. Defund Planned Parenthood for 1 year	
The next healthcare vote will be soon. The bill will: 1. Repeal Individual Mandate tax/penalty 2. Repeal the job killing Employer mandate	
Just voted YES on the Heller Amdt. to permanently repeal the burdensome "Cadillac" tax on health insurance plans	
830 vote is to repeal the Cadillac tax, an Obamacare tax that increases costs of insurance & costs job creators and workers billions.	
Thrilled that the officers who saved so many lives on the morning of the congressional baseball shooting got honored w/ the Medal of Valor!pic.twitter.com/NYsRgD4YqY	
I am grateful to these first responders, and join @realDonaldTrump in honoring them today.https://twitter.com/chadpergram/status/890651481375817729 …	
Proud of the bipartisan work Sen @KamalaHarris and I are doing. We joined @JakeTapper recently to discuss some much needed justice reforms.pic.twitter.com/PxWk6ShryL	
"If you're a US citizen or a green card holder I think obscene to have your phone searched to get back into the country" Sen Paul at Cato	
The “skinny repeal” strategy on Obamacare is a victory for the tea party and transparencyhttp://bit.ly/2uCLSlb 	
It's the "obamacare repeal" act as introduced by Sen paul tonight. The vote will be tomorrow around noon.pic.twitter.com/Xd7PMulaMl	
Rand Paul Wins Big on ‘Skinny Repeal’ After Multiple Meetings With Trump - Big League Politicshttp://bigleaguepolitics.com/rand-paul-wins-big-skinny-repeal-multiple-meetings-trump/?utm_source=dlvr.it&utm_medium=twitter …	
Today we took the first steps to repeal Obamacare. Here's my statement after today's #healthcare vote.pic.twitter.com/ph3VqcYAtv	#healthcare
Repealing mandates & taxes, without new spending and bailouts. This is the path I've been urging, and what I discussed with @realDonaldTrump	
This morning, @SenateMajLdr informed me that the plan for today is to take up the 2015 clean repeal bill as I've urged.	
I hope my colleagues will join me in this dual path – clean repeal and oppose the bailoutshttp://thehill.com/blogs/congress-blog/healthcare/343435-will-the-swamp-defeat-obamacare-repeal?rnd=1500911743 …	
Asset forfeiture is an unconstitutional taking of property without trial. It's wrong and I call on the AG and the Adminsitraion to stop.	
What I'm most concerned about though is the Attorney General's actions yesterday to push forward with federal asset forfeiture.	
I agree with @realDonaldTrump, his Attorney General should not have recused himself over reported incidental contacts with Russian officials	
To @SenJohnMcCain and his family: Kelley and I will pray for you and your family, and we hope for a full recovery for you.	
Rand Paul: Time to repeal Obamacarehttps://www.usatoday.com/story/opinion/2017/07/18/rand-paul-time-repeal-obamacare/490069001/ …	
The 2015 clean repeal is far better; it simply offers repeal and a two-year window to fix our broken system. https://www.usatoday.com/story/opinion/2017/07/18/rand-paul-time-repeal-obamacare/490069001/ …	
I’m looking at every one of the dozens of votes my “team” cast when President Obama was in office to REPEAL.http://bit.ly/2u5073M 	
As @realDonaldTrump and I discussed last week. Clean repeal now!https://twitter.com/realdonaldtrump/status/887134287350439936 …	
Retaining instead of repealing Obamacare will be Republicans’ undoinghttp://bit.ly/2u1jPNP 	
Crony capitalism is enshrined as a "right" by the new GOP Obamacare bill, while that bill...http://www.washingtonexaminer.com/rand-paul-crony-capitalism-isnt-a-right-so-why-does-senate-healthcare-bill-give-insurance-companies-the-right-to-a-bailout/article/2628572 …	
I find it objectionable to bail out insurance companies. That's not who we are as Republicans.pic.twitter.com/h37rvutTYo	
Meet the new bill, same as the old bill (but with fewer tax cuts, more spending and a bigger bailout)https://www.youtube.com/watch?v=SHhrZgojY1Q&feature=share …	
Obamacare regulations? Still here. Taxes? Many still in place, totaling hundreds of billions of dollars.http://www.breitbart.com/big-government/2017/07/12/exclusive-sen-rand-paul-senate-gop-decides-keep-obamacare/ …	
I have spoken to @realDonaldTrump & Senate leadership about this and agree. Let's keep our word to repeal then work on replacing right away.	
I sent a letter to the President and senate leadership outlining healthcare changes I'd like to see. Read it here: https://www.paul.senate.gov/news/press/dr-rand-paul-outlines-proposals-for-revising-senate-health-care-bill- …	
Just came from WH. @realDonaldTrump is open to making bill better. Is Senate leadership?	
I'll discuss w/ him how to fix bill & get more to a YES on real repeal, things I've tried to tell Senate leaders with no result so far	
Headed to meet with @realDonaldTrump this afternoon. The bill is currently not real repeal and needs major improvement.	
I will oppose the #healthcarebill coming to the floor in its current form, but I remain open to negotiations.	#healthcarebill
The current #healthcarebill does not repeal Obamacare. It does not keep our promises to the American people.	#healthcarebill
Today I join senators Lee, Johnson, and Cruz in opposition to the #HealthcareBill. Read here: http://www.paul.senate.gov/news/press/sens-paul-cruz-johnson-and-lee-issue-joint-statement-on-senate-health-bill …pic.twitter.com/FF9ChIBaBA	#HealthcareBill
Enough with rushed, secret legislation! Today I reintroduced my Read the Bills resolution. Read more here: https://www.paul.senate.gov/news/press/dr-rand-paul-responds-to-rushed-health-care-process-by-reintroducing-read-the-bills-resolution …	
Officer David Bailey saved many lives yesterday along with his partner. Today he threw out the 1st pitch at #CongressionalBaseballGame .https://twitter.com/nationals/status/875511795049533440 …	#CongressionalBaseballGame
It's a beautiful day at Nationals stadium. @seanhannity joined me on the field for some fair and balanced practice! #CongressionalBaseballpic.twitter.com/6okH8FKr6O	#CongressionalBaseballpic
. @KelleyAshbyPaul & I are praying for all injured in today's tragedy, particularly for Matt Mika in critical condition still.	
My statement on the shooting this AM in Alexandria.pic.twitter.com/jrZxdqTchD	
We can't make them be like us, but we don't have to encourage their behavior by giving them weapons that may fall into the hands of enemies.pic.twitter.com/Bh9GiL3Lsq	
Saudi Arabia is not a reliable ally. Saudi Arabia should not get these weapons.pic.twitter.com/zfBUDpiWKO	
I don't think we should sell arms to Saudi Arabia if it might wind up in the hands of ISIS and if they punish people for protests...pic.twitter.com/JP1VV1zWRz	
A year ago the Senate voted to let 9/11 victims sue Saudi Arabia. Now we are going to sell them weapons? What are we thinking?	
There is an abundance of evidence that high level Saudis were complicit in 9/11. The 28 pages show that. Why would we give them arms?	
Even @HillaryClinton when she is speaking honestly in emails, noted the Saudis have supported terrorism. Why would we give them anything?	
We must stand up and tell Saudi Arabia ENOUGH. They are the biggest exporter of extremism and hatred in the world.	
Saudi Arabia is causing a humanitarian crisis with a war in Yemen. It funds extremism worldwide. Abuses human rights. Stop arming them now.	
The vote will be close. It is time we stop the counterproductive and harmful practice of arming a country that promotes extremism	
Heading to the floor to speak on my Resolution of Disapproval on selling arms to Saudi Arabia.	
Giving the accused their day in court isn’t a suggestion. That's why I reintroduced 6th Amendment Preservation Act: https://www.paul.senate.gov/news/press/dr-rand-paul-reintroduces-the-sixth-amendment-preservation-act …	
Happy #HempHistoryWeek! Proud to be a strong advocate for the deregulation of industrial hemp so KY farmers can reap the economic benefits.	#HempHistoryWeek
Very concerning! @realDonaldTrump and other US leaders should not have to live in fear of our intelligence communityhttp://www.washingtonexaminer.com/schumer-warns-trump-intel-officials-have-six-ways-from-sunday-at-getting-back-at-you/article/2610823 …	
I applaud @realDonaldTrump for wanting to privatize the air traffic control system! Modernize, privatize and optimize!	
I agree with my friend @RepMarkMeadowshttp://www.cnn.com/2017/06/05/opinions/prioritize-america-not-russia-opinion-meadows/index.html …	
This action by @realDonaldTrump is great news for the economy and could save as many as 6 million U.S. jobs.	
I look forward to continuing to support policies that protect both our jobs and our environment instead of sacrificing one for the other.	
Thank you @realDonaldTrump for keeping your promise on Paris Agreement & protecting KY jobs from a bad deal. @FriendsofCoalKY	
#MemorialDay we honor brave men/women who made the ultimate sacrifice for our country. Always remember the cost of war & cherish their lives	#MemorialDay
Let's do it @realDonaldTrump. Time to get out of this bad deal for US jobshttps://twitter.com/realdonaldtrump/status/868441116726710272 …	
Declassified memos show FBI illegally shared spy data on Americans with private partieshttp://bit.ly/2r5rY2t 	
I applaud @realDonaldTrump for holding NATO leaders accountable.They need to pay their fair share! We shouldn't be subsidizing other nations	
Congress can and should come together in a bipartisan way to pass this bill on fixing sentencing reform https://www.paul.senate.gov/news/press/paul-leahy-merkley-scott-and-massie-lead-bipartisan-bicameral-introduction-of-the-justice-safety-valve-act …	
Mandatory minimum sentences have unfairly and disproportionately incarcerated too many minorities for too long.http://thehill.com/blogs/floor-action/senate/333120-gop-senator-sessionss-push-for-tougher-sentences-highlights …	
Today I released the following statement in response to Attorney General Jeff Sessions.pic.twitter.com/P3uo04xF0M	
Today I joined @wolfblitzer to discuss Comey's firing.Hypocrisy is so thick around here you can cut it with a knifehttps://youtu.be/DYPxCUutj5c 	
Hypocrisy and fake outrage? Dems had been calling for months for the firing of Comey!	
I was not a huge Comey fan, he politicized investigations, both sides of the aisle lost confidence in him. Lots of crocodile tears in dc	
We need to know was there a political motivation!http://www.breitbart.com/big-government/2017/05/05/exclusive-rand-paul-says-obama-administration-may-have-spied-on-his-campaign/ …	
I have formally requested from the WH and the Intel Committees info on whether I was surveilled by Obama admin and or the Intel community!	
Did the Obama admin use warrantless "wiretapping" on other candidates besides @realDonaldTrump?http://circa.com/politics/circa-asks-president-trump-to-declassify-data-on-nsa-spying-on-americans …	
Did the Obama admin go after presidential candidates, members of Congress, journalists, clergy, lawyers, fed judges? http://circa.com/politics/circa-asks-president-trump-to-declassify-data-on-nsa-spying-on-americans …	
The omnibus bill simply spends too much while fixing too little. Current spending will add over $500 billion to debt this year. I voted NO!	
I voted against the $1 trillion omnibus spending bill. Kentuckians sent me to DC to fight out-of-control debt!	
Washington believes it is an economics-free zone, where basic principles and common sense simply don’t apply.http://bit.ly/2qEMN18 	
Government agents should not profit from seizing property, especially if that property was taken from the innocent.http://fxn.ws/2qj63RQ 	
If you want to drain the swamp, you have to take away money from Washington, and send it back to the people.http://bit.ly/2q41LBb 	
I always enjoy giving back to the community through doing charitable eye surgeries, like I did in Paducah, KY today.pic.twitter.com/Qiv2v57bA2	
McCain and Graham’s Predictable Warmongering | The American Conservativehttp://www.theamericanconservative.com/larison/mccain-and-grahams-predictable-warmongering/ …	
Rand Paul: The "Stupidity" Of The McCains Of The World Hinders Solution In Syria | Video | RealClearPoliticshttp://www.realclearpolitics.com/video/2017/04/08/rand_paul_the_stupidity_of_the_mccains_of_the_world_hinders_solution_in_syria.html …	
Rand Paul Calls For Congress To Demand War Powers Authorization . . . John McCain Says Paul Is “Wrong”https://jonathanturley.org/2017/04/08/rand-paul-calls-for-congress-to-demand-war-powers-authorization-john-mccain-says-paul-is-wrong-and-alone-in-the-senate/ …	
Our prior interventions in this region have done nothing to make us safer and Syria will be no different.	
The President needs Congressional authorization for military action as required by the Constitution.	
While we all condemn the atrocities in Syria, the United States was not attacked.	
Rand Paul Is Right; Don't Launch War in Syria Without Congressional Approvalhttp://bit.ly/2oOvWcl 	
This remains true today as it was in 2013. Both parts.https://twitter.com/realdonaldtrump/status/373146637184401408 …	
DIRECTIVE FROM OBAMA? Paul calls on Rice to testify over reports of unmasking requesthttp://fxn.ws/2nYu6qX 	
Smoking gun found! Obama pal and noted dissembler Susan Rice said to have been spying on Trump campaign.https://www.bloomberg.com/view/articles/2017-04-03/top-obama-adviser-sought-names-of-trump-associates-in-intel …	
I had a great time today with @realDonaldTrump and believe we are getting closer to an agreement on health care!	
Nobody wanted to have this debate. They want to rubber stamp. They want no debates and they want to send your kids to warpic.twitter.com/BcBc8AcftP	
For decades nato has been an organization where the U.S. Disproportionately spends our blood and our treasure.pic.twitter.com/mB8Nsl2zcx	
I applaud House conservatives for keeping their word to the American people. I look forward to passing full repeal https://www.paul.senate.gov/news/press/dr-rand-paul-comments-on-the-us-house-rejecting-obamacare-lite …	
. @ericbolling gets it! Obamacare Lite is not the answer to repealing Obamacare! I'll be joining him live tonight on FoxNews at 8pm ET.	
We can do real repeal. The naysayers are wrong. Hold the line for #FullRepeal. Pull the House bill, delay the vote & let's do this right	#FullRepeal
House hearing on #auditthefed happening now! Legislative Proposals for Fostering Transparencyhttps://oversight.house.gov/hearing/legislative-proposals-fostering-transparency/ …	#auditthefed
I commend @freedomcaucus for staying united against Obamacare Lite. Enough NO votes to stop bill and restart negotiations w/ conservatives	
There’s easily 35 no votes right now so unless something happens in the next 24 hrs, I predict they pull the bill.http://www.breitbart.com/big-government/2017/03/21/exclusive-rand-paul-easily-35-no-votes-paul-ryans-obamacare-2-0-predict-pull-bill-start/ …	
I urge the House to start over and I stand ready to work with the White House for REAL repeal and replace. Let's keep our promises.	
The House #AHCA is still Obamacare Lite. I would be a no in the Senate, but I don't think it can pass the House. I stand w/ @freedomcaucus	#AHCA
Rand Paul introduces the most sweeping reform of civil asset forfeiture law in decadeshttp://bit.ly/2mHeghh 	
Must read from my good friend @RepJeffDuncan. Obamacare Lite is not what the GOP promised to the American people!http://dailysignal.com/2017/03/15/house-leaderships-health-bill-is-not-what-republicans-promised-we-can-do-better/ …	
Tonight I joined members of the @freedomcaucus to discuss how to defeat Obamacare Lite. #FullRepealpic.twitter.com/a7adpmL3zB	#FullRepealpic
“I can't vote for a plan that is Obamacare Lite, and also keeps all the fundamental problems..."http://bit.ly/2nlhew7 	
We Must Keep Our Promise to Fully Repeal Obamacarehttp://bit.ly/2njdStk 	
I stand ready to work with my colleagues and the President on a plan that can both work and pass - first real repeal and then replace.	
If House leaders try do a little less using the same basic framework as the failed Obamacare experiment, then it will fail too #FullRepeal	#FullRepeal
Pass the 2015 repeal that passed both Houses and keep our promises. Then immediately vote on free market solutions. #FullRepeal	#FullRepeal
There is a solution for House Leaders that conservatives have offered: abandon Obamacare Lite now. It is bad law & it can't pass #FullRepeal	#FullRepeal
With @mkibbe who gets why we need to oppose Obamacare Lite! We ran on full repeal, let's deliver on what we promised to voters.pic.twitter.com/ZcK4zQ153W	
I spoke with @realDonaldTrump last night about repealing Obamacarehttp://www.breitbart.com/radio/2017/03/10/rand-paul-i-talked-trump-hes-open-negotiation-obamacare-repeal/ …	
Tonight on @FoxNews at 9pm with @edhenry. Conservatives hate Obamacare Lite legislation. Give us free market solutions!pic.twitter.com/tKnLrOQRqI	
Let's fully repeal ObamaCare, then have an open debate on how to replace ithttp://fxn.ws/2mpwDJL 	
"Passing this bill would certainly ensure that Republicans will 100 percent own any ensuing death spiral..."http://bloom.bg/2lHiGbw 	
Discussing my opposition to Obamacare Lite with @mboyle1 @BreitbartNews #cleanrepealpic.twitter.com/bsyYEwKIsE	#cleanrepealpic
Squishy Legislation Won’t Fool Voters: Ryancare Will Loom Over Trump 2020http://bit.ly/2mBPRwj 	
Now That He's Found It, Rand Paul Really Doesn't Like GOP's Obamacare Repeal Billhttp://reason.com/blog/2017/03/07/rand-paul-gop-health-care-bill …	
It keeps individual mandate but makes you pay the insurance companies instead of the government	
Their plan keeps the Obamacare "Cadillac Tax" forever, which is a tax on the best health insurance.	
The House leadership Obamacare Lite plan has many problems. We should be stopping mandates, taxes and entitlements not keeping them.	
Th House leadership plan is Obamacare Lite. It will not pass. Conservarives are not going to take it. #FullRepeal	#FullRepeal
Still have not seen an official version of the House Obamacare replacement bill, but from media reports this sure looks like Obamacare Lite!	
Another day without the bill in the hands of the American people and their representatives. But @politico has it!	
Today my staff and @randpaulcopier continued the search for the secret House Leadership Obamacare Lite billpic.twitter.com/G32duw04Pl	
Oh look. @politico has more details on the House Obamacare Lite plan. Hey @pauldemko can I get a copy?	
We are continuing our search for the Obamacare Lite bill! Do you know where the secret location might be? Has anyone seen the bill?pic.twitter.com/WcSIDTs0vP	
The Obamacare replacement bill remains hidden from the public! What secret location will they meet in this weekend to work on it?	
I am heading to the secure location where they are keeping the House obamacare bill. I will demand a copy for the American people.	
And I call on them to make this process transparent and to let the sunshine in. Today.	
I will not vote for Obamacare Lite nor will many of my colleagues. We will keep our word. I call on House leaders to do the same	
I demand the House release the text of the bill. Every elected official & every American deserve to know what they're trying to do	
House and Senate passed repeal in 2015. They should keep their promises and bring them up again for a vote now	
Renaming and keeping parts of Obamacare, new entitlements and extending medicaid expansion are not the #FullRepeal we promised	#FullRepeal
What is the House leadership trying to hide? My guess is, they are trying to hide their "Obamacare Lite" approach.	
This is unacceptable. This is the biggest issue before Congress and the American people right now.	
I have been told that the House Obamacare bill is under lock & key, in a secure location, & not available for me or the public to view.	
School Choice is vital. I have authored legislation to allow federal funds to follow the student #JointAddress https://www.help.senate.gov/chair/newsroom/press/alexander-paul-school-choice-amendment-allows-federal-dollars-to-follow-low-income-children-to-schools-they-attend …	#JointAddress
Lower cost. More choice. Better health care. I have a plan to do it. #FullRepeal #RepealAndReplace #Jointsession https://www.paul.senate.gov/news/press/dr-rand-paul-unveils-obamacare-replacement-act …	#FullRepeal #RepealAndReplace #Jointsession
I applaud the appointment of Judge Gorsuch and agree the Senate should move forward on his confirmation soon #JointAddress	#JointAddress
“Republicans were elected on a promise that we would repeal Obamacare root and branch, and I think we should do it,”http://bit.ly/2m9UAp8 	
Joining my friends @SenMikeLee and @tedcruz tonight to say: no Obamacare lite. #FullRepeal	#FullRepeal
2 yrs ago, the GOP Congress voted to repeal Obamacare. That 2015 repeal language should be the floor, the bare minimum. #FullRepeal	#FullRepeal
I know the system is still broken & simply repealing won’t fix it. We need the kind of reforms I have proposed.http://buff.ly/2lEyr1o 	
Great medical town hall in Bowling Green this morning w/ healthcare professionals & physicians to discuss my Obamacare replacement plan.pic.twitter.com/Um0nMJDco6	
Congratulations to @AGScottPruitt on his EPA confirmation.pic.twitter.com/DmKPw2VQbw	
Repeal Now. Replace Now. Keep our promises to those who overwhelmingly voted for change, and do it right now.http://www.breitbart.com/big-government/2017/02/16/paul-repeal-now-replace-now/ …	
I agree and today I joined the @freedomcaucus to discuss our conservative plan to #RepealAndReplace Obamacare with healthcare freedomhttps://twitter.com/realdonaldtrump/status/831979921555742732 …	#RepealAndReplace
We legalize the sale and allow for access to inexpensive insurance for millions of Americans. End mandates. Expand access. Lower costs	
Joining @TuckerCarlson tonight to discuss the importance of auditing the Federal Reserve! Tune in for a dose of liberty. 935pm ET @FoxNews	
I just met George Washington the beagle! He's a rescue dog, his friends are avail for adoption! @beaglefreedom cc: @TuckerCarlsonpic.twitter.com/nJsQ8VTGk3	
It's time to replace Obamacare with healthcare freedom.https://www.youtube.com/watch?v=h9zY_J7eFzM&feature=youtu.be …	
Thank you for supporting my Obamacare Replacement Act, @FreedomWorks! Americans deserve healthcare freedom. http://www.freedomworks.org/content/support-obamacare-replacement-act-s-222 …	
This morning I joined the @freedomcaucus to discuss my Obamacare replacement plan. Let's enact reform to provide affordable health care!pic.twitter.com/29HUB49JFT	
I look forward to working with my colleagues for a speedy confirmation and to having another Justice who will defend the constitution.	
Judge Gorsuch is a worthy successor to Justice Scalia, a committed originalist and a strong defender of religious liberty and states’ rights	
I congratulate President Trump for nominating a conservative jurist with outstanding credentials and experience to the Supreme Court.	
It's well past time we #AuditTheFed!http://thehill.com/blogs/pundits-blog/the-administration/316947-will-mnuchin-stop-trump-from-auditing-the-federal …	#AuditTheFed
What the nation needs now is someone who understands that the Constitution was meant to check power...http://www.chicagotribune.com/news/columnists/kass/ct-constitution-president-trump-kass-0125-20170124-column.html …	
Thousands #MarchforLife to give voice to those who can't speak & ask leaders to honor them. This week I reintro the Life at Conception Act.	#MarchforLife
Protecting the entire Bill of Rights is one of the main reasons I ran for office. I'll remain vigilant in that causehttp://rare.us/story/rand-paul-why-i-voted-against-the-new-cia-director/ …	
Rand Paul: Why I voted against the new CIA director | Rare http://rare.us/story/rand-paul-why-i-voted-against-the-new-cia-director/ …	
