Happy Birthday, @CoachBillSnyder! Let's go @KStateFB, beat Texas! #EMAWpic.twitter.com/uitXDW2vhy	#EMAWpic
#Eclipse2017 is today! For more info on totality in KS and safety tips, go here: http://www.eclipse2017.org/2017/states/KS.htm …. Don't forget your eclipse glasses!pic.twitter.com/PCVa6ki2S5	#Eclipse2017
Glad to join @AgBizKC @McCaskillOffice & @DHSgov for a bipartisan roundtable on #agroterrorism & our efforts to keep our food supply safe.pic.twitter.com/4seoLLYCff	#agroterrorism
Was great to participate in the Dodge City depot ribbon cutting. Been a long collaborative effort & I'm proud to see this project completed.pic.twitter.com/1wZgvcux0h	
I was glad to meet with folks in Ashland for an update on the wildfire recovery. Their comeback spirit is truly amazing.pic.twitter.com/xsKcSxqOSf	
Pleased to join @RepLynnJenkins, @RepKevinYoder & @RepRonEstes for a legislative panel at the state convention of @KIOGAKansaspic.twitter.com/6EefZraE9x	
The hatred & ignorance displayed by the violent & pathetic group in #charlottsville is unacceptable. Their values are not American values.	#charlottsville
In true Kansas spirit, even those still recovering from the devastating wildfires, Kansas ranchers pay it forwardhttp://www.kansas.com/news/state/article166715037.html …	
looking forward to working side-by-side w/ @SenateMajLdr this fall on #farmbill17 Mitch McConnell is a great champion for farmers & ranchers	#farmbill17
Thank you to all the men & women who have heroically dedicated their lives to serving our country, no matter the sacrifice. #PurpleHeartDayhttps://twitter.com/DeptofDefense/status/894528820727828484 …	#PurpleHeartDayhttps
Prayers continue with the families and loved ones of the missing Marines, including Wichita native Nathan Ordway.http://www.kwch.com/content/news/Wichita-native-one-of-three-Marines--438887163.html …	
Thank you to my summer interns for all their hard work! To learn more about an internship, visit my website: https://www.roberts.senate.gov/public/index.cfm?p=Internships …pic.twitter.com/xrcp0vb1QD	
ICYMI: I paid tribute to @SenatorDole after the Senate unanimously passed our bill to award him with the Congressional Gold Medal.pic.twitter.com/V41zzDDfVS	
Great news! The Senate has unanimously passed the Bob Dole Congressional Medal Act w/ the support of every senator. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=5ED5CB09-B876-478C-9DA7-2F7BADD5CA9B …	
TUNE IN: Speaking on the Senate floor at 2:45 pm on our work to award @SenatorDole w/ the Congressional Gold Medal. https://www.c-span.org/networks/?channel=c-span-2 …	
NEWS RELEASE: Roberts, @MarkWarner Introduce Bipartisan Bill to Improve Access to Dialysis Facilities https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=EB6CBC9F-16BB-4718-8DA9-B125655A309D&ContentType_id=AE7A6475-A01F-4DA5-AA94-0A98973DE620&Group_id=d8ddb455-1e23-48dd-addd-949f9b6a4c1f …	
With Mr. Kaplan’s nomination, the #NLRB can once again have the balance it needs to carry out its intended purpose. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=B1FD3C05-9C8F-4277-AE5A-A4D830AEDDAA …	#NLRB
Great story of a bootstrap Kansan, Don Gerstner who rebuilt his home at age 88 after it was destroyed by wildfire.http://cjonline.com/news/good-news/2017-07-31/88-year-old-rebuilds-home-after-kansas-wildfire …	
It was a privilege to speak with Col. Olson yesterday to congratulate him on assuming command of @22ARW & hear his priorities in this role.pic.twitter.com/i9aweW1NuI	
Thank you to Vietnam War hero James McCloughan who received the #MedalofHonor for his bravery & risking his own life to save so many others.https://twitter.com/ABC/status/892106879815393280 …	#MedalofHonor
APPLY TODAY! The deadline for a fall semester internship in my D.C. office is approaching. Learn more here: https://www.roberts.senate.gov/public/index.cfm?p=Internships …pic.twitter.com/5EDnmAw4GE	
NEWS RELEASE: Roberts Votes to Expand Sanctions against Iran, Russia, and North Korea; Passes Senate 98-2 https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=7E06199B-3574-4ABE-8FDD-1C94ADA0D044 …	
All items should be on the table to reform our health care system. We voted on single payer & no senator supported. Gov't is not the answer.pic.twitter.com/50HjLqy2Ji	
Very proud of these 2 well-deserved awards. A testament to the hard work of many Kansans that will benefit economic growth for years to comehttps://twitter.com/KDOTHQ/status/890316959316926464 …	
happy 4 @govsambrownback . Sam has always been called to fight for those of faith.Glad he has been given an opportunity to answer this call	
Congratulations to Paul Kaster of Leawood on winning the @NFIB's Young Entrepreneur Award for his small business, Crooked Branch Studio!pic.twitter.com/LJ7IdLjeC2	
NEWS RELEASE & VIDEO: Kansas Wheat Farmer David Schemm Testifies Before Senate Ag Committee https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=3BC01EB9-0005-45F0-9E2C-BE2459968637 …pic.twitter.com/q2jn3wxkZ6	
*AUDIO* on my bill with the Kansas delegation to award @SenatorDole with the Congressional Gold Medal https://www.roberts.senate.gov/public/index.cfm?p=AudioClips&ContentRecord_id=EE668105-DAF5-4FCA-A78D-0155595D2A08 …pic.twitter.com/Acl78axxLV	
HAPPENING NOW!https://twitter.com/SenateAgGOP/status/889818915110625280 …	
I joined @RepLynnJenkins and @JerryMoran, @RepKevinYoder, @RepRonEstes and @RepMarshall intro bill to honor @SenatorDole w/ Cong. Gold Medalpic.twitter.com/8zGsiVsZ3N	
pleased to join @RepLynnJenkins on bill to award @SenatorDole the Congressional Gold medal. News Release: https://goo.gl/7BgAjq 	
Happy Birthday to my good friend, mentor, Kansas favorite son, and American hero, @SenatorDole!pic.twitter.com/eeeH56jEvW	
Happy 147th Birthday, Wichita!!https://twitter.com/VisitWichita/status/888352886333353984 …	
NEWS RELEASE: Roberts joins @SenatorTimScott to call for greater retirement security http://bit.ly/2uGxFWj pic.twitter.com/CJJLwX6Pfw	
. @SenJohnMcCain is a true fighter & I know he will take on this fight like any other. Franki & I are praying for a full & speedy recovery.	
TUNE IN: I joined @JudyWoodruff for a discussion on health care on @NewsHour. Watch here now:http://www.pbs.org/newshour/videos/ …	
News Release: Sen. Roberts: Kansan & @FCC Chair @AjitPaiFCC is Fearless Advocate for Rural Americans https://goo.gl/YX8oSm 	
Introducing Kansan @AjitPaiFCC at his reappointment hearing before the @SenateCommerce cmte at 10am. Watch live: https://www.commerce.senate.gov/public/ 	
Congratulations to Chuck & Deanna Munson of Munson Angus Farms in Junction City on winning @BeefUSA's Environmental Stewardship Award!https://twitter.com/BeltwayBeef/status/885930791053606912 …	
Kansas' @GrasshopperMowr will be showcased at the @WhiteHouse today to celebrate products that are #MadeInAmerica! http://www.grasshoppermower.com/company-news/grasshopper-to-be-showcased-at-the-white-house-representing-kansas/ …	#MadeInAmerica
A very big thank you to Alabama farmers, who we learned donated $34k to Kansas wildfire relief. Incredible generosity from farm country.pic.twitter.com/YWsWTnzEI4	
My statement on the revised draft of the Senate health care bill:pic.twitter.com/HFkxEskxgp	
NEWS RELEASE: Senator Roberts Supports Improved Senate Health Care Bill https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=6B2E5A0B-9A70-485F-923C-6F71617C0269 …	
Enjoyed meeting w/ new #KUChancellor Dr. Douglas Girod this week to discuss his priorities & the important work of the @KUcancercenter.pic.twitter.com/SIKrvRTDSj	#KUChancellor
Excited to hear that @PioneerComm & @AAIGrantFund @Microsoft have partnered to expand access to broadband for rural/ag communities in SW KS	
Very saddened abt the death of the 16 Marines tragically lost yesterday. My thoughts & prayers are w/ their families & loved ones. #SemperFi	#SemperFi
Congrats to Denise Scribner of Goddard's Eisenhower HS on winning the Excellence in Teaching abt #Agriculture award! http://www.hpj.com/general/kansas-teacher-honored-at-the-national-agriculture-in-the-classroom/article_c3f5fca0-a4b2-5958-aab0-d70ad477e5d8.html …	#Agriculture
ICYMI from @StanFinger @kansasdotcom, "Roberts leads group of U.S. senators calling for UN probe into Congo deaths"http://www.kansas.com/news/nation-world/article160220919.html …	
Celebrate this #IndependenceDay with #TheWordsThatBuiltAmerica, a reading of our nation’s most iconic documents. July 4th at 7pm on @HBO.pic.twitter.com/UeRCliP9dQ	#IndependenceDay #TheWordsThatBuiltAmerica
Wishing you and your family a Happy Independence Day! God Bless our men & women in uniform who continue fighting for our freedom every day.pic.twitter.com/eZaojIPvhp	
Celebrating what unites us. Watch #TheWordsThatBuiltAmerica on July 4th at 7pm on @HBO, http://YouTube.com/HBO  and http://Watch.HBO.com .pic.twitter.com/gagwXC4xYV	#TheWordsThatBuiltAmerica
News Release: Barbara Downey of Downey Ranch Wamego, KS testifies on conservation in the Farm Bill at @SenateAgGOP https://goo.gl/a8qDqm pic.twitter.com/XyxKux5mYp	
Joined @SenJohnThune in urging @USTradeRep Lighthizer to strengthen agricultural #trade in #NAFTA negotiations. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=3C32CEFD-6036-4930-A2D6-199CEFBA5525 …	#trade #NAFTA
Pleased to see @SGottliebFDA reiterate the importance of the Drug Quality & Security Act. https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm564681.htm … Read my statement below:pic.twitter.com/BfYsw59nXs	
Show 'em how it's done, Thom!https://twitter.com/SenThomTillis/status/880150873619476480 …	
My statement on the delay of the Senate #healthcare vote:pic.twitter.com/xIed5ueqLF	#healthcare
Pleased Administrator Pruitt & @EPA have listened to our concerns & taken an important first step to rescind #WOTUS. https://www.agriculture.senate.gov/newsroom/rep/press/release/chairman-roberts-epa-listens-to-farmers-and-ranchers-begins-wotus-withdrawal …	#WOTUS
Thank you to Col. Andy Shoffner who retired after 27 years of @USArmy service, most recently commanding the garrison at @FortLeavenworth.pic.twitter.com/ouUnCrDh2S	
The #VAaccountability Act is a critical step to ensuring our #veterans receive the care from the VA they deserve. http://bit.ly/2sK2RkP pic.twitter.com/ZWQYeiXtlC	#VAaccountability #veterans
Pleased @POTUS has signed the #VAaccountability Act into law. This law is critical to improving care for our veterans.pic.twitter.com/fVXYs6NzmF	#VAaccountability
My statement on the discussion draft of the Senate health care bill. Read here: http://bit.ly/2s08JEm  #BetterCarepic.twitter.com/AhcCJGJe8U	#BetterCarepic
NEWS RELEASE: We Need to Act Now for Better Health Care in America; There is No Alternative https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=EFFB24EF-41B5-476E-AEE9-E59569622B91 … #BetterCare	#BetterCare
ICYMI I discussed the #healthcare discussion draft with @MSNBC's @kasie. We must act now so all Americans can have #bettercare.pic.twitter.com/mn7RgkTpWG	#healthcare #bettercare
It was great to talk with students from @Kansas4H and @4H today!pic.twitter.com/kLrqH8U42g	
It was great to meet with @U2's the Edge & @angio_org's Dr. William Li to talk about research on using food for disease prevention.pic.twitter.com/8dAwNb46V0	
NEWS RELEASE: Chairman Roberts Addresses @KansasCityFed's 2017 Ag Symposium #KCFedAg https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=E171240A-804E-45E5-AF1E-169D75E6CC1A …pic.twitter.com/xCe2hKezmx	#KCFedAg
BREAKING: @POTUS approves Kansas disaster declaration for areas affected by April's severe winter stormpic.twitter.com/wegaO3R1pi	
Grateful this tradition carries on. Praying for all those injured. Thank you to our @CapitolPolice & all those who keep us safe. #allscalisepic.twitter.com/i19X9SIEKy	#allscalisepic
This bipartisan bill shows the U.S. will not tolerate the hostile behavior from #Iran and #Russia https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=D9731EF2-699A-4B05-AED6-3B3331302476 …	#Iran #Russia
TUNE IN at 9:30am to @SenateAgGOP hearing on #agresearch. Dr. John Floros of @kstate testifies. Watch live here: https://www.agriculture.senate.gov/ pic.twitter.com/nFD7hhibpB	#agresearch
Happy to help these constituents celebrate #FlagDay. Contact my office to have a flag flown over the @uscapitol.http://www.wibw.com/content/news/Local-bank-celebrates-Flag-Day-with-help-from-Sen-Pat-Roberts-428483463.html …	#FlagDay
Happy #FlagDay! May we always honor our nation's symbol of freedom, liberty & unity and remain grateful for those who fight to protect it.pic.twitter.com/QWrb3Wlwt6	#FlagDay
Happy Birthday, @USArmy! Thank you for your 242 years of service and sacrifice defending our nation. #ArmyStrongpic.twitter.com/UYx1191S3o	#ArmyStrongpic
My heart goes out to my colleague @SteveScalise, staff, security detail & the @CapitolPolice. Praying for everyone's safety & recovery.	
Thank you to @afspnational & members Andy and Kalli of Lawrence for all the work they do to save lives & #stopsuicide.pic.twitter.com/FQg8OyvL6a	#stopsuicide
Enjoyed visiting with @KansasYouthTour during their trip to Washington. Thank you for the great questions!pic.twitter.com/yUQGijpacM	
A very inspirational ceremony @FortRiley this morning celebrating the 100th birthday of the legendary @FightingFirst, the Big Red Onepic.twitter.com/iegC7GnmUF	
It was an honor to join @BretBaier & @IStillLikeIke to celebrate #Ike & the work towards his national memorial on the anniversary of #DDay.pic.twitter.com/1EGMU7uj8h	#Ike #DDay
Proud to honor President and General Eisenhower on the 73rd anniversary of #DDay. We look forward to breaking ground on his memorial.pic.twitter.com/fzAlGcWeeE	#DDay
Pleased the Senate passed critical legislation to improve #veterans services & increase accountability at the #VA. https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=7040A4A0-4F0E-4913-87A9-46744648FA68 …	#veterans #VA
Pleased to join @ChrisCoons in introducing a bipartisan bill to help companies design and manufacture in America. http://bit.ly/2s1zZa7 	
Today is the 73rd anniversary of #DDay. May we never forget those who bravely fought & sacrificed to give us the freedoms we have today.pic.twitter.com/qwiDeAI4Fp	#DDay
My thoughts and prayers are with the U.K. Tonight after multiple attacks. We are with you.	
It was an honor to pay tribute & share memories of my friend MT Sen. Conrad Burns before the Ag Technology Award presentation in his memory.pic.twitter.com/Hf1f3mQ0K0	
Don't miss the @mtagsummit tomorrow! I'll join @SecretarySonny & @SteveDaines at 8a-5p (MT time) watch LIVE at http://daines.senate.gov .pic.twitter.com/UYEwVJczMn	
This #MilitaryAppreciationMonth we thank, honor and remember our nation’s brave veterans, active duty members, and families. Thank you.pic.twitter.com/dIshPUGSS8	#MilitaryAppreciationMonth
It was a great pleasure to meet the Color Guard at the National Cemetery at @FortLeavenworth on #MemorialDay.pic.twitter.com/3zuEeRAZT3	#MemorialDay
Today we remember & honor all our brave heroes who made the ultimate sacrifice fighting for our freedoms & defending our nation #MemorialDaypic.twitter.com/7XCLmdjGmH	#MemorialDaypic
It was such an honor to speak at the memorial dedication of @USMC Sgt. Major Wilbur Bestwick in Sabetha. #SemperFipic.twitter.com/bA6WWRt4Vi	#SemperFipic
ICYMI: The Senate passed my bill w/ @clairecmc to protect our food supply against agro-terrorism threats. Read more: http://bit.ly/2rYIpuT pic.twitter.com/UXvqePW22G	
Pleased the Senate passed the Securing our Agriculture & Food Act to protect against agro-terrorism threats. http://bit.ly/2rYIpuT pic.twitter.com/OIC5ZmxlO1	
Congratulations to the new @KUnews Chancellor Dr. Douglas Girod. Look forward to working with you in this new role! https://news.ku.edu/2017/05/25/new-chancellor?utm_source=tw&utm_medium=sm&utm_campaign=Chancellor&utm_content=CA_sm_tw …pic.twitter.com/vcUHGPaoYF	
NEWS RELEASE: Senate Passes Bipartisan, Bicameral Bill to Address Agro-Terrorism Threats to Nation’s Food Supply https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&ContentRecord_id=CACE35B5-EF50-4DF5-A466-5596BFBB3148 …	
TUNE IN to the Senate Ag Committee hearing on the farm economy & #FarmBill18 today at 10am EDT. Watch live here: https://www.agriculture.senate.gov/ pic.twitter.com/e1NivHSoFt	#FarmBill18
Thank you for the visit and the discussion about music education!https://twitter.com/mmeyer667/status/867427518801989634 …	
My thoughts and prayers are with the British people and the victims of what is reported to be a terrorist attack at a concert in the U.K.	
It was a pleasure to meet with @sprint President & CEO @marceloclaure today. We are proud to have Sprint headquartered in Overland Park.pic.twitter.com/xQlMUNbYFS	
Franki and I send our thoughts and prayers to @maziehirono as she undergoes cancer treatment. Praying for speedy and full recovery.https://twitter.com/maziehirono/status/864572689528303618 …	
Prayers for those who lost homes in Tues. night's tornado in Barton Co. Glad no lives were lost & only 1 injured. https://goo.gl/tDq5UI pic.twitter.com/ojHhehCRsc	
Honored to meet family & team members of MDS Brandon Collins who was killed in the line of duty. Thank you for your service & bravery.pic.twitter.com/8DGExtZ8je	
This week is #NationalPoliceWeek. Thank you to all our law enforcement who put their lives on the line every day to keep us safe.pic.twitter.com/mY7YfJzvd4	#NationalPoliceWeek
Honored to begin Robert Lighthizer's swearing in ceremony with @VP Pence. Congratulations, @USTradeRep!pic.twitter.com/j6bbdFfVmv	
Pleased the Senate has confirmed Robert Lighthizer as @USTradeRep. Look forward to a robust trade policy w/ agriculture a key priority.	
My statement on the firing of FBI Director James Comey:pic.twitter.com/vImSswvRlI	
Check out this video commemorating the 10th anniversary of the #GreensburgTornado & the town's remarkable recovery. https://www.facebook.com/SenPatRoberts/videos/1498721136839613/ …pic.twitter.com/uJ8qdYcnCG	#GreensburgTornado
Today marks the 10th anniversary of the #GreensburgTornado. The comeback spirit of the people of @GreensburgKS has been remarkable.pic.twitter.com/YBGMCpuGTa	#GreensburgTornado
In memory of Kelsey Smith, I gave her favorite candy to our USCP officers. I encourage you to do your own random act of kindness. #KSFRAKpic.twitter.com/DpSo3BbXDy	#KSFRAKpic
Honored to be named an honorary @cwymca counselor! I attended there as a child & am proud to support the work they do for young Kansans.pic.twitter.com/mPgJJtrgCw	
Great to meet you, Jared! Thank you for sharing you thoughts on the #FarmBill & I look forward to hearing about your future endeavors.https://twitter.com/pheasants4ever/status/859520419359072259 …	#FarmBill
Enjoyed meeting w the Community Bankers Assoc. of Kansas today. Thx for coming in to discuss important issues impacting our community banks!pic.twitter.com/TL5Y05wVHL	
Thank you @ACUConservative for the Award for Conservative Achievement! Proud to fight for conservative principles.pic.twitter.com/M78vMudCYH	
These veterans have some amazing stories, and it was a special honor to meet them. @HonorFlightKCpic.twitter.com/qSM38BMhQ6	
I was humbled to meet w/ veterans visiting the WWII memorial on an honor flight from the Kansas City area today. Thank you for you service.pic.twitter.com/4y2ETRLEWP	
Congratulations, @kstate President General Richard Myers on your inauguration as K-State's 114th President! #EMAW http://www.k-state.edu/president/inauguration/index.html …	#EMAW
Welcome, @RepRonEstes! Glad to be working with you on behalf of Kansans. #FollowFridayhttps://twitter.com/SpeakerRyan/status/857952203004403714 …	#FollowFridayhttps
Glad to get in a little stretching this morning with @KAHPERD. Nice to meet with such enthusiastic teachers & mentors for our students.pic.twitter.com/JQmlzOYUlV	
A moving video from the people of Ashland sharing their gratitude for the generous support from around the nation:https://www.youtube.com/watch?v=5TomXVJPzys&feature=youtu.be …	
Glad to welcome #KS4th District @RepRonEstes to Washington! Give him a follow!pic.twitter.com/PUvwbvLC8d	#KS4th
Today, we remember & honor the 6M Jewish people & millions of other innocent lives that were lost in the Holocaust. #HolocaustRemembranceDaypic.twitter.com/0nKZPAIote	#HolocaustRemembranceDaypic
ICYMI: Watch my floor speech on Gov. Sonny Perdue's confirmation to be the next Secretary of Agriculture.pic.twitter.com/JBaxohNH6p	
Gov. Perdue will put the needs of farmers & ranchers first. I know rural America is thankful to have such a qualified #AgSec on their side.pic.twitter.com/B06ZD3Y6Af	#AgSec
Congratulations, Gov. Sonny Perdue! Confirmed by the full Senate to be Secretary of Agriculture. https://www.agriculture.senate.gov/newsroom/rep/press/release/chairman-roberts-announces-perdue-senate-confirmation …pic.twitter.com/zuB1MTIGJl	
Thankful for the release of American Aya Hijazi from imprisonment in Egypt and for the leadership of . @SenBobCorker and . @realDonaldTrumphttps://twitter.com/SenBobCorker/status/855375358065082369 …	
Wishing you and your family a blessed Easter!pic.twitter.com/vLAKjw7xzP	
Congrats @kstate on winning their 2nd national championship at the 2017 Collegiate Meat Animal Evaluation Contest! http://bit.ly/2puk7HT pic.twitter.com/55oa4XT7Vp	
Wishing you happiness and health this Passover season. #HappyPassover.pic.twitter.com/d2kQsNWs0l	#HappyPassover
ICYMI I wrote a piece for @kansasdotcom on the generosity from around the nation in response to the #kswildfires. http://www.kansas.com/opinion/opn-columns-blogs/article143560094.html …pic.twitter.com/SyhYbB20Dw	#kswildfires
VIDEO:Judge Gorsuch will make an extraordinary #SCOTUS justice. He has an outstanding record & is highly respected on all sides of the aislepic.twitter.com/al134uo60s	#SCOTUS
I'm proud the Senate has confirmed Judge Neil Gorsuch to be our next Supreme Court justice. My full statement: http://bit.ly/2oh82IG pic.twitter.com/5CXlXSMnOL	
Judge Gorsuch will make an extraordinary Supreme Court justice.pic.twitter.com/YRqnP0dA5E	
100 years ago today, the US entered WWI. Today we remember & honor the sacrifice of those who fought for our liberty & peace. #WWICentennialpic.twitter.com/hzqieL35x0	#WWICentennialpic
Judge Gorsuch is an extraordinary selection, highly respected & supported by individuals on all sides the political spectrum #ConfirmGorsuchpic.twitter.com/q0fJ1raXgE	#ConfirmGorsuchpic
Judge Gorsuch is a mainstream, well-qualified jurist who is an excellent choice for #SCOTUS. I urge my colleagues to #ConfirmGorsuch.pic.twitter.com/b4vZGpjwcE	#SCOTUS #ConfirmGorsuch
Giving an update on the #kswildfires recovery & the amazing generosity from people across the country helping those who lost everything.pic.twitter.com/p7EDKtwXdU	#kswildfires
Judge Gorsuch will uphold the values of the Constitution to the highest standard - exactly the type of justice we need. #ConfirmGorsuchpic.twitter.com/FVBwhiQsv6	#ConfirmGorsuchpic
