#TaxReform is the key to economic growth and vibrancy for future generations.pic.twitter.com/Ut0Me5saew	#TaxReform
I’m so glad @POTUS just signed our bipartisan bill into law!	
Our natural gas reserves were a key reason US Methanol chose Institute as their plant location. My staff helped them break ground today!pic.twitter.com/LGSfVNGTJ7	
Excited to announce Yeager Airport will receive more than $13 mil in funding for repairs following 2015 landslide. http://bit.ly/2w8pgrQ 	
Wishing a very happy birthday to 2 members of #TeamCapito – Baxter and Cam! pic.twitter.com/caCkHFKKNI	#TeamCapito
Seeing a small town like Worthington come together to tackle a goal like their riverbank project is inspiring. MORE: http://bit.ly/2vys0n5 pic.twitter.com/ijL0gCwKl6	
Had a great time with family and friends supporting @WVUfootball last night in their season opener! #Mountaineers #HailWVpic.twitter.com/njyiJf1D3i	#Mountaineers #HailWVpic
This #LaborDay, please join me in thanking the hardworking WVians who help make our state so strong.pic.twitter.com/AFazyHTrzI	#LaborDay
Ready to cheer on the #Mountaineers tonight against @VT_Football. Let's go @WVUfootball! #HailWV pic.twitter.com/rNNBd1T1UC	#Mountaineers #HailWV
Allegheny Wood Products is a true leader in the community & it’s been exciting to see them grow. Congrats on 25 yrs! http://bit.ly/2iNf46I pic.twitter.com/OjgL1XzTRQ	
Enjoyed the 45th annual @chardistrun this morning with Susan, Sarah and Kim.pic.twitter.com/8VaZi1JRbC	
Glad to see more funding headed to #WV to keep our communities healthy. Read about them here: http://bit.ly/2wtZK24 	#WV
Joined chemical industry leaders for a roundtable discussion this AM about advancing the industry & its impact on WV’s economy.pic.twitter.com/eop9he63CJ	
New @ARCgov funding I announced today will drive tourism and strengthen our local economy. Learn more here: http://bit.ly/2glxFlQ 	
Great to be with @VP for @WVaChamber Business Summit and discuss tax reform, Appalachian storage hub and disaster relief.pic.twitter.com/yvJ86cX3KT	
Enjoyed spending time in WV's beautiful mountains with Weyerhaeuser, a leader in our timber industry & a critical component of our economypic.twitter.com/XhFFLXB2u6	
Wishing @SenJohnMcCain a very Happy Birthday!	
This family-owned textile company sells products around the globe from its Parkersburg HQ. Great to meet the folks at Kreinik today.pic.twitter.com/LOIIBV9Uk9	
Praying for those in Texas who have been impacted by #Harvey and sending strength to those who are leading response and rescue efforts.	#Harvey
Pleased Secretary @stevenmnuchin1 accepted my invitation to visit West Virginia & hear directly from business & other leaders 1/pic.twitter.com/OhhjPNhTwl	
West Virginians like @WoodyWilliams45 deserve our highest praise. Glad I could be with him and others to dedicate new Medal of Honor Wall.pic.twitter.com/xW9JEyyTbC	
Wonderful to see Dr. Katherine Johnson and Dr. William White at last night's celebration.pic.twitter.com/tHZAye4iHa	
Happy 99th Birthday to WV pioneer Katherine Johnson. Please join me in honoring her unyielding curiosity, ingenuity and bravery.	
Yesterday we lost one of our own in Randolph County. My heartfelt condolences are w/ the Jones family & all of West Virginia’s brave miners.	
Great to see firsthand how @TWMetals has successfully diversified its business and hear from the hardworking employees there today.pic.twitter.com/ZOeTSsdBv7	
Williamson, WV will soon be online, just announced funding for new Wi-Fi hotspots in that community: http://bit.ly/2wnWGHe 	
Thanks for the great discussion about broadband & more. As broadcasters, you understand importance of reliable, high-speed internet access.https://twitter.com/WVBroadcasters/status/900361474954076160 …	
I support the direction @POTUS laid out on Afghanistan/S Asia & remain forever grateful to our service members. More http://bit.ly/2xp1DfN 	
Heartbreaking to learn about the #USSJohnMcCain accident. Please join me in praying for the crew and rescue team as the search continues.	#USSJohnMcCain
Economic development goes hand-in-hand with  #broadband access. This piece by @WDNnews for more on my efforts: http://bit.ly/2w7GMB7 	#broadband
More than 1/3 of rural Americans don’t have high-speed internet access. Here’s how I’m working to change that: http://bit.ly/2vKAgii 	
Thank you @netanyahu for being such a strong U.S. ally.https://twitter.com/netanyahu/status/898545730754928640 …	
Great news that @ENERGY is investing in @WestVirginiaU research project that will benefit WV & entire nation. MORE: http://bit.ly/2v617BJ 	
Saddened to learn about the terror unfolding in #Barcelona. Praying for the victims and sending strength to the first responders.	#Barcelona
. @WSJopinion: Coal is showing signs of revival & breathing economic life in West Virginia & other coal states. MORE:http://on.wsj.com/2uLYeuK 	
Former @WVcourts Justice Cleckley will be missed by all of WV. Thinking of his family & friends during this difficult time.https://twitter.com/WVcourts/status/897462973723181058 …	
Last week’s Purple Power Night was an all-around success. Great community support for @PanCAN awareness & a @wv_power WIN!pic.twitter.com/tbyQyQGTKZ	
South Charleston buried a time capsule (w/ a letter from me) to help kick off its 100th yr. Join the celebration! http://bit.ly/2i0hOxe pic.twitter.com/ESAXY4Lhu0	
Grateful for #WV #veterans like Paul McCue of Clarksburg who served during WWII in the @USNavy & received the Combat Action Ribbon.pic.twitter.com/wE0yfZKprT	#WV #veterans
This tragedy was domestic terrorism & should be treated as such. It is incumbent upon all of us to reject this type of racism & bigotry.	
The hate & violence expressed by Neo-Nazis & other white nationalists groups in #Charlottesville has absolutely no place in America.	#Charlottesville
We might not be able to repay first responders for all they do, but we can honor them through a nat’l memorial. MORE http://bit.ly/2wnJAHg 	
Acts of hate and violence like what we're seeing in #Charlottesville have no place in our country.	#Charlottesville
. @nytimes: WV is leading the way in turning vocational education into a fuel source for state’s economic revival:http://nyti.ms/2vWyJWK 	
By declaring opioid epidemic a natl emergency, @POTUS is signaling that his administration wants to get more help to those who need it most.	
Not a day goes by that I don’t hear another tragic story of a young person battling addiction.	
. @SenateMajLdr is uniquely qualified to lead Senate GOP, look forward to continuing to work with him to advance policies that benefit WV	
I'm focused on creating better economic opportunity for West Virginians and fixing an outdated tax code for families & small businesses.	
Good to hear @POTUS say he plans to declare the opioid epidemic a national emergency. It will be an important step in this ongoing fight.	
We owe so much to first responders who answer countless calls for help every day. Here’s one way we can honor them:https://www.youtube.com/watch?v=w2G5LM259Rw&feature=youtu.be …	
Today on #PurpleHeartDay, please join me in remembering the selfless men & women who have fought hard to keep our nation safe and free.	#PurpleHeartDay
Proud to support a bill promoting women’s meaningful inclusion & participation in peacemaking & mediation efforts: http://bit.ly/2urQFV6 	
Fire departments in nine WV counties will receive more funding to support safety efforts. MORE: http://bit.ly/2voTeuZ 	
Congratulations @Sen_JoeManchin and Gayle!https://twitter.com/Sen_JoeManchin/status/893818881336324097 …	
Great news! This bill includes legislation I supported that encourages #broadband deployment during road construction projects.https://twitter.com/SenJohnThune/status/893216208731983872 …	#broadband
Great news - @POTUS accepted my recommendation & nominated Bill Powell as US Attorney for Northern District of WV http://bit.ly/2voxSys 	
Please join me in extending our heartfelt thoughts & prayers to his loved ones & members of WV's 130th Airlift Wing http://bit.ly/2wbECgt 	
Tech. Sgt. David Board of Barboursville served his country honorably & with courage, making the ultimate sacrifice to defend our freedoms	
I agree w opioid commission that @POTUS should declare opioid crisis a nat’l emergency & increase resources: http://bit.ly/2uWlh4u 	
Today we passed Jessie’s Law, an important and meaningful step to honor the life of Jessie Grubb. MORE: http://bit.ly/2v12FQY 	
Proud to cast my vote in support of our next @FBI Director Christopher Wray. Confident he'll do a great job. MORE: http://bit.ly/2vltMXb 	
Good to see @POTUS’ opioid commission’s interim report endorses several solutions to drug epidemic I’ve pushed. MORE http://bit.ly/2w2EtvQ 	
WVians always take care of one another & this was clear during my visit to Marion County today following the flood.pic.twitter.com/hvoC1x05CD	
Proud of WVian Annelies Stephans for her involvement w/ @JDRF as a Children’s Congress Delegate. #JDRFCC17pic.twitter.com/UAnAipSisn	#JDRFCC17pic
Thinking of those impacted by the flooding in #WV. My staff & I have been in touch w/ state officials & will keep you updated. Stay safe.	#WV
My statement on this morning's health care vote: http://bit.ly/2vP43Es 	
Supported Appropriations bills to improve infrastructure, fight the opioid epidemic & promote economic development: http://bit.ly/2vNMF36 	
Tonight, the Senate sent a clear message that the U.S. won’t stand for threats to our nat’l security. MORE: http://bit.ly/2tHyc75 	
NEWS: Just learned that because of my efforts WV will receive another $42M for flood relief.	
Excited Senate VA Cmte unanimously approved a bill I am sponsoring to improve ed benefits for our veterans. More: http://bit.ly/2vIVTxf 	
My statement on motion to proceed:pic.twitter.com/j7sdmIW79L	
Hope @BetsyDeVosED will put the needs of WV students above bureaucratic technicalities. Read my letter to her here: http://bit.ly/2tUdpwE 	
Talked politics with future West Virginia leader, John Mace. Remember that name!pic.twitter.com/BO5FQ8NxLd	
Repealing, replacing Obamacare is the best solution for West Virginia. Read more in my weekly newsletter: http://bit.ly/2gQVOnT pic.twitter.com/uShU2QWKUh	
By repealing & replacing Obamacare, we can fix problems created by this failed law, put reforms in place that workhttps://www.youtube.com/watch?v=_a43CYN3evU …	
Extended a warm WV welcome to Mark Gracy who is planning to move his company @BullyTools to the northern panhandle. Great decision!pic.twitter.com/aHy8h70fLf	
Excited to welcome @POTUS to the Mountain State Monday. Will join him at the Boy Scout Jamboree to celebrate our country’s future leaders.	
Good to hear how @NSF is leading the way in research, innovation and education in the science & engineering fields. This is the future!pic.twitter.com/dq6UHEdG3d	
I remain committed to repealing Obamacare & replacing it w a system that provides access to affordable care for WV https://www.youtube.com/watch?v=_a43CYN3evU …	
Teamed up w/ my colleagues to recognize Nat’l Youth Sports Wk to encourage kids to lead active & health lifestyles: http://bit.ly/2uNayud 	
Time flies! Took our summer interns to lunch in the @uscapitol today to thank them for their hard work.pic.twitter.com/95jldw4MvI	
So sad to hear the heartbreaking news about my friend @SenJohnMcCain. My prayers are w/ the McCain family and w/ John, a true fighter.	
I’m glad @POTUS agrees that we cannot move to repeal Obamacare without a replacement plan that addresses the needs of West Virginians.	
Skyped w/ students in the Energy Express program at Bradshaw Elementary, which keeps kids reading in summer. Great group of young scholars!pic.twitter.com/59KmVRcRyV	
Thinking of my friend @SenJohnMcCain & wishing him a speedy recovery. Keep Tweeting your progress - we miss you!https://twitter.com/SenJohnMcCain/status/886378280449966080 …	
MORE: I will only vote to proceed to repeal legislation if I am confident there is a replacement plan that addresses my concerns.	
My latest statement on the Senate health care bill & planned vote to repeal Obamacare:pic.twitter.com/yAVIxgptCu	
Wrking w/ a bipartisan group of sens. on a bill that encourages clean coal technologies. @DominionPostWV has more http://bit.ly/2tNjBtz 	
Learn about new funding I announced that will provide WVians access to important health services: http://bit.ly/2tbpu51 	
Thinking of Mom today on her birthday. Always so grateful for her love & support.pic.twitter.com/f0ppfRx1an	
. @InterMountainWV has the scoop on how I’m supporting health centers in WV: http://bit.ly/2tj7CjR 	
Proud of Chelsea Carter who continues to share her story and the good work of Drug Courts at their annual conference this week in DC.pic.twitter.com/pQzfU43U07	
Recently met Dylan from @CabellMidland who was a National Youth Delegate at #WYSE2017 – great to meet you!pic.twitter.com/bm6k2P9div	#WYSE2017
It was clear during my meeting today w/ @FBI nominee Christopher Wray that he is committed to keeping Americans safe.pic.twitter.com/8iFQWBzIky	
Sat down w/ @FCC nominee Brendan Carr yesterday & stressed the importance of one of my top priorities - closing the #digitaldivide in #WV.pic.twitter.com/h9x5sgkNkU	#digitaldivide #WV
#WV coal provides the nation w/ baseload power and this is the backbone of our industrial economy.	#WV
Proud to join other sens to intro the FUTURE Act, which spurs domestic investment in advanced carbon technologies that support coalpic.twitter.com/XWWWxwt00f	
W/O connectivity, bizs can’t thrive. @WVMetroNews has more on my visit to Hardy & Hampshire Co. w @AjitPaiFCC: http://bit.ly/2vc7DHC pic.twitter.com/UYDZv2eP0G	
Read about the trip & project, which could be a real game-changer for our economy and national security ---> http://bit.ly/2tp6fmW  (3/3)	
Just spoke w/ @SecretaryPerry about an exciting regional energy infrastructure project I'm championing. (1/3)	
Glad to have @AjitPaiFCC as a partner as we work together to bridge the #digitaldivide. Enjoyed our visit! MORE: http://bit.ly/2tKxdnJ pic.twitter.com/ROMKR1RZeu	#digitaldivide
Good luck to long-time @CharlestonPDWV Chief Brent Webster in your new city gov. position. Thanks for your service!http://bit.ly/2tKaI25 	
Had a great discussion w/ @AjitPaiFCC & others about how efforts like my #GOAct & #CapitoConnect can help bridge the #digitaldividepic.twitter.com/LRmvleGhlP	#GOAct #CapitoConnect #digitaldividepic
In Hampshire Co touring Capon Springs Resort & learning about its rich history. Improving #broadband here will help tourism thrive even morepic.twitter.com/8ve4jsZPgS	#broadband
Heard from @LstRvrTrdngPost owners about how #broadband is key to revitalization initiatives.pic.twitter.com/0Z9565ZpPT	#broadband
Great to have Chairman @AjitPaiFCC back in #WV today highlighting the need for #broadband in rural communities.pic.twitter.com/YiFYRCpkP0	#WV #broadband
Productive discussion this AM on what a regional ethane storage & transportation hub would mean for #WV. MORE: http://bit.ly/2tp6fmW pic.twitter.com/zOSM7Tr9IE	#WV
Brought together @SecretaryPerry & great group to discuss how regional energy storage facility & infrastructure can be a game-changer for WVpic.twitter.com/yEO7pMfdfX	
Enjoyed having @SecretaryPerry w/ me in Monongalia Co. today to see WV's #energy potential firsthand: http://bit.ly/2sSbIiN pic.twitter.com/tSG0ZWi6Xs	#energy
Looking forward to hosting Chairman @AjitPaiFCC in #WV next week to draw attention to the need for better connectivity in rural communities.	#WV
Proud of @WestVirginiaU's Experimental Rocketry team for winning 1st place in @Spaceport_Cup. Way to go! #SACup17http://bit.ly/2sF2upH 	#SACup17http
Wishing all West Virginians a happy & safe #IndependenceDay!https://www.youtube.com/watch?v=6Uz0gKfQ6x4&feature=youtu.be …	#IndependenceDay
Had a visit from members of @WVMEA and chatted about the importance of music education for #WV’s youth. pic.twitter.com/iXaIqwsEz1	#WV
Enjoyed hearing about the cutting-edge work #WV women are doing in tech to help transform the state. #womenintechpic.twitter.com/4YA7ZyMTKV	#WV #womenintechpic
Loved meeting future West Virginia Senator and current Jr. Miss Monongalia Kaitlyn Frisk. Enjoy your visit!pic.twitter.com/1tDrYfdwzv	
Great event yesterday promoting #STEM careers for women – this is the future! Thanks to @girlscouts for putting this together!pic.twitter.com/Qk7gXFPGNL	#STEM
Listen in if you can: http://bit.ly/1m9vBc9 https://twitter.com/HoppyKercheval/status/880063634793222145 …	
My concerns will need to be addressed going forward. Full statement w @senrobportman: http://bit.ly/2rZ7qGB  7/7	
The draft Senate health care bill is not the right fix for West Virginia, and I cannot support it. 6/7	
The bill as drafted doesn’t do enough to combat opioid epidemic, cuts traditional Medicaid too deeply, harms rural health care providers 5/7	
As drafted, Senate bill doesn't result in affordable access to health care for many WVians, including those covered on Medicaid expansion4/7	
At the same time, many WVians benefit from expanded coverage through Medicaid & access to substance abuse treatment. 3/7	
Obamacare’s steep costs & limited choices have hurt WVians. I have consistently looked for opportunities to improve this broken law. 2/7	
I came to Washington to make the lives of West Virginians better. 1/7	
Spoke w/ @Your4State about how I’m helping to deliver #broadband to nearly 9,000 #WV residents & employers: http://bit.ly/2t3AMaX 	#broadband #WV
Three unserved WV counties will soon have access to #broadband thanks to #CapitoConnect. Find out the details: http://bit.ly/2tD360R 	#broadband #CapitoConnect
Neighbors helping one another in times of need is what our West Virginia spirit is all about:https://www.youtube.com/watch?v=jCMBEYNHbR8&feature=youtu.be …	
Always good to see @ABU1871 President Barry! Thanks for stopping by the office this week.pic.twitter.com/S9P8WvIjKh	
ICYMI: @POTUS’ commitment to expanding rural #broadband access is the next step in closing the digital divide in WV: http://bit.ly/2sVza25 	#broadband
My statement on the Senate health care discussion draft: http://bit.ly/2sv2f45 	
Just announced I’ll be hosting @ENERGY @SecretaryPerry in WV this summer. Looking forward to his visit! http://bit.ly/2rVu72B 	
After asking @POTUS to include #broadband in #infrastructure proposal, glad to see him follow through on my request. http://bit.ly/2hlwJkf 	#broadband #infrastructure
Big thanks to my staff for cheering me on at the @CWSoftballGame tonight! #CWSG #BeatCancer pic.twitter.com/qtlUV8uDdR	#CWSG #BeatCancer
Thanks to the WVians who traveled to DC to share their stories on health care reform today.pic.twitter.com/hG0Td1OF3V	
My #CapitoConnect plan is paying off! Thrilled to announce $3M in funding to expand #broadband in three WV counties http://bit.ly/2sMFHvU 	#CapitoConnect #broadband
Glad @ChrisCoons is on board w my #GOAct. Let’s work together to bring #broadband to low-income & rural areas http://bit.ly/2sMojHJ 	#GOAct #broadband
Happy 154th birthday to wild and wonderful West Virginia! #AlmostHeaven #WVDaypic.twitter.com/Al20dW56ew	#AlmostHeaven #WVDaypic
Ravenswood Police continued drug free efforts by uncovering more than $500K of heroin during weekend traffic stop: http://bit.ly/2sQMXr1 	
Wishing all of the wonderful West Virginia dads a very #HappyFathersDay!	#HappyFathersDay
Dropped by a meeting w/ @afspnational WV members this wk. Good to hear about their efforts to prevent suicide in WV.pic.twitter.com/5fQDFiwRDV	
Took my summer interns to lunch in the @uscapitol yesterday to thank them for their hard work this summer. Great group!pic.twitter.com/7YXe7X7Y7q	
Yesterday our @CapitolPolice officers showed great heroism. I am so grateful every day for their selfless service & protection. Thank you!	
We're so lucky to live in a state as beautiful as WV. Today I announced grants that will preserve its natural beauty http://bit.ly/2rx53d1 	
My heartfelt condolences go out to the family & friends of Rodney Osborne who lost his life in a Boone County mine. http://bit.ly/2rwDfFQ 	
The @USArmy is celebrating 242 years of service today. Happy birthday, and thank you for all that you do for our nation!	
Thinking of my colleagues, their staffers & @CapitolPolice members who were at @thehillbaseball practice this AM. Praying for their safety.	
#IGoPurpleFor my parents. Join me in raising awareness during #AlzheimersAwarenessMonth. #EndAlz pic.twitter.com/DyfDsVvqLu	#IGoPurpleFor #AlzheimersAwarenessMonth #EndAlz
It was great to be back at @WVGirlsState yesterday w/ many accomplished young women. Can’t wait to see what the future holds for this group!pic.twitter.com/MWzZ7TxPXy	
Also teamed up with @Sen_JoeManchin on another bill related to Appalachian energy hub. More on that measure here --> http://bit.ly/2slrS8p 	
An Appalachian energy hub would be a game-changer for WV. More on a new bill I intro'd today to make this a reality. http://bit.ly/2rk4Pea 	
Spoke about the importance of leadership to an impressive group of young men at @wvboysstate this morning.pic.twitter.com/vBqBwK52Xn	
. @WVStateU's Upward Bound program has helped so many in WV. We can’t afford to lose this program, @BetsyDeVosED.https://www.youtube.com/watch?v=ZpDcDXbxb1U&feature=youtu.be …	
Thrilled @IBM “New Collar” partnership will include WV colleges. Great opportunity for students to acquire IT skillshttps://yhoo.it/2r6tKSe 	
Met w/ @matricinnovates's Steve Hedrick re: benefits of Appalachian ethane storage hub. Working to make it happen. http://bit.ly/2q5SMiK pic.twitter.com/RjzkVahK13	
Thanks to @WV_CAN's leadership, they have helped more than 3K WV kids affected by abuse.pic.twitter.com/oqSaJQjmCv	
Had some tough funding questions for @BetsyDeVosED today. I will continue working to protect #WV priorities.https://www.youtube.com/watch?v=sw92JYJWhkw …	#WV
Helped pass a bill that protects our veterans’ interests & those who assist them. More on the #VAaccountability Act: http://bit.ly/2ryH40d 	#VAaccountability
. @BetsyDeVosED: ending the Upward Bound program at @WVStateU is unacceptable. Don’t throw away this important relationship.pic.twitter.com/Aa58Zfkcx7	
Congratulated the #WV @BorenAwards recipients today while they were in D.C. Keep up the hard work!pic.twitter.com/jKxnvdVcBN	#WV
On the anniversary of #DDay, join me in honoring the brave heroes that fought to preserve freedom on the beaches of Normandy.pic.twitter.com/nKuCxHt62F	#DDay
The new jet service in CRW came in handy this rainy morning on my trip up to DC. Thanks @YeagerAirport for providing safe transportation! pic.twitter.com/9zHKyum26P	
ICYMI: Glad the @WhiteHouse listened to my request to reverse cuts to important anti-drug programs: http://bit.ly/2sastXk  via @politico	
Beautiful evening at the Haddad Riverfront Park yesterday to kick off the @sowv Summer Games. Good luck to all athletes competing!pic.twitter.com/mt6wzgJe3t	
What a game! Congrats @WVUBaseball on today's victory over @TerpsBaseball in the 1st @NCAACWS game. #HailWV #RoadToOmahapic.twitter.com/9XE6RZXnP7	#HailWV #RoadToOmahapic
Joined students from the Ambassador Christian Academy in Elkins on the Senate steps last week. Great to meet you!pic.twitter.com/F9CRMRAP9B	
My staff recently joined #HomesForWV & new homeowners for a dedication at Hope Village. Grateful to all who made this a reality.pic.twitter.com/U2NQBR00vi	#HomesForWV
Today’s actions further demonstrate @POTUS is standing w/ #WV workers & businesses to keep jobs in our state.	#WV
. @POTUS' decision to withdraw the U.S. from the #ParisAgreement is the right decision for the economy & #WV.	#ParisAgreement #WV
Glad to announce that #WV has been awarded funding to support various @AmeriCorps efforts. Find out more: http://bit.ly/2rJC22v 	#WV
Just announced new grants to help strengthen communities & create a jobs-friendly environment in #WV. Details here: http://bit.ly/2qF6ydM 	#WV
Maintaining safe communities is essential. Learn about new funding announced for WV’s firefighters & 1st responders: http://bit.ly/2rUHmzt 	
Jan Vineyard was a good friend, a hard worker & loved WV. Thoughts & prayers to Gary, Craig & Jan’s entire family. http://bit.ly/2qz5ROS 	
Wishing all West Virginians a happy and safe #MemorialDaypic.twitter.com/sGVCn6s77J	#MemorialDaypic
Spoke w/ @WVNS59News to discuss my efforts to convince administration to reverse decision on cutting drug programs:https://www.youtube.com/watch?v=VLr1O_wqFcY&feature=youtu.be …	
That’s a wrap! Congratulations to the grads at @pendletoncomshs. Wishing you a bright future! pic.twitter.com/F2dptxNggK	
Best of luck to Buckhannon-Upshur High School’s class of 2017!pic.twitter.com/Sdk0p0W1Ow	
