Events like this help Michigan students build a passion for space and science education	
Michigan #startups are at the forefront of innovation & job creation in industries from food & retail to tech & health care #StartupDaypic.twitter.com/YESX6vtO9W	#startups #StartupDaypic
Today South Haven’s James McCloughan received the Medal of Honor for his services during the Vietnam Warhttp://www.freep.com/story/news/2017/07/31/michigans-james-mccloughan-awarded-medal-honor-today/524925001/ …	
Glad to report the public comment period on Trump’s EO that could rollback or eliminate 11 marine sanctuaries & monuments has been extended	
Proud to stand up for MI families & cast my “NO” vote against the GOP health care bill alongside @SenJohnMcCain & his deciding votepic.twitter.com/MuvUao7CXS	
Thanks to the hard work of Michiganders and people across the country, GOP efforts to pass their health care bill failed last nightpic.twitter.com/gZT4bAQ63A	
I urge GOP colleagues to think about people who will be hurt by repealing ACA & urge them to work w/ Dems on a bipartisan health care billpic.twitter.com/EZHDj4sNIw	
There is no room for discrimination in our military. President should focus on plans to address threats from N. Korea & Russian aggression	
We should support every patriotic, qualified & capable person volunteering to serve our country in uniformhttp://bit.ly/2h2V2oa 	
SOON: Voting against GOP repeal of ACA. Would be devastating to Michiganders, putting affordable health care out of reach for thousandspic.twitter.com/WrMy9bTmkh	
GOP already trying to make their health care bill worse, now trying to pass provision that rips coverage away from Michiganders who need itpic.twitter.com/sVFp07oOci	
Today Senate GOP voted to set us on a path towards unraveling the American health care system, w/ no plan to put it back together	
SOON: Senate will vote on health care repeal that impacts the lives of millions of Americans w/o even knowing what the bill sayspic.twitter.com/av4foYIMZe	
Happy 316th birthday to the Motor City!pic.twitter.com/mD8VFUczlA	
. @SenStabenow & I are willing to work w/ Trump to promote American manufacturing & stop outsourcinghttp://detne.ws/2tnVsXC 	
#NetNeutrality helps small businesses compete w/ large corporations on a level playing fieldpic.twitter.com/YcvTKodSyD	#NetNeutrality
Totally agree! Give American companies a level playing field & they will make the best products every timehttps://twitter.com/senstabenow/status/888089805195816960 …	
Thinking of colleague & @SASCMajority chairman @SenJohnMcCain & family. Hoping to see you back in the Senate soon.http://politi.co/2tIuAB7 	
Repealing the ACA w/o a replacement would be an outright disaster: 32 million will lose care in next 10 yrs & premiums spike 25% in first yrhttps://twitter.com/ap/status/887786428855353345 …	
Closing @StateDept cyber office weakens our ability to strengthen US cybersecurity & resolve conflicts in cyberspacehttp://bit.ly/2vkJHCH 	
We should focus on bipartisan solutions to stabilize market, lower costs & provide Americans w/ affordable care	
Repeal w/o replacement would devastate MI families, risking coverage & skyrocketing premiumshttp://n.pr/2uFIqZM 	
Time for GOP to work w/ Democrats to find substantive policies that improve health care & reduce costs for all Americanshttps://twitter.com/nytimes/status/887116924114677761 …	
W/ #Trumpcare vote delayed, GOP should take this time to hold public hearings and get real input from experts & Americanspic.twitter.com/9gQKZx9VZu	#Trumpcare
Michiganders have a chance to see a space weather event tonight, w/ Northern Lights visible as far south as Detroit!http://on.freep.com/2v7a3Iv 	
We should be working on legislation that will truly improve our health care system by increasing insurance coverage and bringing down costspic.twitter.com/UeYBYT5OGj	
Police Chief Synan warns me #Trumpcare Medicaid cuts will limit tools to fight opioid addiction. Watch more: http://bit.ly/2tO7vOU pic.twitter.com/ntYmV660zo	#Trumpcare
W/o a free & open internet it will be harder for small businesses & innovative start-ups to share their ideas w/ the world. #NetNeutrality	#NetNeutrality
Proud to join the day of action to protect #NetNeutrality for small businesses, startups & consumers & keep the internet free & openpic.twitter.com/mFN4EqJfTy	#NetNeutrality
Hospital & Health Provider CEOs: #Trumpcare will cause premiums to "increase for those that need coverage the most”http://bit.ly/2tKnxtm 	#Trumpcare
My heart goes out to the families & friends of the 16 Marines who lost their lives in this tragic Mississippi plane crash	
This story is a chilling reminder of how #Trumpcare Medicaid cuts will have a major impact on seniors & their familieshttps://twitter.com/sangerkatz/status/883329724327579649 …	#Trumpcare
#Trumpcare will have a major impact on Michiganders w/ pre-existing conditions like Amy. Read her storypic.twitter.com/VjTFBmsIjY	#Trumpcare
#Trumpcare cuts Medicaid by $772 billion, dismantling school telemedicine programs that kids in rural MI depend onhttp://politi.co/2tQsdAJ 	#Trumpcare
Amazing celebration of Northern Michigan’s heritage & history at today’s Grand Traverse Band of Ottawa & Chippewa Indians pow-wowpic.twitter.com/n1Xs4pVLOh	
Met w/ realtors from Northern Michigan for an important discussion on how to help more Michiganders become homeownerspic.twitter.com/UK5hn9BGXy	
#Trumpcare will have a major impact on Michigan children like Erin who need Medicaid to afford care. Grateful I can share her storypic.twitter.com/MwawWAEn6l	#Trumpcare
Michiganders are sharing their health care stories w/ me & telling me they are fearful that #Trumpcare could jeopardize their coveragepic.twitter.com/Ne2SFQ1svo	#Trumpcare
#Trumpcare will have a major impact on Michiganders like Stefanie who need affordable health insurance. Proud to share her storypic.twitter.com/FLym1dAkt2	#Trumpcare
No one should ever go bankrupt because they are sick and no one should ever die because they can’t afford quality insurancepic.twitter.com/wjyo1Kr3AX	
Headed to the floor to talk about the many Michiganders impacted by the GOP health care bill - tune in! http://bit.ly/2sRytqa pic.twitter.com/KR8f1mmdcF	
Instead of buying time to twist arms & secure votes, Senate GOP should start over & work w/ Democrats on bipartisan solutions	
Good news - Senate GOP delayed health care vote! But this fight isn’t over yet.http://nyti.ms/2sjba53 	
60% of MI seniors living in nursing homes rely on Medicaid, #Trumpcare cuts could force retirees out on the streets.http://nyti.ms/2tbp7pG 	#Trumpcare
Warmest wishes to Muslims across Michigan and America on the joyous holiday of Eid al-Fitr! #EidMubarak	#EidMubarak
It’s outrageous GOP is jamming their health care bill through the Senate! I agree w/ @AARPMichigan, there should be hearings & public inputhttps://twitter.com/aarpmichigan/status/878050832565944320 …	
This reaffirms urgent need to act & prevent Asian carp from reaching the Great Lakes basinhttp://detne.ws/2szrdix 	
Planning to visit DC? My office can assist Michiganders interested in touring national landmarks. For more info: http://bit.ly/2rX3h9F pic.twitter.com/WpTAv4shoS	
Senate GOP wrote a health care bill in secret & w/o input from the public, now they are rushing a vote w/o hearings or input from otherspic.twitter.com/DCCNqoWyqN	
This is not about if or how the GOP can count to 51 votes. This is about people’s lives & Americans deserve answers on #Trumpcarepic.twitter.com/HWUn2W5PAF	#Trumpcarepic
I’m happy to attend any meeting on the secret #Trumpcare bill, just waiting on Republicans to give us a time and placepic.twitter.com/2yGnD7IgZK	#Trumpcare
Veterans had our back—now we must have theirs. My office can help w/ disability benefits, access to VA care, military records & morepic.twitter.com/h76KelSKh8	
#Trumpcare could skyrocket coverage costs for countless MI seniors, yet Senate GOP refuses to hold public hearingshttp://wapo.st/2rNd262 	#Trumpcare
#Juneteenth reminds us how far we've come toward healing the wounds of slavery over the last 150 yrs, but the struggle for equality persistspic.twitter.com/AtaugjIESd	#Juneteenth
Saddened by deaths of 7 @USNavy sailors of USS Fitzgerald. My thoughts go out to families, friends & fellow sailors dealing w tragic loss	
#OTD Sally Ride became 1st American woman in space! She continues to be an inspiration for women & girls to pursue science & engineeringpic.twitter.com/U9Rnnbff2s	#OTD
Proud to stand w/ @AARPMichigan against #AHCA which will force Michigan seniors to pay thousands more for health care coveragehttps://twitter.com/AARPMichigan/status/875745298907312128 …	#AHCA
Senate came together w near unanimous vote for Iran & Russia sanctions - clear message to bad actors who sow instability, threaten US alliespic.twitter.com/Kv8BDBD50l	
If you’re a Michigander needing help accessing your Social Security benefits, call my office toll free (844) 506-7420 so we can assist youpic.twitter.com/FFGKjjSSI0	
W/ Great Lakes funding & environmental protections under attack, groups like @MichiganLCV are vital in the fight for #cleanair & #cleanwaterpic.twitter.com/JjlpdDCuGu	#cleanair #cleanwaterpic
Shocked by attack on GOP members of Congress, staff. Prayers for my colleagues, others who are injured & thankful for USCP, first responders	
Congrats to @griffinshockey on winning their second Calder Cup! #GoGRG	#GoGRG
Congratulations to South Haven’s James McCloughan on receiving the Medal of Honor!http://detne.ws/2rfllrJ 	
Behind closed doors, GOP is drafting a health care bill that looks a lot like the bad version passed by the Househttp://bit.ly/2slsT03 	
Joined @SenStabenow, @CoryBooker at @techtowndetroit to talk with local small businesses that are leading innovation in countless fieldspic.twitter.com/1LnQJN8Tir	
Honored to be a part of @michigansierra 50th anniversary celebration, thank you for your committed service to protect MI's natural resourcespic.twitter.com/oituDktJsj	
We cannot continue to rely on infrastructure investments made by our grandparents and great-grandparents. We must upgrade the Soo Locks.pic.twitter.com/tprUgMABtd	
Americans deserve to know the truth about Russia’s efforts to undermine our democracy, this investigation is too important to be stymied	
Today's #ComeyHearing is even further evidence that we must get to the bottom of the facts behind Russian interference in our electionspic.twitter.com/VLx6I4EVT3	#ComeyHearing
Thank you @AARPMichigan for opposing #AHCA & pounding the pavement on Capitol Hill in defense of Michigan seniors & their familiespic.twitter.com/2l4mfnouH3	#AHCA
My new bill w @SenCapito expands Medicare’s nutritional programs to help prevent costly, chronic condition of diabetes in more seniorspic.twitter.com/t7QOtohg3L	
Trump & Betsy DeVos want to slash @usedgov budget, inflicting painful cuts in after school programs for MI kids & training for MI teacherspic.twitter.com/A0lEa7EsPa	
Thinking of London & all those injured or killed in tonight's horrific attacks. US stands w the United Kingdom in the face of this tragedy	
As the Ranking Member of the subcommittee that oversees federal spending, it's hard to save taxpayers money if Trump won’t provide info	
By ignoring lawmakers' oversight requests, Trump Administration is ignoring the concerns of millions of Michigandershttp://politi.co/2qIHXAv 	
Thanks @AmeriCorps for supporting Michigan & helping to make a difference for countless Michigandershttps://twitter.com/AmeriCorps/status/870399032996253696 …	
Proud to celebrate #Pride2017 to support, honor & celebrate the #LGBTQ community!pic.twitter.com/rI6LMFAtrl	#Pride2017 #LGBTQ
The Soo Locks need an upgrade to support the needs of the 21st century, we cannot build our future on the investments our grandparents madepic.twitter.com/lVPxG8ZIi0	
Proud to join @SenStabenow & MI delegation in intro’ing a bill to help advance the process of upgrading the Soo Lockspic.twitter.com/9jQ6rBjieR	
Trump’s decision to leave #ParisAgreement means America loses economic opportunities to foreign businesses, countries focused on the future	#ParisAgreement
America should be global leader in tackling climate change for good of our environment, our economy & our national security #ParisAgreement	#ParisAgreement
Nearly 200 nations & global business community see the need to address climate change through #ParisAgreement - why can’t President Trump?	#ParisAgreement
Honored to join Michigan Veterans Foundation to show my respect for those who died protecting our nation. #MemorialDay17pic.twitter.com/TjCA31lXPO	#MemorialDay17pic
Today we pay tribute to our fallen servicermembers. We owe them & their families debt of gratitude that can never be repaid, #MemorialDay17pic.twitter.com/cansXHqkuE	#MemorialDay17pic
Rode along Lake Huron shoreline today - stopped in Lexington and enjoyed the views. A great ride usually includes a Great Lake!pic.twitter.com/Flk5iPuS1Z	
#RamadanMubarak as Muslims in Michigan and across the country begin a special time of reflection and prayer during the Holy Month of Ramadan	#RamadanMubarak
ICYMI via @WLNS: “Peters, Stabenow introduce bills to protect the Great Lakes from pipeline oil spills”pic.twitter.com/j7DWegKmyB	
#TrumpCare will raise premiums on many older Michiganders and out of pocket cost for othershttp://bit.ly/2qgmsuE 	#TrumpCare
The Great Lakes ecosystem is unlike any other in the world & must be protected from the possibility of devastating oil spills from pipeline	
The numbers don’t lie, this is a bad bill for Michiganders!	
House Republicans pushed through a bad health care bill before knowing how many people would be without health coverage	
FBI & America’s intel agencies should be free from political interference. Trump either doesn’t know or doesn’t carehttp://wapo.st/2qLvoH8 	
Trump’s proposed budget makes significant cuts to critical programs that boost Michigan’s working families	
Tragic & heartbreaking news from #Manchester tonight. Our thoughts and prayers go out to victims, their loved ones & entire United Kingdom	#Manchester
Great speaking w energized crowd at #IndivisibleFair & encouraging them to continue to fight to make their voices heard!pic.twitter.com/xPFI9I1wW3	#IndivisibleFair
Special counsel investigation & Senate oversight are about 1 thing: our nat’l security. Watch my @MSNBC interview on Russian meddlingpic.twitter.com/zfuxhPMtbB	
Proud to support Michigan’s booming beer industry!https://twitter.com/beerinstitute/status/865189480008998913 …	
Intro’d bill w @SenStabenow & @SenAlexander to support R&D for advanced, clean vehicle tech http://bit.ly/2qVR3xG 	
Appointment of special counsel is a good first step toward a non-political, fact-driven Russia investigation http://bit.ly/2rsKhvB pic.twitter.com/XpOdqzebK0	
The American people deserve to know the facts about Russian interference & we must ensure the FBI remains free from political interferencepic.twitter.com/9l1JUzMvVn	
This is further evidence of need for DOJ Inspector General to look into political interference of FBI Russian investigation. Read my letterpic.twitter.com/xK9bp7GSKs	
If Trump asked FBI to end Flynn, Russia investigation, that undermines our independent system of justicehttp://nyti.ms/2qtyBcB 	
Russia is not our friend. It’s alarming if President Trump is exposing highly sensitive classified info to adversaryhttp://wapo.st/2qp1Ugk 	
A heartfelt thank you to all fallen & injured peace officers who sacrificed to protect their communities #NationalPeaceOfficersMemorialDaypic.twitter.com/HOiD05KqaC	#NationalPeaceOfficersMemorialDaypic
ICYMI via @wzzm13: “Peters calls for a special prosecutor to investigate Trump’s Russia ties & asks Senators to put country ahead of party”pic.twitter.com/gT9EGCz7df	
Tune in to @smerconish on @CNN this morning where I’ll discuss Trump's firing of Comey & need for independent investigation	
Joined @SenatorCarper @SenKamalaHarris @SenatorHassan to request DOJ IG look into political interference w FBI probehttp://politi.co/2ptlrPr 	
Inaugural ride on the #QLINE today! Come on down to Detroit to take a ride & join the grand opening celebration.pic.twitter.com/EX34OLT9dd	#QLINE
The questions keep mounting on Trump’s ties to Russia & the American people deserve transparency & answers on Russia & our electionspic.twitter.com/UnjWrsiRQq	
Happy birthday @NSF! Thanks for promoting scientific research to advance our economy, enhance our security & sustain our global leadership.	
Trump’s Russian ties are festering, foreign infection & could weaken our democratic system. Special prosecutor is needed to address it.pic.twitter.com/Vwvp3Anok0	
Happening soon: I’ll speak on Senate Floor re: Comey’s firing & Trump’s gross conflict of interest appointing next FBI Directorpic.twitter.com/dKMMqRkF4A	
Trump meeting w Russian diplomats a day after firing Jim Comey only raises more question about his ties to Russiahttps://twitter.com/nbcnews/status/862332167392829441 …	
Trump can now hand pick the person charged w leading investigation into his campaign ties w Russia. No chance of impartiality, transparencyhttps://twitter.com/sengarypeters/status/862075676257660928 …	
Trump firing FBI Director investigating his ties to Russia is just latest in long list of reasons why we need special prosecutor re: Russia	
#Trumpcare would strip away tax credits 8 million veterans rely on for affordable care. We should #CareForVets not give them a tax hike	#Trumpcare #CareForVets
A key to America’s economic success in the future is critical investments in scientific research now. Read more in my @APSPhysicsDC op-edhttps://twitter.com/APSPhysicsDC/status/859840036468031489 …	
Thank you to all WWII veterans, including my father Herb, who served in Europe & helped carry the Allies to victory a/g tyranny #VEdaypic.twitter.com/lqyNQa01IN	#VEdaypic
#AHCA will cause more than 20 million Americans to lose coverage. Even in its latest form, this is still a bad bill!pic.twitter.com/nO4G2L4m3U	#AHCA
Even with the additional subsidy, Americans w preexisting conditions are likely to face higher cost plans & less coverage options.	
The latest version of #Trumpcare #AHCA doesn’t guarantee care for Americans who need it mosthttps://twitter.com/aarpadvocates/status/859874470550540298 …	#Trumpcare #AHCA
Pleased the Senate approved my bill to predict space weather that could cripple infrastructure & disrupt daily lifehttp://bit.ly/2qsMslM 	
One piece of the American Dream is the ability to retire w dignity & save enough to pass something along to the next generation.pic.twitter.com/QSBZDhOfny	
Women deserve equal pay for equal work. Proud to cosponsor the Paycheck Fairness Act & support the fight for #EqualPay Retweet if you agree!pic.twitter.com/xtU2Q0dDQ9	#EqualPay
GOPs disastrous #Trumpcare #AHCA bill would jeopardize care for people w preexisting conditions & cut essential benefits like mental health	#Trumpcare #AHCA
Glad to see the GLRI will get the funding it needs in government spending deal, but the fight to protect Great Lakes funding is not over.pic.twitter.com/5r44Mivb0i	
This is great news for the Great Lakes, but we must continue to fight against Trump’s proposed cuts & protect Great Lakes funding	
Glad to see funding to protect the Great Lakes is included in the bipartisan agreement to fund the government.	
Congrats to all the 2017 @UMich grads - especially my daughter Madeleine. We love you and couldn't be prouder of you!pic.twitter.com/iqeHQlZK36	
Trump promised a lot to American workers, but after #100DaysOfTrump we still have no plan to boost manufacturing & exports #BrokenPromisespic.twitter.com/XdopILeccP	#100DaysOfTrump #BrokenPromisespic
Happy Birthday to my good friend & partner in the U.S. Senate @SenStabenow	
Trump promised to name China a currency manipulator his first day in office. It's day 99 & he hasn’t kept his word #BrokenPromisespic.twitter.com/5arziBPXNC	#BrokenPromisespic
Pres. Trump promised to #DraintheSwamp, then appointed big oil ally Scott Pruitt as head of the EPA.http://nyti.ms/2oAv8et 	#DraintheSwamp
Pres Trump’s Ed Sec Betsy DeVos is putting loan debt collectors ahead of students. So much for #DrainTheSwamp.http://wapo.st/2oNiK6q 	#DrainTheSwamp
I may root for the Spartans but @CoachJim4UM and I stand together in support of the Legal Services Corp.https://twitter.com/CoachJim4UM/status/836590771847512064 …	
Research data that has been collected using taxpayer dollars should be publicly accessible and easily searchable	
Pres @jeffabernathy of my alma mater @almacollege is working w colleges in MI to support veterans seeking degrees, great to hear his ideaspic.twitter.com/Buuxl0XClv	
President Trump said he'd “Buy American, Hire American” but he isn't leading by example #BrokenPromiseshttp://wapo.st/2oGLAoK 	#BrokenPromiseshttp
