#BeatWisconsinpic.twitter.com/oP2IQFxcm1	#BeatWisconsinpic
#BreastCancerAwarenessMonth reminds us of those fighting this terrible disease, their families & the strong survivors who give us all #hopepic.twitter.com/qQVgDMfqEs	#BreastCancerAwarenessMonth #hopepic
It was an honor to welcome the Dawson County #HeroFlight to the #UScapitol yesterday. Read more from @KRVNhttp://goo.gl/QdFQ5u 	#HeroFlight #UScapitol
Having a cup of joe with my mom to celebrate #InternationalCoffeeDay pic.twitter.com/zv56Y0rhXg	#InternationalCoffeeDay
Let’s go @Huskers beat the Fighting Illini! #GBR #FridayNightLightspic.twitter.com/YETt9lrulM	#GBR #FridayNightLightspic
May you have a peaceful day of atonement and reflection #YomKippurpic.twitter.com/KopiQKs9l3	#YomKippurpic
The #NEbreakfast always makes US #Senate feel a little more like home. #LoveNE #Traditionpic.twitter.com/umlN3CqFAN	#NEbreakfast #Senate #LoveNE #Traditionpic
Congratulations to Milford Jr/Sr High School principal Brandon Mowinkel on receiving Nebraska’s #PrincipalOfTheYear award! #ProudNebraskanpic.twitter.com/kBkwEchMJl	#PrincipalOfTheYear #ProudNebraskanpic
Happy birthday to my friend Jack Hoffman! You & @TeamJack are an inspiration to all. #BeatCancer #ProudNebraskanpic.twitter.com/A1L5VCouAw	#BeatCancer #ProudNebraskanpic
#SuicidePreventionDay is in Sept. My column on Congress' actions to address #mentalhealth & #SuicidePrevention: http://goo.gl/L998cb 	#SuicidePreventionDay #mentalhealth #SuicidePrevention
A few numbers from #TeamFischer’s constituent services so far in 2017! Learn more about our services for Nebraskans: http://www.fischer.senate.gov/public/ pic.twitter.com/q0Z8C0WQfC	#TeamFischer
REMINDER: My staff will be hosting office hours tomorrow in Wheeler, Garfield & Custer counties to answer your Q’s. Details here:pic.twitter.com/JfsGh463KI	
Having issues navigating the federal gov’t? Stop by my staff’s local office hours tomorrow in Saline and Lancaster counties. Details:pic.twitter.com/HGoxaf5WFE	
Always rooting for our #Huskers! #GBR #NoPlaceLikeNE #GameDaypic.twitter.com/EhGktUYYjO	#Huskers #GBR #NoPlaceLikeNE #GameDaypic
Every effort must be made to isolate #NorthKorea. Read my full statement on new #NoKo sanctions:pic.twitter.com/JsOHvtshQf	#NorthKorea #NoKo
Our hearts are with Puerto Rico in the aftermath of #HurricaneMaria #PuertoRicoStrongpic.twitter.com/wT5QYY7DM6	#HurricaneMaria #PuertoRicoStrongpic
L’Shanah Tovah! Wishing all who celebrate #RoshHashanah a sweet and good year.pic.twitter.com/viN7xby7FA	#RoshHashanah
Nebraska sends our prayers & condolences to #Mexico after this tragic earthquake. #PrayforMexicopic.twitter.com/dpmAbdCHTg	#Mexico #PrayforMexicopic
This morning I joined @FoxNews’ @ShannonBream to discuss a number of topics including #NDAA & #NationalSecurity. Watch here:pic.twitter.com/Fb4wpmFhTb	#NDAA #NationalSecurity
Ready to talk #nationalsecurity LIVE with @ShannonBream on @FoxNews.pic.twitter.com/URj6HJwtcQ	#nationalsecurity
SOON: I’ll be on @FoxNews with @ShannonBream to discuss #FY18NDAA & #nationalsecurity. Tune in @ 9:40AM CT	#FY18NDAA #nationalsecurity
#NorthKorea is actively pursuing long-range ballistic missiles- #NDAA focuses on modernizing America’s #NuclearForces to keep Americans safepic.twitter.com/T8NRgmNcBh	#NorthKorea #NDAA #NuclearForces
Senate passed #NDAA to ensure our military has the resources it needs to take on missions of today. Details here: http://goo.gl/LEzCVJ 	#NDAA
Today we celebrate 70 years of the greatest #AirForce in the world. #HappyBirthday @USAirForce!pic.twitter.com/7JtflOsmzJ	#AirForce #HappyBirthday
Our future is bright because of our nation’s strong foundation. #ConstitutionDaypic.twitter.com/3f8bJi6Vb8	#ConstitutionDaypic
It’s game day! #GBR #HUSKERS @HuskerFBNationpic.twitter.com/6hDxqyEhzf	#GBR #HUSKERS
I’m glad to see the Trump admin take action to speed up environmental reviews for #infrastructure projects. More: http://goo.gl/MDS8ZX 	#infrastructure
On #POWMIARecognitionDay we honor the sacrifice of our POW/MIA heroes & their families. Those who never returned home are #NotForgottenpic.twitter.com/QSk5xbXIHj	#POWMIARecognitionDay #NotForgottenpic
This is a strong bill that will strengthen our military. It will help ensure the military can protect our nation in a world of challenges	
Enjoyed meeting w/ @NEporkproducers today. We are excited about the recent trade deal with Argentina expanding market access opportunities!pic.twitter.com/xFH3Fb27ei	
Gave an update on the #Senate to a full house at the #NebraskaBreakfast this morning. #LoveNE #Traditionpic.twitter.com/sJcKxf6KK7	#Senate #NebraskaBreakfast #LoveNE #Traditionpic
Important read in @OWHOpinion today on nuclear modernization and its critical role in keeping Americans safe:http://goo.gl/k27LV1 	
Though threats to our way of life have & will continue to evolve, our enduring commitment to defending freedom will never waver #NeverForget	#NeverForget
NE is honored to host the @US_Stratcom, & we are proud of the excellent work they did during the attacks of 9/11 to protect our country.	
At 1:50PM #AirForce1 landed at @Offutt_AFB with President George W Bush. For 2 hours @US_Stratcom was the center of U.S. nat’l defense	#AirForce1
The main purpose of the exercise was to test the military's command and control procedures in the event of nuclear warfare.	
It’s #GameDay in Nebraska! #GBR #NoPlaceLikeNE @HuskerFBNationpic.twitter.com/GjRAziVoPX	#GameDay #GBR #NoPlaceLikeNE
Terrific meeting with folks from the @NEFarmBureau Leadership Academy today. These young men & women are the future of #NEag. #FutureLeaderspic.twitter.com/Pldm2YbLJG	#NEag #FutureLeaderspic
Great to see the Fast family (with a few more additions) again at the #NebraskaBreakfast this morning!pic.twitter.com/4I4tofuIvc	#NebraskaBreakfast
Today I asked POTUS to uphold #KORUS Read my letter here: https://goo.gl/YKh7YU  #NEAg	#KORUS #NEAg
Had a fantastic August meeting with Nebraskans from all around our state. More in my column: http://goo.gl/cpxEq4  #HearingFromYou	#HearingFromYou
Introduced the Fast family from Omaha to #FredFischer before their Capitol tour today. #FastFriendsWithFredpic.twitter.com/M84RI1PTwo	#FredFischer #FastFriendsWithFredpic
This #LaborDay we celebrate American workers, their incredible work ethic & their countless contributions to the strength of our nation.pic.twitter.com/FVerGljFYG	#LaborDay
...to possess a viable nuclear weapon, which is why I remain committed to strengthening our missile defense to defend against this threat	
Without significant international action, it’s only a matter of time before #NorthKorea overcomes the technical challenges remaining...	#NorthKorea
"Strong and dependable crop insurance remains one of the best tools to help our ag producers plan for the future.”https://goo.gl/a4oHPY 	
Excited for the first #Huskers game of the season. #GBRpic.twitter.com/aVlyNOtJJM	#Huskers #GBRpic
Congrats to NE Director of Ag Greg Ibach on his nomination to undersecretary of @USDA. Great choice! #ProudNebraskan	#ProudNebraskan
. @NENationalGuard will send 4 helicopters and 23 more soldiers to assist w #Harvey rescue. http://goo.gl/DmTDR1   #ProudNebraskan	#Harvey #ProudNebraskan
Proud of the Nebraskans rescuing folks from a nursing home flooded by #HurricaneHarvey. @journalstarnews:https://goo.gl/tkvoJe 	#HurricaneHarvey
Grateful for our first responders and community volunteers' heroic efforts in rescuing and assisting those in need.	
Praying for all those facing destruction from #HurricaneHarvey	#HurricaneHarvey
I was pleased to welcome @SecElaineChao to #NE to discuss our state's unique successes and challenges (1/2)pic.twitter.com/Gu44YssYKG	#NE
My statement on President Trump's #AfghanStrategy: https://goo.gl/6XZQK1 pic.twitter.com/7tYEWPHkl0	#AfghanStrategy
Today we saw a breathtaking moment in the NE skies. Read more about #SolarEclipse2017 in my weekly column: http://goo.gl/a33fHs 	#SolarEclipse2017
Welcome to all those visiting NE for the #SolarEclipse2017. Be sure to enjoy safely!pic.twitter.com/5HQ2gSsnJt	#SolarEclipse2017
Keeping the American sailors serving on the USS John S McCain in our prayers. Thanks to all those working hard on the rescue mission efforts	
This expressway will provide a new pathway for our state’s producers to bring their world-class products to market and feed the world. 2/2	
Early start this AM in Scottsbluff! Met with folks from @LeadershipNE, then stopped by to chat w/ Kevin Mooney at @KNEB radio #NEPanhandlepic.twitter.com/nLmvr25FZ9	#NEPanhandlepic
I applaud the administration for negotiating a deal w Argentina to expand market access for NE’s pork producers. https://goo.gl/E7sSnx 	
Heartbroken to hear there was yet another terrorist attack today. My condolences to the victims & the people of #Barcelona.	#Barcelona
Thank you to my summer interns for their service to Nebraska! More in my weekly column: http://goo.gl/syZHYA pic.twitter.com/StH3zLbG6d	
The hatred, violence & racism displayed in Charlottesville, VA have no place in our society. We must show civility & respect to one another.	
Spent this afternoon in Holdrege at the Feed My Starving Children MobilePack. #GreatCause #OnTheRoadInNE @fmsc_orgpic.twitter.com/gLLCGrMQgR	#GreatCause #OnTheRoadInNE
Bruce and I are sorry to learn of Rose Ann Sadlemyer's passing. Our prayers are with @GarySadlemyer & his family during this difficult time	
It was an honor to pay tribute to Army Cpl. Matthew Alexander of Gretna, NE. He is a hero. More from @GretnaBreeze:https://goo.gl/oPn12x 	
Enjoyed giving a U.S. Senate update this morning at the @NebraskaChamber Federal Legislative Summit. #OnTheRoadInNE #LoveNebraskapic.twitter.com/a49vVvmYiK	#OnTheRoadInNE #LoveNebraskapic
As I’ve said repeatedly, the rising #NorthKorea threat reinforces the need for increased US missile defenses to protect the American people.	#NorthKorea
If this is true, #NorthKorea is a step closer to being able to carry out an attack on the U.S.https://twitter.com/washingtonpost/status/894954486762008576 …	#NorthKorea
Soon I’ll start my next Listening Session in Bassett. It’s a great day to visit with Nebraskans in Rock County. #LoveNebraska	#LoveNebraska
My statement on PenAir: https://goo.gl/as82MX pic.twitter.com/IaZ9ZCN235	
On #PurpleHeartDay we honor those who have been wounded or killed in the line of duty. #Bravery #Honorpic.twitter.com/smlBPX0aCE	#PurpleHeartDay #Bravery #Honorpic
Wonderful time visiting w folks at Cotner Center in #LNK today. One of the residents, Lillian, is 105 this year! #GreatestGenerationpic.twitter.com/Sbb8oyliSM	#LNK #GreatestGenerationpic
In Omaha this morning speaking at the @UnionPacific NE Express 150th Birthday Breakfast. #OnTheRoadInNEpic.twitter.com/8AeWK91NdW	#OnTheRoadInNEpic
. @POTUS has nominated Steve Grasz, an outstanding Nebraskan, to serve on US Court of Appeals for the 8th Circuit https://goo.gl/WccNyp 	
Through the #SpoofingPreventionAct, Congress can protect the most vulnerable in our society from fraudulent scams. 4/4pic.twitter.com/VYGS3uSeLf	#SpoofingPreventionAct
Being able to quickly reach 911 in an emergency can save lives; #KarisLaw would ensure families can call for the help they need. 3/4pic.twitter.com/hpJGGz0IaE	#KarisLaw
The #DIGITact would open up lines of communication between the private and public sector to spur innovation. 2/4pic.twitter.com/Qh1aNUIs8f	#DIGITact
GOOD NEWS: DIGIT Act, Kari’s Law, & Spoofing Prevention Act all just passed the #Senate. http://goo.gl/up7mXC  1/4	#Senate
We must change our strategy to protect Americans. Secondary sanctions and enhanced #MissileDefense should form the basis of our approach.	#MissileDefense
Kim Jong-un has threatened to attack US cities w/ nuclear weapons. His capability to carry out this threat grows w every passing day	
Rate of NK’s technical progress demands response eg additional ground-based radars & space-based sensors to impve ability to track threats	
We cannot rely on deterrence alone. We must ensure that our missile defense efforts stay ahead of #NorthKorea's accelerating developments.	#NorthKorea
One thing is certain: the principle economic enablers of #NorthKorea are China and Russia.	#NorthKorea
In today’s @OWHopinion I share my thoughts on the #NorthKorea threat & our nation’s missile defense. Read more here:https://goo.gl/BvYpHq 	#NorthKorea
Intro'd new version of #paidleave bill I’ve worked on for years w @SenAngusKing @RepTerriSewell @MikeKellyPA http://goo.gl/ZfwKJM 	#paidleave
Corporal Matthew Alexander is truly a hero. He served with compassion & respect. It is an honor to tell his story. #NEheroes	#NEheroes
To honor Matthew, his family established Matt’s Music Memorial. The charity helps children who love music but can’t afford an instrument	
. @POTUS just issued a Major Disaster Declaration for NE to help our communities recover from June’s storms http://goo.gl/oE2TPn 	
Led #NEdelegation in letter to @POTUS requesting a disaster declaration following last month’s storms: http://goo.gl/GVAkTZ  #Rebuilding	#NEdelegation #Rebuilding
My statement on the Senate's Obamacare vote: https://goo.gl/tTb9q9 pic.twitter.com/2E2MdYkPNc	
Members of Congress shouldn’t get a special deal. I’m a cosponsor of @SenRonJohnson amdt to eliminate exchange benefits for reps. & senators	
Nebraskans have until August 28, 2017 to send in comments on the @EPA’s new proposed rule. Submit your comment here:http://goo.gl/uJQ7Mj 	
Good news: @EPA formally proposed withdrawal of #WOTUS rule. This misguided policy would have hurt all Nebraskans https://goo.gl/uJQ7Mj 	#WOTUS
Met w a great group of young Nebraskans visiting the Senate w @ALBoysNation & #GirlsNation to see firsthand how gov works. #ProudNebraskanpic.twitter.com/LHPISbkSnc	#GirlsNation #ProudNebraskanpic
Wonderful discussion w @JDRF #T1D advocates Jackson, Sadie, Maddie & Sawyer during their Children’s Congress trip. #JDRFCC17 #FutureLeaderspic.twitter.com/2Zq6ZGsh2Z	#T1D #JDRFCC17 #FutureLeaderspic
Took time to thank our summer interns at the #NEbreakfast. Thanks to Amanda, Justus, Molly & all NE delegation interns for your hard work!pic.twitter.com/nN3wOsZWfd	#NEbreakfast
Enjoyed touring @TandTNews facility today. They're doing great work to help Nebraskans navigate global travel in a changing world. #IoTpic.twitter.com/5nZHG5i95T	#IoTpic
. @SenJohnMcCain is a national treasure in every sense of the word. Bruce & I have no doubt he'll take this on with strength & resilience.	
Delivered stories of 20 #NEvets to the Veterans History Project today. Thanks @LibraryCongress for preserving these pieces of historypic.twitter.com/MfpfY13SG9	#NEvets
I agreehttps://twitter.com/1011_News/status/887742097146753024 …	
Happy 60th b-day to @ValentinosPizza the best pizza around! Wonderful to see this fabulous #LNK business thriving http://goo.gl/kBvQg4 	#LNK
Taking a quick #selfie with @BoyScouts from the Omaha area who are part of Mid-America Council Troop 2331. #Scoutingpic.twitter.com/HeiKHx16uR	#selfie #Scoutingpic
Wishing my friend @SenJohnMcCain a swift recovery.	
Yesterday, I spoke to @NationalFFA students from Holdrege about their ag experience & my work for #NEag in the Senate. #FutureLeaderspic.twitter.com/CKUJNh0Hz4	#NEag #FutureLeaderspic
Another successful Nebraska Breakfast! One of NE’s greatest traditions since 1943. #LoveNEpic.twitter.com/ozmFN3DZTH	#LoveNEpic
My statement on August in the Senate:pic.twitter.com/Uc6EGhqQrb	
Congratulations to our military on another successful THAAD intercept test.https://twitter.com/FoxNews/status/884716773307686914 …	
Thanks to our interns Seth, Molly, and Justus for all their hard work! More info on #TeamFischer internships: http://goo.gl/8LiMRC pic.twitter.com/J7npLBVwcy	#TeamFischer
Lovely trip to the Blair Library. Wonderful part of a great Nebraska Community. #SummerReadingpic.twitter.com/2OcHH0Pz1E	#SummerReadingpic
Proud to at ribbon cutting for Hwy 133 in Blair made possible by the Build Nebraska Act. #LoveMyRoads #LB84 #BuildNEpic.twitter.com/ynXBBLYxG6	#LoveMyRoads #LB84 #BuildNEpic
Great visit in Ashland, NE! Started the day w an economic roundtable at Ashland Pharmacy & toured Cheri O’s. #SmallBiz #LoveNEpic.twitter.com/NA78tmWJbP	#SmallBiz #LoveNEpic
My statement on #NorthKorea missile test-launch: https://goo.gl/W41hP9 pic.twitter.com/lCchdLBAV2	#NorthKorea
Happy #FourthofJuly! Today we celebrate our great nation & the values we all share. #IndependenceDaypic.twitter.com/ChcUzMp8As	#FourthofJuly #IndependenceDaypic
In this week’s column, I celebrate NE’s history, our shared American values, and #IndependenceDay: http://goo.gl/2coA3t pic.twitter.com/q0ms34FpXU	#IndependenceDay
Joined letter urging @USTradeRep to strengthen ag trade in upcoming NAFTA negotiations. More: https://goo.gl/ghTRrA  #NEag #FeedtheWorld	#NEag #FeedtheWorld
Spent the morning with a great group of Nebraskans at the #NebraskaBreakfast. #LoveNE #Traditionpic.twitter.com/uGSmVr1QA1	#NebraskaBreakfast #LoveNE #Traditionpic
. @EPA took important step twrd a full removal of harmful #WOTUS rule. All in NE would be affected by misguided rule http://goo.gl/sehBck 	#WOTUS
Not all combat wounds are visible. The #PAWSact would help provide #vets suffering from #PTSD with service dogs. #PTSDAwarenessDaypic.twitter.com/er11mWIt7w	#PAWSact #vets #PTSD #PTSDAwarenessDaypic
Bruce & I send our condolences to @JeffFlake on the loss of his dad. I pray cherished memories bring you comfort during this difficult time.https://twitter.com/JeffFlake/status/879526631370629120 …	
I always look forward to the #NebraskaBreakfast. #LoveNEpic.twitter.com/RGgpY3MLpm	#NebraskaBreakfast #LoveNEpic
Great mtg w/ @IvankaTrump today on the challenges working families face. Look fwd to continuing to work together http://goo.gl/tqGkYH 	
NOW: Asking Q's at @SenateCommerce on Universal Service Fund and #Broadband. Watch: https://www.commerce.senate.gov/public/index.cfm/hearings?ID=628B02EB-3D8D-4356-B0E9-5F4BC4B5A312 …	#Broadband
There is no place for this kind of hate in our communities:http://goo.gl/oY3jNn 	
It's wonderful to see communities coming together to help friends & neighbors clean up. #Recovery #ProudNebraskan	#Recovery #ProudNebraskan
Thank you to all the first responders and those who are working hard to get power restored and address the damage.	
My heart goes out to the Nebraskans whose lives have been disrupted by Friday night's storms.	
My Dad supported, loved, and inspired me every day. #HappyFathersDay to all the great Dads in Nebraska!pic.twitter.com/mqqMS4lz6k	#HappyFathersDay
In Omaha this morning holding a Listening Session at Metropolitan Community College. #HearingFromYoupic.twitter.com/O6pz48JWOE	#HearingFromYoupic
Celebrating 242 years of the @USArmy’s dedicated service today. Thankful for the sacrifices made by our soldiers & their families. #ArmyBDaypic.twitter.com/nCs1c8cUtC	#ArmyBDaypic
In @EPWGOP today, we discussed my E15 bill, which would create economic opportunities & expand consumer choice @ the pump. #RenewableEnergypic.twitter.com/fwLspVxdbn	#RenewableEnergypic
This afternoon, I met with a @4H group from Red Willow, NE. We agreed that when we’re in DC we miss the #Nebraska stars. #LoveNEpic.twitter.com/vN7Kc8jQq5	#Nebraska #LoveNEpic
Today and every day the stars and stripes unite us #FlagDaypic.twitter.com/v5NwPf5lyE	#FlagDaypic
Also saying prayers for the two @CapitolPolice officers who were wounded during this terrible incident.	
Praying for @SteveScalise and the others injured at baseball practice in Alexandria, Virginia this morning.	
I’ll be hosting a #ListeningSession this Friday in Omaha. More details here: https://goo.gl/Eed1WK 	#ListeningSession
Today’s agreement with China expands opportunities for NE beef producers & helps them #FeedTheWorld. More: http://goo.gl/a4dlZE 	#FeedTheWorld
Wishing a happy 93rd birthday to President @GeorgeHWBush today! His dedication to our country is inspiring. #HBD41pic.twitter.com/NrchT640Q6	#HBD41pic
Today marks the 50th anniversary of the reunification of Jerusalem. The Senate unanimously passed a res commemorating this special occasion.pic.twitter.com/UNU6ZJPQM8	
Had a great time welcoming my NE neighbors & @4H members at this morning’s #NEbreakfast #FutureLeaderspic.twitter.com/1y46lzmpFW	#NEbreakfast #FutureLeaderspic
#VAaccountability Act has passed the Senate. Bill addresses management failures @ VA & helps vets get better care http://goo.gl/iaVYYa pic.twitter.com/gUXp2eDCwV	#VAaccountability
Remembering the bravery & sacrifice of the Allied troops who fought to liberate a continent 73 years ago #DDay #GreatestGenerationpic.twitter.com/rg2Fcw6A9r	#DDay #GreatestGenerationpic
My statement on today’s successful U.S. defense missile test: https://goo.gl/CT88a0 pic.twitter.com/XE9sMa6OPL	
Stopped by the Blair Rotary Club to give an update on my work in the Senate & hear what’s on their minds. #OnTheRoadInNE #LoveNebraskapic.twitter.com/znDSZK32oz	#OnTheRoadInNE #LoveNebraskapic
I was honored to join Nebraskans in Columbus today at a Memorial Day ceremony organized by the American Legion. #MemorialDay17 #GodBlesspic.twitter.com/9GuE3XhRqe	#MemorialDay17 #GodBlesspic
Our freedom was earned through the courage, patriotism, and extraordinary sacrifice of our fallen heroes. #MemorialDay #USApic.twitter.com/LcKWp4Kpoz	#MemorialDay #USApic
. @NEFarmBureau agrees my #FUELSact will alleviate harmful regulations for NE farmers/ranchers. Hear more: http://goo.gl/ECExVp 	#FUELSact
Always a highlight meeting with #NEstudents! Today I talked w students from Fremont HS, Crofton Community School & York HS. #FutureLeaderspic.twitter.com/2ynutHciZu	#NEstudents #FutureLeaderspic
TUNE IN: Headed to the Senate floor to speak about #infrastructure and NE #transportation priorities. Watch: https://goo.gl/sTZ8ID 	#infrastructure #transportation
Sending my heartfelt condolences to the innocent victims of the #Manchester attack and their loved ones. We stand w our friends in the U.K.	#Manchester
My column on Saturday’s rancher roundtable in Cherry County w/ @SecretarySonny & my friends/neighbors: http://goo.gl/1UT5ab  #LoveNEpic.twitter.com/2rRgBF3WfY	#LoveNEpic
. @dcexaminer on how the #WaterInfrastructureFlexibilityAct would help keep families healthy & safe:http://goo.gl/024KwC 	#WaterInfrastructureFlexibilityAct
So proud to have @SecretarySonny at the Fischer Ranch today to meet our friends & neighbors #LoveNebraska https://goo.gl/Hwzzrv pic.twitter.com/RZSLSPs0LS	#LoveNebraska
Bruce and I are excited to welcome @SecretarySonny to Cherry County today. Read more in my op-ed in @NorfolkNews:http://norfolkdailynews.com/blogs/welcoming-ag-secretary-to-valentine/article_dba36aaa-3d5e-11e7-9a75-47e4458a7430.html …	
Thank you to all those who have served to protect our freedom #ArmedForcesDay #USApic.twitter.com/8VvzYT05De	#ArmedForcesDay #USApic
Giving the keynote address at the Women's Energy Resource Council Leadership Forum. #WomenLeaders #USEnergypic.twitter.com/ou0Q7WA3ds	#WomenLeaders #USEnergypic
Joined @SteveDaines @amyklobuchar & @SenBillNelson to intro leg to protect families from online booking scams. More: http://goo.gl/qU0qqz 	
Enjoyed talking with Nebraskans visiting the U.S. Capitol this morning at our weekly Nebraska Breakfast. #Traditionpic.twitter.com/p8dyazjCGB	#Traditionpic
Praying for my friend @SenThomTillis.	
Wishing my friend from Hawaii @maziehirono strength in the fight against cancer. Mazie, you will win this battle through grit and grace.	
Discussing how we can tackle challenges women face in the workplace at @IWF #WomenLead Summit. #EqualPay #paidleavepic.twitter.com/1c2ANysmqT	#WomenLead #EqualPay #paidleavepic
. @JeffFlake & I led 16 other senators in a letter to @USTradeRep Lighthizer stressing economic benefits of #NAFTA : http://goo.gl/5yGpDj 	#NAFTA
During #PoliceWeek2017 we honor those who risk their own safety every day to keep our families and communities safe. #SupportBluepic.twitter.com/sGHJJNibDw	#PoliceWeek2017 #SupportBluepic
One of the greatest gifts in life is being a mom. To mothers in Nebraska and across the country: Happy #MothersDay!pic.twitter.com/LP6hre3j8n	#MothersDay
Also underscores importance of Congress continuing work so Americans can access compassionate & affordable health care they deserve 3/3	
It’s further proof that Obamacare is simply unsustainable. (2/3)	
Today’s news on Aetna means fewer choices and likely higher costs for families across Nebraska. (1/3) https://www.fischer.senate.gov/public/index.cfm/news?ID=DFD573C7-9786-4A2E-8E0E-0B11CA1A9851 …	
REMINDER: My staff will be hosting several local office hours across NE tomorrow. Check out times/locations here:pic.twitter.com/e9LEpYUAyG	
Congrats to @KLINradio for winning 11 awards (five in 1st place) in the ’16 Great Plains AP Broadcast Contest. #NEradio #ProudNebraskan	#NEradio #ProudNebraskan
Watch: At 2:30PM I’ll chair @SenateCommerce Surface Transportation subcommittee hearing on Maritime Transportation. http://goo.gl/Ywdn13 	
May is #MilitaryAppreciationMonth. Show gratitude to those who have sacrificed for our freedom #Service #GodBlessAmericapic.twitter.com/xMUbvLVT94	#MilitaryAppreciationMonth #Service #GodBlessAmericapic
I recently joined more than 650 NE vets on the largest #HonorFlight for #VietnamVets to date. Read more in my column http://goo.gl/45XZMN 	#HonorFlight #VietnamVets
Great exchange of ideas at my small business roundtable hosted by Nebraska Enterprise Fund in North Omaha today. #NEBizpic.twitter.com/Letd3Eyufy	#NEBizpic
My statement on today’s government spending bill vote:pic.twitter.com/iLSPtyxk7q	
. @mortonOWH in today's @OWHnews: "Fischer renews effort to provide service dogs for #veterans with PTSD" https://goo.gl/FRnqVc  #PAWSAct	#veterans #PAWSAct
#PAWSAct is a bicameral, bipartisan bill that would help provide #vets w/ support, peace & joy as they confront the invisible scars of war.	#PAWSAct #vets
Today @CoryBooker & I reintroduced #PAWSAct, which would increase access to service dogs for vets with PTSD. More: https://goo.gl/w4CZrT pic.twitter.com/3IzHy5TRdu	#PAWSAct
I was honored to speak about reintroducing bipartisan #PAWSAct today alongside @lyle_cole @k9sforwarriors & House sponsor @RepDeSantispic.twitter.com/XW9F67RN1W	#PAWSAct
Speaking at press conference on #PAWSAct. Proud to reintroduce this good bill to provide relief to our #vets with PTSDpic.twitter.com/x6wX6CZavV	#PAWSAct #vets
Check out some photos of the flight from NE to DC & the visit to the Vietnam Wall. #HonorFlight #NEVets http://flic.kr/s/aHskVJXGZK pic.twitter.com/cSpIzSuEUs	#HonorFlight #NEVets
It was my honor to fly from NE to DC w/ over 650 NE Vietnam vets this AM. This is the largest #HonorFlight for Vietnam vets to date #Service	#HonorFlight #Service
In La Vista speaking to 652 Nebraska Vietnam vets & their families @ a dinner before tomorrow's #HonorFlight #godbless pic.twitter.com/crwNZlh0Se	#HonorFlight #godbless
Happy Arbor Day! Nebraska is the proud home of this great American tradition. #ArborDay #LoveNebraskapic.twitter.com/Vi63nWPxOu	#ArborDay #LoveNebraskapic
#HBD to my friend @CoryBooker! Thanks for always laughing at my jokes on the dais. #BipartisanBuddiespic.twitter.com/zQbW07KJDl	#HBD #BipartisanBuddiespic
Honored to receive @USChamber Spirit of Enterprise Award from members of the @NebraskaChamber. #NEentrepreneurs #NEbizhttps://twitter.com/NebraskaChamber/status/857414175060099072 …	#NEentrepreneurs #NEbizhttps
So proud to congratulate @GeringBulldogs students for being one of three national winners in the #SamsungSolve contest! #ProudNebraskanpic.twitter.com/Dh676rJz49	#SamsungSolve #ProudNebraskanpic
Had a wonderful time greeting some @gpbcrescentmoon sisters. I have many great memories from my time in #GammaPhiBeta at @UNLincoln.pic.twitter.com/2nXeIMbseD	#GammaPhiBeta
Today I met w @GeringBulldogs students who were chosen as one of 10 national finalists for their innovative #SamsungSolve #STEAM project.pic.twitter.com/SrqKi4x1cI	#SamsungSolve #STEAM
