Religious freedom does not have to come at the expense of women's health.	
Never has a nominee had such a long record of recommending chemical safety standards that are as much as thousands of times less protective than those recommended by regulators—not until Michael Dourson. #ScienceForSale	#ScienceForSale
Never in the history of the @EPA has a nominee to lead the chemical safety office had such deep ties to industry—not until Michael Dourson. #ScienceForSalepic.twitter.com/PJZr8nUbbh	#ScienceForSalepic
My statement on the deadly mass shooting in Las Vegas:pic.twitter.com/sOhJ6uZZ17	
Praying for the victims of this attack and the people of Las Vegas. Thankful for our first responders who jumped to action and saved lives.	
Instead of following through on @POTUS's promise to deliver better health care at a lower cost for everyone, this administration is doing just the opposite by sabotaging the ACA in any possible way.https://twitter.com/SenatorCarper/status/913135988167372800 …	
My team and I are excited about @Twitter's change to #280characters. If you've ever heard me speak on the floor or at an event, you've proba	#280characters
Now let's work together to improve our health care system. We need regular order, bipartisan solutions and a victory for the people we servehttps://twitter.com/SenatorCarper/status/912745421302325248 …	
This is because of the American people—you spoke out against this dangerous bill and your voice made a difference.http://nbcnews.to/2y5XbqR 	
Our fellow citizens in Puerto Rico need our help and they need it now. Please RT to spread Governor @ricardorossello's message to America.pic.twitter.com/I7GcjALEzQ	
Fact check: It took Massachusetts four years to get Romneycare up and running.https://twitter.com/SenatorCarper/status/912454258536206336 …	
Thank you, once again, @SenatorCollins. Now let’s work together to fix the parts of the Affordable Care Act that need to be fixed.https://twitter.com/SenatorCollins/status/912440489013542912 …	
S&P on #Trumpcare: 580,000 lost jobs $240 billion in lost economic activity GDP stagnates;"stuck in low gear" Increased uncertaintypic.twitter.com/0TNrZDpZjV	#Trumpcare
Met these folks from Delaware & Philly—just some of the hundreds outside the Trumpcare hearing. Thank you for standing up to #ProtectOurCarepic.twitter.com/T0oQffkWtY	#ProtectOurCarepic
For just about everybody, but especially women and older Americans, #GrahamCassidy 2.0 would make health insurance unaffordable.https://twitter.com/senatorcarper/status/912159593941303298 …	#GrahamCassidy
This bill is written for those who can afford to sock away money in HSAs—for those who don't stay healthy forever, it's downright dangerous.	
#GrahamCassidy 2.0 openly violates all of the president's promises on health care & puts Americans with preexisting conditions at grave risk	#GrahamCassidy
In the latest version of Trumpcare, protections for people with preexisting conditions are gutted even more. Gutted.https://www.axios.com/heres-the-new-graham-cassidy-bill-2489238510.html …	
The @ACLU: The latest version of Trumpcare is devastating, "particularly for women and people with disabilities."https://www.aclu.org/blog/disability-rights/theyre-it-again-no-ones-surprise-senates-health-care-repeal-bill-awful …	
. @AACNursing represents 800 nursing schools. Members include deans, faculty, students, clinicians, researchers. They oppose #GrahamCassidy.pic.twitter.com/WOw1tlWboP	#GrahamCassidy
. @PPFA: " #GrahamCassidy makes it harder to prevent pregnancy, harder to have a healthy pregnancy, & harder to raise a family" #IStandWithPPpic.twitter.com/cMs3Ktm3Xf	#GrahamCassidy #IStandWithPPpic
BIG NEWS: These groups represent thousands of doctors, hospitals & health plans that serve millions of patients. They oppose #GrahamCassidy.pic.twitter.com/Q1SZ7CnkHj	#GrahamCassidy
. @HRC opposes #GrahamCassidy: by cutting @PPact funding, it would "jeopardize the ability of clinics to deliver preventive health services"pic.twitter.com/AfhJK3eAau	#GrahamCassidy
Tomorrow the Senate Finance committee has its hearing on #GrahamCassidy. Today I'll share what patient advocates have to say about the bill.	#GrahamCassidy
Americans of all political backgrounds agree #GrahamCassidy is dangerous for patients and seriously problematic for states. Not a solution.https://twitter.com/aslavitt/status/911577075861135365 …	#GrahamCassidy
Americans don't want a cynical, partisan "victory" on health care. We need regular order, bipartisanship, a victory for the American people.https://twitter.com/nprweekend/status/911581545726701570 …	
. @Actuary_Dot_Org: #GrahamCassidy would lead to higher premiums, shoddy protections for preexisting conditions, lower competition in marketshttps://twitter.com/ASlavitt/status/911327688627023872 …	#GrahamCassidy
My colleague @SenJohnMcCain set a great example for all of us in the Senate today. I hope we follow it.https://twitter.com/SenJohnMcCain/status/911290557191921664 …	
An idea: We pass a bill prohibiting people w/ preexisting conditions from being discriminated against by insurers. Oh, wait. We already did.https://twitter.com/CNNPolitics/status/910953075501932544 …	
Quite a reasonable request from @statemedicaid directors: Congress should consider outcomes before cutting #Medicaid by hundreds of billionspic.twitter.com/k9g1KG4ner	#Medicaid
Submit a statement for the record. Make sure our grandchildren and their children know how the American people felt about #GrahamCassidyhttps://twitter.com/SenatorCarper/status/910913067223052289 …	#GrahamCassidyhttps
Monday 1pm the Senate Finance committee will have a hearing on #GrahamCassidy. SPEAK OUT! Email GCHcomments@finance.senate.gov or mail:pic.twitter.com/SsQclOqL3U	#GrahamCassidy
I'm standing with @ChrisCoons, health care providers & patient groups in Delaware to speak out against the devastating #GrahamCassidyِ billpic.twitter.com/2PTpfBh9uu	#GrahamCassidy
When it's 196 world leaders vs. you and Bashar al-Assad, you're doing something wrong Mr. President. #ParisAgreementhttps://www.bloomberg.com/news/articles/2017-09-20/as-nicaragua-joins-paris-accord-trump-left-alone-with-syria …	#ParisAgreementhttps
Nearly 2 million veterans rely on Medicaid including 6,000 veterans in Delaware. #CassidyGraham would put their health care coverage at riskpic.twitter.com/UPpruklUhZ	#CassidyGraham
I have an idea for my colleagues struggling with the facts on #GrahamCassidy: don't vote on a bill with no CBO scorehttps://www.vox.com/policy-and-politics/2017/9/20/16341442/cassidy-health-plan-misleading-numbers?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter …	#GrahamCassidy
#GrahamCassidy would force cash-strapped states to choose between keeping health care affordable and funding for other areas, like educationhttps://twitter.com/JECDems/status/910554623634739200 …	#GrahamCassidy
The devastating consequences of #GrahamCassidy. Tens of millions of people would lose health coverage by 2027, including 81,000 Delawareans.pic.twitter.com/R5FTDr03Lv	#GrahamCassidy
Respectfully, I disagree. I think @jimmykimmel and (millions more) do understand that this bill would be devastating https://twitter.com/SenatorCarper/status/910181498787123200 …https://twitter.com/thehill/status/910507869669388291 …	
Mr. Secretary, I invite you to join me on @Amtrak when you travel to Philly. I assure you it's very comfortable with shorter security lines.https://twitter.com/kylegriffin1/status/910454863179399168 …	
Delawareans, thank you for your calls, emails, tweets and Facebook posts. I oppose #GrahamCassidy and I'm doing all I can to #ProtectOurCarehttps://twitter.com/americanlungde/status/910497027192012801 …	#GrahamCassidy #ProtectOurCarehttps
. @ahahospitals includes nearly 5,000 hospitals and other providers of care, along with 43,000 individual members. They oppose #CassidyGrahamhttps://twitter.com/AHAAdvocacy/status/910247167788503040 …	#CassidyGrahamhttps
America, this is a call to arms. Activate your networks. Call your senators and representatives. Make your voice heard! #ProtectOurCarehttps://twitter.com/SenSchumer/status/908792692318117888 …	#ProtectOurCarehttps
Bipartisan group of governors reject the latest version of #Trumpcare, #CassidyGraham. They're calling for bipartisanship and regular order.pic.twitter.com/O1DjLj2lrW	#Trumpcare #CassidyGraham
Bipartisan bill to stabilize insurance marketplace, protect care for millions & save taxpayers billions of dollars = red line for House GOP?https://twitter.com/politico/status/910168390605697024 …	
97% of scientists agree #climatechange is man-made. Instead of wasting resources debating clear science, let's prepare for climate changehttps://twitter.com/foxandfriends/status/910102686363557889 …	#climatechange
#CassidyGraham dismantles Medicaid. States would have to choose between covering fewer people, reducing care or cutting other state programspic.twitter.com/7md7L43CSP	#CassidyGraham
GOP will have to cheat and deceive to push through #GrahamCassidy without a CBO score. The same tactics would get kids expelled from school.pic.twitter.com/Cg2NNGQOXh	#GrahamCassidy
#GrahamCassidy fails the @jimmykimmel test with flying colors.https://www.cbpp.org/research/health/like-other-aca-repeal-bills-cassidy-graham-plan-would-add-millions-to-uninsured …	#GrahamCassidy
BREAKING: These patient groups are taking a stand against #GrahamCassidy, urging Congress to #ProtectOurCare and continue bipartisan effortspic.twitter.com/qZaxxncHsZ	#GrahamCassidy #ProtectOurCare
#GrahamCassidy bill "goes perhaps even further than its predecessors in eroding basic insurance protections and providing for poor people"https://twitter.com/TheAtlantic/status/909785452168740865 …	#GrahamCassidy
Trying to destroy Medicaid under the guise of asking states to be more fiscally responsible is hypocritical. States need to balance budgets.https://twitter.com/SenSchumer/status/909791307010277376 …	
Our fight to protect health care for millions of families is not over.https://twitter.com/aslavitt/status/908072873964826624 …	
. @EPWDems will continue to press Scott Pruitt and this administration to ensure all Americans can rely on an @EPA #GuidedbyScience	#GuidedbyScience
Scott Pruitt has refused to answer my questions about his abrupt dismissal of @EPA scientific advisers back in May: https://www.epw.senate.gov/public/index.cfm/2017/5/carper-questions-epa-s-abrupt-dismissal-of-scientists-from-agency-board …https://twitter.com/scottpwaldman/status/908325059583934466 …	
Ignoring #climatechange won't prevent devastating storms. People's lives depend on all of us acknowledging that #ClimateChangeIsRealhttps://twitter.com/USATOpinion/status/908112148567556096 …	#climatechange #ClimateChangeIsRealhttps
It’s up to us in Congress to do right by these young people. We need to pass the #DreamAct.https://twitter.com/SenatorDurbin/status/907329816046784514 …	#DreamAct
Failing to address #climatechange is a failure in our duty to protect the lives and livelihood of every Americanhttps://www.washingtonpost.com/opinions/the-cruelest-insult-to-harvey-and-irmas-victims/2017/09/11/60e54caa-9715-11e7-82e4-f1076f6d6152_story.html?utm_term=.5ecbcf93c5b8 …	#climatechange
As #IrmaHurricane2017 bears down on Florida, @POTUS must reinstate commonsense extreme weather resiliency programs https://www.carper.senate.gov/public/index.cfm/pressreleases?ID=76DF7941-7AEE-48AE-B4C3-968744D04AB6 …pic.twitter.com/XRrpznL2g9	#IrmaHurricane2017
My message for the 800,000 #DREAMers living across the United States in big cities and small towns, from California to Delaware: We need youpic.twitter.com/fGagA79sX6	#DREAMers
What does my bill with @timkaine, the Individual Health Insurance Marketplace Improvement Act, include? Reinsurance. https://www.carper.senate.gov/public/index.cfm/2017/6/carper-introduces-bill-to-improve-the-health-care-marketplace-and-lower-premiums …https://twitter.com/jenhab/status/905789199143591943 …	
Yesterday at @DelStateUniv I spoke with some of the most incredible, hardest working young people I've ever met. They were all #DREAMers.	#DREAMers
Erasing economic data of the Clean Water Rule doesn't erase the harm to Americans' health. @EPA must show their work to the American peoplehttps://twitter.com/EPWDems/status/905530515318607872 …	
We stand with Dreamers. We'll do everything we can to #ProtectDREAMers.pic.twitter.com/43Pzns6uRm	#ProtectDREAMers
President Trump’s decision to turn his back on #DREAMers is a senseless and downright cruel decision that harms our communities and economy.	#DREAMers
#DREAMers in Delaware are some of the most impressive young people I’ve ever met. #DACA helps them stay in the only home they've ever known.	#DREAMers #DACA
Meeting with some of Delaware's #DREAMers at @DelStateUniv. POTUS decision to end DACA is cruel and senseless. Together we will #DefendDACA.pic.twitter.com/KWDXdFAOrw	#DREAMers #DefendDACA
For ideas to jack up insurance costs and reduce access to health coverage, see:http://www.politico.com/story/2017/08/31/trump-obamacare-outreach-cuts-242225 …	
For bipartisan ideas to get better health care at lower costs for everyone, see @BPC_Bipartisan, governors' proposal, Problem Solvers Caucus	
Welcome Lieutenant Colonel Kristen Dahle, @USACEPhilly's new commander. Today we're touring renourishment projects along Delaware's beachespic.twitter.com/yau9t68ju8	
#DREAMers are our friends and neighbors. They contribute to our communities and our economy. They know no other home. We must #DefendDACA!	#DREAMers #DefendDACA
Proud of our @DelawareNG and all of the Delawareans who are doing what they can to help those impacted by #Harveyhttp://www.delawareonline.com/story/news/local/2017/08/29/delaware-guard-supporting-hurricane-harvey-relief-efforts/614259001/ …	#Harveyhttp
Vets and their families looking to give back to DE can join the @DEStateParks Veteran Conservation Corps. They maintain our beautiful parks!pic.twitter.com/7VNSY77xzI – at White Clay Creek State Park	
Proud to join @JohnCarneyDE as he signs an executive order to start an offshore #wind working group in Delaware. #energy #netde #Jobspic.twitter.com/1JALTsNDCc	#wind #energy #netde #Jobspic
I'm closely monitoring Harvey and the devastating floods in Houston. Praying for the safety of everyone in the path of this disastrous storm	
As a Category 4 hurricane approaches our shores, President Trump pardons Joe Arpaio and puts a presidential stamp on racial profiling.	
This land belongs to you and me—not to the highest bidder. @POTUS, the American people want to #KeepItPublichttp://wapo.st/2vjWbdx?tid=ss_tw&utm_term=.fea28818811e …	#KeepItPublichttp
. @POTUS is willing to shut down our government over a #borderwall that would: be ineffective destroy natural habitats cost billionshttps://twitter.com/nytimes/status/900621226166681600 …	#borderwall
Oil companies and elected leaders denying #climatechange—which is already affecting every corner of the globe—may prove even more dangerous.https://twitter.com/SenatorCarper/status/900441244362567680 …	#climatechange
Profits cannot come before the health of the public or our one and only planet. https://www.vox.com/energy-and-environment/2017/8/23/16188422/exxon-climate-change?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom	
President Trump's #Afghanistan speech was heavy on what we need to do, but light on how we do it. My full statement:pic.twitter.com/jeRbcGUj9I	#Afghanistan
A quick #eclipse break today with my staff.pic.twitter.com/BO9QhhukYc – at Senator Thomas R. Carper's Office	#eclipse
Those who went to #Charlottesville to spew hate are cowards and those who maintain neutrality in the face of such clear evil are cowards too	#Charlottesville
Those of us elected to serve have a great responsibility to show leadership in trying times. @POTUS' failure to do so is beyond shameful	
Dreamers contribute to our communities and our economy. In Delaware alone, ending #DACA would cost over $84 million annuallypic.twitter.com/jQAumtaOtZ	#DACA
For 5 years now, #DACA has protected and provided certainty to young #Dreamers, most of whom know no other home than Americapic.twitter.com/beHDyIapqG	#DACA #Dreamers
Hatred will not tear us apart. It will only serve to bring us together, to stand taller together against bigotry.http://www.delawareonline.com/story/news/2017/08/13/wake-charlottesville-wilmington-rallies-rockford-park/563346001/ …	
The hatred & violence in #Charlottesville is sickening. We all have a moral obligation to unambiguously condemn this & bigotry in all forms	#Charlottesville
Here's another fact: 2016 was the hottest year on record. We can't wait any longer to deal with #climatechange. https://weather.com/science/environment/news/noaa-climate-report-record-global-warmth-2016 …https://twitter.com/SenatorCarper/status/895038161910288384 …	#climatechange
Facts are stubborn things. Despite its best efforts, this administration can't change the facts about #climatechange https://www.carper.senate.gov/public/index.cfm/pressreleases?ID=8BBF3CEA-50F6-4EFD-B11C-8B509E80FC6D …pic.twitter.com/ydWqNaIr4Y	#climatechange
Actions speak louder than words. Despite what he says, @POTUS abandoning #ParisAccord damages America's credibilityhttps://www.nytimes.com/2017/08/04/climate/us-to-join-climate-talks-despite-planned-withdrawal-from-paris-accord.html?smid=tw-nytclimate&smtyp=cur …	#ParisAccord
Thank you @SenAlexander and Sen. @PattyMurray for your leadershiphttp://www.politico.com/story/2017/08/01/obamacare-bipartisan-hearings-senate-241224 …	
A wise man once said that insanity is doing the same thing again and again and expecting different results.https://twitter.com/politico/status/892482618184347649 …	
My bill with Senator @timkaine, the Individual Health Insurance Marketplace Improvement Act, would create a permanent #reinsurance programpic.twitter.com/2I6wdCIRRy	#reinsurance
We've tried working against each other. Now let's try working together.http://www.washingtonexaminer.com/republicans-reject-trumps-call-to-let-obamacare-implode/article/2630047 …	
I couldn't have said it better, @SenJohnMcCain.https://twitter.com/senjohnmccain/status/890971107280420864 …	
My statement after 3 Republicans and 48 Democrats came together to vote down #SkinnyRepeal. It's time for regular order. Let's get to work.pic.twitter.com/ktbuU4q9Q4	#SkinnyRepeal
#SkinnyRepeal aside, we still have lots of work to do to provide every American with higher quality care at a lower cost. Let’s get to work.	#SkinnyRepeal
Thank you @SenatorCollins, @lisamurkowski and @SenJohnMcCain for putting your constituents and your country above all else	
Since Sen. Enzi won't yield for comments or questions from @SenateDems, we have to take to Twitter. #AmericaSpeaksOut	#AmericaSpeaksOut
Sen. Enzi is complaining about high premiums and deductibles, neglecting to mention the #SkinnyRepeal would make them much worse.https://twitter.com/clairecmc/status/890775512926347267 …	#SkinnyRepeal
I agree with @LindseyGrahamSC that the Health Care Freedom Act is disastrous policy. That's why I will #VoteNo. https://www.budget.senate.gov/imo/media/doc/HealthCareFreedomAct.pdf?utm_content=buffer21d33&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer …	#VoteNo
To my Republican colleagues: the only way to make sure the #SkinnyRepeal doesn't actually become law is to #VoteNo.https://twitter.com/rachaelmbade/status/890654011166048256 …	#SkinnyRepeal #VoteNo
Perhaps he could share those deets with the American public and the other 48 senators who'll soon be forced to vote on ithttps://twitter.com/seungminkim/status/890628311260446720 …	
BREAKING: @AHIPCoverage opposes #SkinnyRepeal. Insurers agree that we need to work together now to stabilize the marketplace.pic.twitter.com/DKijxGVI9K	#SkinnyRepeal
States, our laboratories of democracy, have tried plans like #SkinnyRepeal. They saw higher prices and fewer choices.https://twitter.com/NPR/status/890567282338013184 …	#SkinnyRepeal
Meanwhile, the Senate is considering a bill that would throw 16 million Americans off health insurance and raise premiums by 20%https://twitter.com/jestei/status/890537662444175360 …	
Republican governors agree: lasting reforms to our health care system can only be achieved in an open, bipartisan way. #RegularOrderpic.twitter.com/XQry57OLIs	#RegularOrderpic
The brave Americans who took an oath to defend our country and Constitution deserve our utmost respect and support. #ProtectTransTroops	#ProtectTransTroops
Health care for millions of Americans is at stake. We're going to fight like hell to protect them. @SenateDemspic.twitter.com/j10UCGL3w1	
Last month I shared my thoughts on leadership. As a former Boy Scout, they feel particularly relevant today.https://twitter.com/SenatorCarper/status/880543268760686592 …	
Delawareans are speaking truth to power about the GOP's devastating #HealthcareBill. I'm encouraging my colleagues to #VoteNo, too. #SaveACApic.twitter.com/Zp0eLuYwt9	#HealthcareBill #VoteNo #SaveACApic
My friend @SenJohnMcCain is about as tough as they come. Praying for his recovery.	
These young men and women know no other home. They contribute to our communities and economy. They're our neighbors and friends. #defendDACA	#defendDACA
Mr. @POTUS, is there room on the bus for us? cc: @SenateDemshttps://twitter.com/Phil_Mattingly/status/887698407720194050 …	
Molly was a great role model for everyone who is a journalist and, frankly, for everyone who was not. I'm sure going to miss her.https://twitter.com/delawareonline/status/887332184398417922 …	
We don't need a Democratic or GOP "victory" on health care. We need a victory for our country. For that, we need governors at the table.pic.twitter.com/MeDPdJVSSv	
Heading to the Senate floor now to talk about moving forward and working together to improve our health care system: https://www.c-span.org/video/?431496-1/us-senate-reacts-health-care-bill-collapse&live …https://twitter.com/SenatorCarper/status/887331914423599105 …	
We need to hit the pause button, stabilize #healthcare exchanges, follow regular order & work on a bipartisan plan w/ governors at the table	#healthcare
The Census Bureau's work is a cornerstone of our democracy, enshrined in the Constitution. It cannot be undermined.https://www.nytimes.com/2017/07/17/opinion/census-trump-budget-cuts.html?_r=0 …	
In Rhode Island with NGA. Many governors here—Republicans and Democrats—agree we need to work on a bipartisan plan.https://www.nytimes.com/2017/07/14/us/politics/governors-oppose-senate-affordable-care-act-repeal.html?smprod=nytcore-iphone&smid=nytcore-iphone-share …	
Ready to roll up my sleeves and work with you @SenatorCollins. Our country depends on it.https://twitter.com/SenatorCollins/status/885550308134408192 …	
Our country's #DrinkingWater system consists of one million miles of pipes—the majority of those pipes are 50+ years old. We need to invest.https://twitter.com/EPWDems/status/885501080318169088 …	#DrinkingWater
To my colleagues who doubt that #ClimateChangeIsReal, an iceberg the size of my state is now floating in the sea.https://www.usatoday.com/story/tech/sciencefair/2017/07/12/massive-iceberg-breaks-off-antarctica/102637874/ …	#ClimateChangeIsReal
I was a P-3 aircraft mission commander during the Vietnam War. We didn’t trust the Soviets then and, frankly, don’t trust the Russians todaypic.twitter.com/3R8D0aDhqO	
Great to have Appoquinimink Schools Superintendent Matt Burrows with me to see our pal @JoeBiden. Almost convinced him to join me on @MSNBC!pic.twitter.com/nxkmMk2Pvk – at United States Capitol Building	
Thank you @OfficeGovEthics Director Walter Shaub for your work to protect and fortify Americans’ trust in our democracy	
The GOP health care plan would hurt our rural hospitals, cutting $2 billion from DE's Medicaid funding over the next decade. #ProtectOurCarepic.twitter.com/IsnVDaKRNC	#ProtectOurCarepic
I had a great time today at the Clayton, Bethany and Hockessin parades. Happy Fourth of July! #HappyBirthdayAmericapic.twitter.com/zyCr5ob5Ow	#HappyBirthdayAmericapic
Wishing you and your family a happy #IndependenceDay. Today we celebrate America's promise of life, liberty and the pursuit of happiness.	#IndependenceDay
The law requires that Americans be protected from harmful pollutants like methane. Scott Pruitt can't ignore the lawhttp://thehill.com/policy/energy-environment/340536-court-rejections-trumps-delay-of-epa-drilling-pollution-rule …	
Life, liberty and the pursuit of happiness wouldn't be possible without the people who work so hard to protect us. Thank you @DoverDEPolice.pic.twitter.com/nttBQcHbYm	
For every federal dollar invested, the National Estuary Program leverages $19 in our local economies. Cleaner water, stronger economy.pic.twitter.com/HqtnqKGDSJ – at Mullberry Landing	
Let's all work hard to be examples for young people learning from us about how to treat one another and how to talk about one another.	
Leaders treat other people the way they want to be treated. Leaders don't disparage others to elevate themselves.	
It's important to remember what makes a good leader. From my time in @boyscouts & @USNavy to my job in Congress, the qualities don't change.	
Proud to join my friend @SenSherrodBrown on this Senate Resolution.https://twitter.com/SenSherrodBrown/status/880119199963779072 …	
Americans want better health care and lower costs—not less access to health care, worse quality care & higher costs. http://www.urban.org/research/publication/state-state-coverage-and-government-spending-implications-better-care-reconciliation-act …pic.twitter.com/BTrnI9pBzU	
I agree with @JohnKasich: Let's put the country first.pic.twitter.com/yIIwsJJWxP	
We cannot guarantee life, liberty and the pursuit of happiness without access to health care. Celebrate the 4th by making your voice heard.https://twitter.com/AP/status/879758301734604800 …	
We're standing up for the millions of Americans who will suffer under #Trumpcare. We must do better. #AmericaSpeaksOutpic.twitter.com/VTy2thxbv8 – at United States Capitol Building	#Trumpcare #AmericaSpeaksOutpic
Where is the president's invitation for @SenateDems?https://twitter.com/seungminkim/status/879755387456684032 …	
"These bills are inhumane. It would devastate our ability to provide addiction treatment services." -DE Public Health Director Dr. Rattay	
Who gets hurt by more than $800 billion cut from #Medicaid? Millions, including seniors in nursing homes and people suffering with addictionpic.twitter.com/PBRfeIvZg6	#Medicaid
No matter where someone is in their job search, they still need health care. Their children still need health care.https://twitter.com/SenatorCarper/status/877957854350659584 …	
Under the Senate GOP #HealthcareBill, states could kick people off Medicaid if they’re struggling to find a jobhttp://www.nbcnews.com/politics/congress/senate-health-care-bill-includes-deep-medicaid-cuts-n775446 …	#HealthcareBill
What do we know about the Senate GOP #HealthcareBill? That it's even "meaner" than the House GOP health care billhttps://www.vox.com/policy-and-politics/2017/6/22/15854614/senate-gop-health-bill-poor-pay-more …	#HealthcareBill
We can't allow insurance companies to decide who can get health insurance, what coverage includes and how much it costs. #AmericaSpeaksOutpic.twitter.com/rIgeVepM2Q	#AmericaSpeaksOutpic
I ask my GOP colleagues: #ShowUsTheBill. Hold bipartisan hearings. Allow Democrats to participate in this process.http://delawarepublic.org/post/sen-carper-calls-republicans-open-health-care-bill-discussions …	#ShowUsTheBill
By kicking 23 million people off their health insurance, AHCA would put families one illness away from financial disaster. #AmericaSpeaksOutpic.twitter.com/D2MNu3EvKJ	#AmericaSpeaksOutpic
#Trumpcare breaks with our moral obligation to care for the most vulnerable people in our society. Yes, Mr. President, it's just plain mean.https://twitter.com/SenateDems/status/877169006926540802 …	#Trumpcare
Press conference in Dover about the #AHCA's impact on Delawareanshttps://www.pscp.tv/w/bBaMYzFXZ0VnRGFyQlhCUXZ8MXpxS1ZBRWFhZWR4Qq_qIGum2cOYCezf4_wlCyY7m2R0jNQ2wj09N0T2o9_c …	#AHCA
Under the #AHCA, older Delawareans could pay 800% for skimpy health insurance plans. We must do better.https://twitter.com/senatorcarper/status/876812764488118272 …	#AHCA
Happening soon: I'll be with @DE_DOJ @Delaware_DHSS @Delaware_DOI and Delawareans to discuss how the #AHCA will impact families in our statepic.twitter.com/XeISHmE8rZ	#AHCA
We can't go back to the days where kids like Michael could hit their lifetime limit for health insurance coverage by the age of three.pic.twitter.com/4QVMQPoPGf	
It's revelations like this that make members of Congress feel like we're not getting the full story from Mr. Pruitthttps://www.washingtonpost.com/news/powerpost/wp/2017/06/14/pruitt-used-two-government-email-addresses-in-his-last-job-he-told-congress-he-used-one/ …	
Praying for Steve Scalise and all those affected by the horrible attack in Alexandria, including our brave officers with U.S. Capitol Police	
Americans rely on journalists to shine a light on what's happening in Congress	
Just ran into my friend @ChrisMurphyCT. I agree.https://twitter.com/chrismurphyct/status/874653321117741056 …	
The "greatest bill in the history of the world on health care" would not destabilize 1/6 of the insurance markets	
The "greatest bill in the history of the world on health care" would not cause an 800% premium increase for older Americans	
The "greatest bill in the history of the world on health care" would not cut more than $800 billion from Medicaid	
The "greatest bill in the history of the world” would not cause 23 million to lose their health care coverage	
Mr. President, the AHCA isn't even in the same ballpark as the "greatest bill in the history of the world on health care."https://twitter.com/politico/status/874317633105121280 …	
Even if President Trump and Scott Pruitt try to gut smart environmental standards, progress won't be stoppedhttp://reut.rs/2rdtBri 	
And for the #AHCA? No public hearings. No real efforts to communicate, collaborate or compromise with Democrats.https://twitter.com/clairecmc/status/872890692233822208 …	#AHCA
President Trump can call @SenateDems all the names he wants, but the reality is that his White House is dropping the ball on nominationspic.twitter.com/0KlNSrnXuh	
#CleanAir Act regulations and protections have driven investments in clean energy technologies that create and support American jobspic.twitter.com/kuC1fum46C	#CleanAir
Proud that Delaware has joined the U.S. Climate Alliance, affirming the First State's commitment to #ActOnClimatehttp://www.delawareonline.com/story/news/politics/2017/06/05/climate-change-delaware/371023001/ …	#ActOnClimatehttp
